♠K, ♠8, ♣9, ♠5, ♥K | pair
♠7, ♥K, ♣K, ♥9, ♥7 | two pairs
♠7, ♥K, ♣K, ♥9, ♦8 | pair
♠7, ♥K, ♣K, ♥6, ♣8 | pair
♠7, ♥K, ♣K, ♥6, ♥7 | two pairs
♠7, ♥K, ♣K, ♥6, ♦8 | pair
♠7, ♥K, ♣K, ♣8, ♥7 | two pairs
♠7, ♥K, ♣K, ♣8, ♦8 | two pairs
♠7, ♥K, ♣K, ♥7, ♦8 | two pairs
♠7, ♥K, ♥9, ♥6, ♥7 | pair
♠7, ♥K, ♥9, ♣8, ♥7 | pair
♠7, ♥K, ♥9, ♣8, ♦8 | pair
♠7, ♥K, ♥9, ♥7, ♦8 | pair
♠7, ♥K, ♥6, ♣8, ♥7 | pair
♠7, ♥K, ♥6, ♣8, ♦8 | pair
♠7, ♥K, ♥6, ♥7, ♦8 | pair
♠7, ♥K, ♣8, ♥7, ♦8 | two pairs
♠7, ♣K, ♥9, ♥6, ♥7 | pair
♠7, ♣K, ♥9, ♣8, ♥7 | pair
♠7, ♣K, ♥9, ♣8, ♦8 | pair
♠7, ♣K, ♥9, ♥7, ♦8 | pair
♠7, ♣K, ♥6, ♣8, ♥7 | pair
♠7, ♣K, ♥6, ♣8, ♦8 | pair
♠7, ♣K, ♥6, ♥7, ♦8 | pair
♠7, ♣K, ♣8, ♥7, ♦8 | two pairs
♠7, ♥9, ♥6, ♣8, ♥7 | pair
♠7, ♥9, ♥6, ♣8, ♦8 | pair
♠7, ♥9, ♥6, ♥7, ♦8 | pair
♠7, ♥9, ♣8, ♥7, ♦8 | two pairs
♠7, ♥6, ♣8, ♥7, ♦8 | two pairs
♣4, ♣7, ♥K, ♣K, ♥9 | pair
♣4, ♣7, ♥K, ♣K, ♥6 | pair
♣4, ♣7, ♥K, ♣K, ♣8 | pair
♣4, ♣7, ♥K, ♣K, ♥7 | two pairs
♣4, ♣7, ♥K, ♣K, ♦8 | pair
♣4, ♣7, ♥K, ♥9, ♥7 | pair
♣4, ♣7, ♥K, ♥6, ♥7 | pair
♣4, ♣7, ♥K, ♣8, ♥7 | pair
♣4, ♣7, ♥K, ♣8, ♦8 | pair
♣4, ♣7, ♥K, ♥7, ♦8 | pair
♣4, ♣7, ♣K, ♥9, ♥7 | pair
♣4, ♣7, ♣K, ♥6, ♥7 | pair
♣4, ♣7, ♣K, ♣8, ♥7 | pair
♣4, ♣7, ♣K, ♣8, ♦8 | pair
♣4, ♣7, ♣K, ♥7, ♦8 | pair
♣4, ♣7, ♥9, ♥6, ♥7 | pair
♣4, ♣7, ♥9, ♣8, ♥7 | pair
♣4, ♣7, ♥9, ♣8, ♦8 | pair
♣4, ♣7, ♥9, ♥7, ♦8 | pair
♣4, ♣7, ♥6, ♣8, ♥7 | pair
♣4, ♣7, ♥6, ♣8, ♦8 | pair
♣4, ♣7, ♥6, ♥7, ♦8 | pair
♣4, ♣7, ♣8, ♥7, ♦8 | two pairs
♣4, ♥K, ♣K, ♥9, ♥6 | pair
♣4, ♥K, ♣K, ♥9, ♣8 | pair
♣4, ♥K, ♣K, ♥9, ♥7 | pair
♣4, ♥K, ♣K, ♥9, ♦8 | pair
♣4, ♥K, ♣K, ♥6, ♣8 | pair
♣4, ♥K, ♣K, ♥6, ♥7 | pair
♣4, ♥K, ♣K, ♥6, ♦8 | pair
♣4, ♥K, ♣K, ♣8, ♥7 | pair
♣4, ♥K, ♣K, ♣8, ♦8 | two pairs
♣4, ♥K, ♣K, ♥7, ♦8 | pair
♣4, ♥K, ♥9, ♣8, ♦8 | pair
♣4, ♥K, ♥6, ♣8, ♦8 | pair
♣4, ♥K, ♣8, ♥7, ♦8 | pair
♣4, ♣K, ♥9, ♣8, ♦8 | pair
♣4, ♣K, ♥6, ♣8, ♦8 | pair
♣4, ♣K, ♣8, ♥7, ♦8 | pair
♣4, ♥9, ♥6, ♣8, ♦8 | pair
♣4, ♥9, ♣8, ♥7, ♦8 | pair
♣4, ♥6, ♣8, ♥7, ♦8 | pair
♣7, ♥K, ♣K, ♥9, ♥6 | pair
♣7, ♥K, ♣K, ♥9, ♣8 | pair
♣7, ♥K, ♣K, ♥9, ♥7 | two pairs
♣7, ♥K, ♣K, ♥9, ♦8 | pair
♣7, ♥K, ♣K, ♥6, ♣8 | pair
♣7, ♥K, ♣K, ♥6, ♥7 | two pairs
♣7, ♥K, ♣K, ♥6, ♦8 | pair
♣7, ♥K, ♣K, ♣8, ♥7 | two pairs
♣7, ♥K, ♣K, ♣8, ♦8 | two pairs
♣7, ♥K, ♣K, ♥7, ♦8 | two pairs
♣7, ♥K, ♥9, ♥6, ♥7 | pair
♣7, ♥K, ♥9, ♣8, ♥7 | pair
♣7, ♥K, ♥9, ♣8, ♦8 | pair
♣7, ♥K, ♥9, ♥7, ♦8 | pair
♣7, ♥K, ♥6, ♣8, ♥7 | pair
♣7, ♥K, ♥6, ♣8, ♦8 | pair
♣7, ♥K, ♥6, ♥7, ♦8 | pair
♣7, ♥K, ♣8, ♥7, ♦8 | two pairs
♣7, ♣K, ♥9, ♥6, ♥7 | pair
♣7, ♣K, ♥9, ♣8, ♥7 | pair
♣7, ♣K, ♥9, ♣8, ♦8 | pair
♣7, ♣K, ♥9, ♥7, ♦8 | pair
♣7, ♣K, ♥6, ♣8, ♥7 | pair
♣7, ♣K, ♥6, ♣8, ♦8 | pair
♣7, ♣K, ♥6, ♥7, ♦8 | pair
♣7, ♣K, ♣8, ♥7, ♦8 | two pairs
♣7, ♥9, ♥6, ♣8, ♥7 | pair
♣7, ♥9, ♥6, ♣8, ♦8 | pair
♣7, ♥9, ♥6, ♥7, ♦8 | pair
♣7, ♥9, ♣8, ♥7, ♦8 | two pairs
♣7, ♥6, ♣8, ♥7, ♦8 | two pairs
♥K, ♣K, ♥9, ♥6, ♣8 | pair
♥K, ♣K, ♥9, ♥6, ♥7 | pair
♥K, ♣K, ♥9, ♥6, ♦8 | pair
♥K, ♣K, ♥9, ♣8, ♥7 | pair
♥K, ♣K, ♥9, ♣8, ♦8 | two pairs
♥K, ♣K, ♥9, ♥7, ♦8 | pair
♥K, ♣K, ♥6, ♣8, ♥7 | pair
♥K, ♣K, ♥6, ♣8, ♦8 | two pairs
♥K, ♣K, ♥6, ♥7, ♦8 | pair
♥K, ♣K, ♣8, ♥7, ♦8 | two pairs
♥K, ♥9, ♥6, ♣8, ♦8 | pair
♥K, ♥9, ♣8, ♥7, ♦8 | pair
♥K, ♥6, ♣8, ♥7, ♦8 | pair
♣K, ♥9, ♥6, ♣8, ♦8 | pair
♣K, ♥9, ♣8, ♥7, ♦8 | pair
♣K, ♥6, ♣8, ♥7, ♦8 | pair
♥9, ♥6, ♣8, ♥7, ♦8 | pair
