♠6, ♥8, ♦J, ♥10, ♦6 | pair
♣K, ♠5, ♣Q, ♣9, ♣5 | pair
♦7, ♣2, ♦6, ♠7, ♠5 | pair
♦7, ♣2, ♦6, ♠7, ♣Q | pair
♦7, ♣2, ♦6, ♠7, ♣9 | pair
♦7, ♣2, ♦6, ♠7, ♣5 | pair
♦7, ♣2, ♦6, ♠5, ♣5 | pair
♦7, ♣2, ♠7, ♠5, ♣Q | pair
♦7, ♣2, ♠7, ♠5, ♣9 | pair
♦7, ♣2, ♠7, ♠5, ♣5 | two pairs
♦7, ♣2, ♠7, ♣Q, ♣9 | pair
♦7, ♣2, ♠7, ♣Q, ♣5 | pair
♦7, ♣2, ♠7, ♣9, ♣5 | pair
♦7, ♣2, ♠5, ♣Q, ♣5 | pair
♦7, ♣2, ♠5, ♣9, ♣5 | pair
♦7, ♦6, ♠7, ♠5, ♣Q | pair
♦7, ♦6, ♠7, ♠5, ♣9 | pair
♦7, ♦6, ♠7, ♠5, ♣5 | two pairs
♦7, ♦6, ♠7, ♣Q, ♣9 | pair
♦7, ♦6, ♠7, ♣Q, ♣5 | pair
♦7, ♦6, ♠7, ♣9, ♣5 | pair
♦7, ♦6, ♠5, ♣Q, ♣5 | pair
♦7, ♦6, ♠5, ♣9, ♣5 | pair
♦7, ♠7, ♠5, ♣Q, ♣9 | pair
♦7, ♠7, ♠5, ♣Q, ♣5 | two pairs
♦7, ♠7, ♠5, ♣9, ♣5 | two pairs
♦7, ♠7, ♣Q, ♣9, ♣5 | pair
♦7, ♠5, ♣Q, ♣9, ♣5 | pair
♣2, ♦6, ♠7, ♠5, ♣5 | pair
♣2, ♦6, ♠5, ♣Q, ♣5 | pair
♣2, ♦6, ♠5, ♣9, ♣5 | pair
♣2, ♠7, ♠5, ♣Q, ♣5 | pair
♣2, ♠7, ♠5, ♣9, ♣5 | pair
♣2, ♠5, ♣Q, ♣9, ♣5 | pair
♦6, ♠7, ♠5, ♣Q, ♣5 | pair
♦6, ♠7, ♠5, ♣9, ♣5 | pair
♦6, ♠5, ♣Q, ♣9, ♣5 | pair
♠7, ♠5, ♣Q, ♣9, ♣5 | pair
