♣2, ♠3, ♥A, ♠10, ♥3 | pair
♠K, ♥7, ♠Q, ♦Q, ♠8 | pair
♠K, ♥7, ♠Q, ♦Q, ♦9 | pair
♠K, ♥7, ♠K, ♦Q, ♣A | pair
♠K, ♥7, ♠K, ♦Q, ♠8 | pair
♠K, ♥7, ♠K, ♦Q, ♦9 | pair
♠K, ♥7, ♠K, ♣A, ♠8 | pair
♠K, ♥7, ♠K, ♣A, ♦9 | pair
♠K, ♥7, ♠K, ♠8, ♦9 | pair
♠K, ♥3, ♣A, ♠Q, ♠K | pair
♠K, ♥3, ♣A, ♠Q, ♦Q | pair
♠K, ♥3, ♣A, ♠Q, ♣A | pair
♠K, ♥3, ♣A, ♠K, ♦Q | pair
♠K, ♥3, ♣A, ♠K, ♣A | two pairs
♠K, ♥3, ♣A, ♠K, ♠8 | pair
♠K, ♥3, ♣A, ♠K, ♦9 | pair
♠K, ♥3, ♣A, ♦Q, ♣A | pair
♠K, ♥3, ♣A, ♣A, ♠8 | pair
♠K, ♥3, ♣A, ♣A, ♦9 | pair
♠K, ♥3, ♠Q, ♠K, ♦Q | two pairs
♠K, ♥3, ♠Q, ♠K, ♣A | pair
♠K, ♥3, ♠Q, ♠K, ♠8 | pair
♠K, ♥3, ♠Q, ♠K, ♦9 | pair
♠K, ♥3, ♠Q, ♦Q, ♣A | pair
♠K, ♥3, ♠Q, ♦Q, ♠8 | pair
♠K, ♥3, ♠Q, ♦Q, ♦9 | pair
♠K, ♥3, ♠K, ♦Q, ♣A | pair
♠K, ♥3, ♠K, ♦Q, ♠8 | pair
♠K, ♥3, ♠K, ♦Q, ♦9 | pair
♠K, ♥3, ♠K, ♣A, ♠8 | pair
♠K, ♥3, ♠K, ♣A, ♦9 | pair
♠K, ♥3, ♠K, ♠8, ♦9 | pair
♠K, ♣A, ♠Q, ♠K, ♦Q | two pairs
♠K, ♣A, ♠Q, ♠K, ♣A | two pairs
♠K, ♣A, ♠Q, ♠K, ♠8 | pair
♠K, ♣A, ♠Q, ♠K, ♦9 | pair
♠K, ♣A, ♠Q, ♦Q, ♣A | two pairs
♠K, ♣A, ♠Q, ♦Q, ♠8 | pair
♠K, ♣A, ♠Q, ♦Q, ♦9 | pair
♠K, ♣A, ♠Q, ♣A, ♠8 | pair
♠K, ♣A, ♠Q, ♣A, ♦9 | pair
♠K, ♣A, ♠K, ♦Q, ♣A | two pairs
♠K, ♣A, ♠K, ♦Q, ♠8 | pair
♠K, ♣A, ♠K, ♦Q, ♦9 | pair
♠K, ♣A, ♠K, ♣A, ♠8 | two pairs
♠K, ♣A, ♠K, ♣A, ♦9 | two pairs
♠K, ♣A, ♠K, ♠8, ♦9 | pair
♠K, ♣A, ♦Q, ♣A, ♠8 | pair
♠K, ♣A, ♦Q, ♣A, ♦9 | pair
♠K, ♣A, ♣A, ♠8, ♦9 | pair
♠K, ♠Q, ♠K, ♦Q, ♣A | two pairs
♠K, ♠Q, ♠K, ♦Q, ♠8 | two pairs
♠K, ♠Q, ♠K, ♦Q, ♦9 | two pairs
♠K, ♠Q, ♠K, ♣A, ♠8 | pair
♠K, ♠Q, ♠K, ♣A, ♦9 | pair
♠K, ♠Q, ♠K, ♠8, ♦9 | pair
♠K, ♠Q, ♦Q, ♣A, ♠8 | pair
♠K, ♠Q, ♦Q, ♣A, ♦9 | pair
♠K, ♠Q, ♦Q, ♠8, ♦9 | pair
♠K, ♠K, ♦Q, ♣A, ♠8 | pair
♠K, ♠K, ♦Q, ♣A, ♦9 | pair
♠K, ♠K, ♦Q, ♠8, ♦9 | pair
♠K, ♠K, ♣A, ♠8, ♦9 | pair
♦8, ♥7, ♥3, ♣A, ♣A | pair
♦8, ♥7, ♥3, ♣A, ♠8 | pair
♦8, ♥7, ♥3, ♠Q, ♦Q | pair
♦8, ♥7, ♥3, ♠Q, ♠8 | pair
♦8, ♥7, ♥3, ♠K, ♠8 | pair
♦8, ♥7, ♥3, ♦Q, ♠8 | pair
♦8, ♥7, ♥3, ♣A, ♠8 | pair
♦8, ♥7, ♥3, ♠8, ♦9 | pair
♦8, ♥7, ♣A, ♠Q, ♦Q | pair
♦8, ♥7, ♣A, ♠Q, ♣A | pair
♦8, ♥7, ♣A, ♠Q, ♠8 | pair
♦8, ♥7, ♣A, ♠K, ♣A | pair
♦8, ♥7, ♣A, ♠K, ♠8 | pair
♦8, ♥7, ♣A, ♦Q, ♣A | pair
♦8, ♥7, ♣A, ♦Q, ♠8 | pair
♦8, ♥7, ♣A, ♣A, ♠8 | two pairs
♦8, ♥7, ♣A, ♣A, ♦9 | pair
♦8, ♥7, ♣A, ♠8, ♦9 | pair
♦8, ♥7, ♠Q, ♠K, ♦Q | pair
♦8, ♥7, ♠Q, ♠K, ♠8 | pair
♦8, ♥7, ♠Q, ♦Q, ♣A | pair
♦8, ♥7, ♠Q, ♦Q, ♠8 | two pairs
♦8, ♥7, ♠Q, ♦Q, ♦9 | pair
♦8, ♥7, ♠Q, ♣A, ♠8 | pair
♦8, ♥7, ♠Q, ♠8, ♦9 | pair
♦8, ♥7, ♠K, ♦Q, ♠8 | pair
♦8, ♥7, ♠K, ♣A, ♠8 | pair
♦8, ♥7, ♠K, ♠8, ♦9 | pair
♦8, ♥7, ♦Q, ♣A, ♠8 | pair
♦8, ♥7, ♦Q, ♠8, ♦9 | pair
♦8, ♥7, ♣A, ♠8, ♦9 | pair
♦8, ♥3, ♣A, ♠Q, ♦Q | pair
♦8, ♥3, ♣A, ♠Q, ♣A | pair
♦8, ♥3, ♣A, ♠Q, ♠8 | pair
♦8, ♥3, ♣A, ♠K, ♣A | pair
♦8, ♥3, ♣A, ♠K, ♠8 | pair
♦8, ♥3, ♣A, ♦Q, ♣A | pair
♦8, ♥3, ♣A, ♦Q, ♠8 | pair
♦8, ♥3, ♣A, ♣A, ♠8 | two pairs
♦8, ♥3, ♣A, ♣A, ♦9 | pair
♦8, ♥3, ♣A, ♠8, ♦9 | pair
♦8, ♥3, ♠Q, ♠K, ♦Q | pair
♦8, ♥3, ♠Q, ♠K, ♠8 | pair
♦8, ♥3, ♠Q, ♦Q, ♣A | pair
♦8, ♥3, ♠Q, ♦Q, ♠8 | two pairs
♦8, ♥3, ♠Q, ♦Q, ♦9 | pair
♦8, ♥3, ♠Q, ♣A, ♠8 | pair
♦8, ♥3, ♠Q, ♠8, ♦9 | pair
♦8, ♥3, ♠K, ♦Q, ♠8 | pair
♦8, ♥3, ♠K, ♣A, ♠8 | pair
♦8, ♥3, ♠K, ♠8, ♦9 | pair
♦8, ♥3, ♦Q, ♣A, ♠8 | pair
♦8, ♥3, ♦Q, ♠8, ♦9 | pair
♦8, ♥3, ♣A, ♠8, ♦9 | pair
♦8, ♣A, ♠Q, ♠K, ♦Q | pair
♦8, ♣A, ♠Q, ♠K, ♣A | pair
♦8, ♣A, ♠Q, ♠K, ♠8 | pair
♦8, ♣A, ♠Q, ♦Q, ♣A | two pairs
♦8, ♣A, ♠Q, ♦Q, ♠8 | two pairs
♦8, ♣A, ♠Q, ♦Q, ♦9 | pair
♦8, ♣A, ♠Q, ♣A, ♠8 | two pairs
♦8, ♣A, ♠Q, ♣A, ♦9 | pair
♦8, ♣A, ♠Q, ♠8, ♦9 | pair
♦8, ♣A, ♠K, ♦Q, ♣A | pair
♦8, ♣A, ♠K, ♦Q, ♠8 | pair
♦8, ♣A, ♠K, ♣A, ♠8 | two pairs
♦8, ♣A, ♠K, ♣A, ♦9 | pair
♦8, ♣A, ♠K, ♠8, ♦9 | pair
♦8, ♣A, ♦Q, ♣A, ♠8 | two pairs
♦8, ♣A, ♦Q, ♣A, ♦9 | pair
♦8, ♣A, ♦Q, ♠8, ♦9 | pair
♦8, ♣A, ♣A, ♠8, ♦9 | two pairs
♦8, ♠Q, ♠K, ♦Q, ♣A | pair
♦8, ♠Q, ♠K, ♦Q, ♠8 | two pairs
♦8, ♠Q, ♠K, ♦Q, ♦9 | pair
♦8, ♠Q, ♠K, ♣A, ♠8 | pair
♦8, ♠Q, ♠K, ♠8, ♦9 | pair
♦8, ♠Q, ♦Q, ♣A, ♠8 | two pairs
♦8, ♠Q, ♦Q, ♣A, ♦9 | pair
♦8, ♠Q, ♦Q, ♠8, ♦9 | two pairs
♦8, ♠Q, ♣A, ♠8, ♦9 | pair
♦8, ♠K, ♦Q, ♣A, ♠8 | pair
♦8, ♠K, ♦Q, ♠8, ♦9 | pair
♦8, ♠K, ♣A, ♠8, ♦9 | pair
♦8, ♦Q, ♣A, ♠8, ♦9 | pair
♥7, ♥3, ♣A, ♠Q, ♦Q | pair
♥7, ♥3, ♣A, ♠Q, ♣A | pair
♥7, ♥3, ♣A, ♠K, ♣A | pair
♥7, ♥3, ♣A, ♦Q, ♣A | pair
♥7, ♥3, ♣A, ♣A, ♠8 | pair
♥7, ♥3, ♣A, ♣A, ♦9 | pair
♥7, ♥3, ♠Q, ♠K, ♦Q | pair
♥7, ♥3, ♠Q, ♦Q, ♣A | pair
♥7, ♥3, ♠Q, ♦Q, ♠8 | pair
♥7, ♥3, ♠Q, ♦Q, ♦9 | pair
♥7, ♣A, ♠Q, ♠K, ♦Q | pair
♥7, ♣A, ♠Q, ♠K, ♣A | pair
♥7, ♣A, ♠Q, ♦Q, ♣A | two pairs
♥7, ♣A, ♠Q, ♦Q, ♠8 | pair
♥7, ♣A, ♠Q, ♦Q, ♦9 | pair
♥7, ♣A, ♠Q, ♣A, ♠8 | pair
♥7, ♣A, ♠Q, ♣A, ♦9 | pair
♥7, ♣A, ♠K, ♦Q, ♣A | pair
♥7, ♣A, ♠K, ♣A, ♠8 | pair
♥7, ♣A, ♠K, ♣A, ♦9 | pair
♥7, ♣A, ♦Q, ♣A, ♠8 | pair
♥7, ♣A, ♦Q, ♣A, ♦9 | pair
♥7, ♣A, ♣A, ♠8, ♦9 | pair
♥7, ♠Q, ♠K, ♦Q, ♣A | pair
♥7, ♠Q, ♠K, ♦Q, ♠8 | pair
♥7, ♠Q, ♠K, ♦Q, ♦9 | pair
♥7, ♠Q, ♦Q, ♣A, ♠8 | pair
♥7, ♠Q, ♦Q, ♣A, ♦9 | pair
♥7, ♠Q, ♦Q, ♠8, ♦9 | pair
♥3, ♣A, ♠Q, ♠K, ♦Q | pair
♥3, ♣A, ♠Q, ♠K, ♣A | pair
♥3, ♣A, ♠Q, ♦Q, ♣A | two pairs
♥3, ♣A, ♠Q, ♦Q, ♠8 | pair
♥3, ♣A, ♠Q, ♦Q, ♦9 | pair
♥3, ♣A, ♠Q, ♣A, ♠8 | pair
♥3, ♣A, ♠Q, ♣A, ♦9 | pair
♥3, ♣A, ♠K, ♦Q, ♣A | pair
♥3, ♣A, ♠K, ♣A, ♠8 | pair
♥3, ♣A, ♠K, ♣A, ♦9 | pair
♥3, ♣A, ♦Q, ♣A, ♠8 | pair
♥3, ♣A, ♦Q, ♣A, ♦9 | pair
♥3, ♣A, ♣A, ♠8, ♦9 | pair
♥3, ♠Q, ♠K, ♦Q, ♣A | pair
♥3, ♠Q, ♠K, ♦Q, ♠8 | pair
♥3, ♠Q, ♠K, ♦Q, ♦9 | pair
♥3, ♠Q, ♦Q, ♣A, ♠8 | pair
♥3, ♠Q, ♦Q, ♣A, ♦9 | pair
♥3, ♠Q, ♦Q, ♠8, ♦9 | pair
♣A, ♠Q, ♠K, ♦Q, ♣A | two pairs
♣A, ♠Q, ♠K, ♦Q, ♠8 | pair
♣A, ♠Q, ♠K, ♦Q, ♦9 | pair
♣A, ♠Q, ♠K, ♣A, ♠8 | pair
♣A, ♠Q, ♠K, ♣A, ♦9 | pair
♣A, ♠Q, ♦Q, ♣A, ♠8 | two pairs
♣A, ♠Q, ♦Q, ♣A, ♦9 | two pairs
♣A, ♠Q, ♦Q, ♠8, ♦9 | pair
♣A, ♠Q, ♣A, ♠8, ♦9 | pair
♣A, ♠K, ♦Q, ♣A, ♠8 | pair
♣A, ♠K, ♦Q, ♣A, ♦9 | pair
♣A, ♠K, ♣A, ♠8, ♦9 | pair
♣A, ♦Q, ♣A, ♠8, ♦9 | pair
♠Q, ♠K, ♦Q, ♣A, ♠8 | pair
♠Q, ♠K, ♦Q, ♣A, ♦9 | pair
♠Q, ♠K, ♦Q, ♠8, ♦9 | pair
♠Q, ♦Q, ♣A, ♠8, ♦9 | pair
