♦6, ♥J, ♣10, ♠2, ♥6 | pair
♣10, ♥K, ♥10, ♣7, ♥8 | pair
♣10, ♥K, ♥10, ♦2, ♥8 | pair
♣10, ♦A, ♥6, ♦6, ♥Q | pair
♣10, ♦A, ♥6, ♦6, ♥7 | pair
♣10, ♦A, ♥6, ♦6, ♥10 | two pairs
♣10, ♦A, ♥6, ♦6, ♦5 | pair
♣10, ♦A, ♥6, ♦6, ♣7 | pair
♣10, ♦A, ♥6, ♦6, ♦2 | pair
♣10, ♦A, ♥6, ♦6, ♥8 | pair
♣10, ♦A, ♥6, ♥Q, ♥10 | pair
♣10, ♦A, ♥6, ♥7, ♥10 | pair
♣10, ♦A, ♥6, ♥7, ♣7 | pair
♣10, ♦A, ♥6, ♥10, ♦5 | pair
♣10, ♦A, ♥6, ♥10, ♣7 | pair
♣10, ♦A, ♥6, ♥10, ♦2 | pair
♣10, ♦A, ♥6, ♥10, ♥8 | pair
♣10, ♦A, ♦6, ♥Q, ♥10 | pair
♣10, ♦A, ♦6, ♥7, ♥10 | pair
♣10, ♦A, ♦6, ♥7, ♣7 | pair
♣10, ♦A, ♦6, ♥10, ♦5 | pair
♣10, ♦A, ♦6, ♥10, ♣7 | pair
♣10, ♦A, ♦6, ♥10, ♦2 | pair
♣10, ♦A, ♦6, ♥10, ♥8 | pair
♣10, ♦A, ♥Q, ♥7, ♥10 | pair
♣10, ♦A, ♥Q, ♥7, ♣7 | pair
♣10, ♦A, ♥Q, ♥10, ♦5 | pair
♣10, ♦A, ♥Q, ♥10, ♣7 | pair
♣10, ♦A, ♥Q, ♥10, ♦2 | pair
♣10, ♦A, ♥Q, ♥10, ♥8 | pair
♣10, ♦A, ♥7, ♥10, ♦5 | pair
♣10, ♦A, ♥7, ♥10, ♣7 | two pairs
♣10, ♦A, ♥7, ♥10, ♦2 | pair
♣10, ♦A, ♥7, ♥10, ♥8 | pair
♣10, ♦A, ♥7, ♦5, ♣7 | pair
♣10, ♦A, ♥7, ♣7, ♦2 | pair
♣10, ♦A, ♥7, ♣7, ♥8 | pair
♣10, ♦A, ♥10, ♦5, ♣7 | pair
♣10, ♦A, ♥10, ♦5, ♦2 | pair
♣10, ♦A, ♥10, ♦5, ♥8 | pair
♣10, ♦A, ♥10, ♣7, ♦2 | pair
♣10, ♦A, ♥10, ♣7, ♥8 | pair
♣10, ♦A, ♥10, ♦2, ♥8 | pair
♣10, ♥6, ♦6, ♥Q, ♥7 | pair
♣10, ♥6, ♦6, ♥Q, ♥10 | two pairs
♣10, ♥6, ♦6, ♥Q, ♦5 | pair
♣10, ♥6, ♦6, ♥Q, ♣7 | pair
♣10, ♥6, ♦6, ♥Q, ♦2 | pair
♣10, ♥6, ♦6, ♥Q, ♥8 | pair
♣10, ♥6, ♦6, ♥7, ♥10 | two pairs
♣10, ♥6, ♦6, ♥7, ♦5 | pair
♣10, ♥6, ♦6, ♥7, ♣7 | two pairs
♣10, ♥6, ♦6, ♥7, ♦2 | pair
♣10, ♥6, ♦6, ♥7, ♥8 | pair
♣10, ♥6, ♦6, ♥10, ♦5 | two pairs
♣10, ♥6, ♦6, ♥10, ♣7 | two pairs
♣10, ♥6, ♦6, ♥10, ♦2 | two pairs
♣10, ♥6, ♦6, ♥10, ♥8 | two pairs
♣10, ♥6, ♦6, ♦5, ♣7 | pair
♣10, ♥6, ♦6, ♦5, ♦2 | pair
♣10, ♥6, ♦6, ♦5, ♥8 | pair
♣10, ♥6, ♦6, ♣7, ♦2 | pair
♣10, ♥6, ♦6, ♣7, ♥8 | pair
♣10, ♥6, ♦6, ♦2, ♥8 | pair
♣10, ♥6, ♥Q, ♥7, ♥10 | pair
♣10, ♥6, ♥Q, ♥7, ♣7 | pair
♣10, ♥6, ♥Q, ♥10, ♦5 | pair
♣10, ♥6, ♥Q, ♥10, ♣7 | pair
♣10, ♥6, ♥Q, ♥10, ♦2 | pair
♣10, ♥6, ♥Q, ♥10, ♥8 | pair
♣10, ♥6, ♥7, ♥10, ♦5 | pair
♣10, ♥6, ♥7, ♥10, ♣7 | two pairs
♣10, ♥6, ♥7, ♥10, ♦2 | pair
♣10, ♥6, ♥7, ♥10, ♥8 | pair
♣10, ♥6, ♥7, ♦5, ♣7 | pair
♣10, ♥6, ♥7, ♣7, ♦2 | pair
♣10, ♥6, ♥7, ♣7, ♥8 | pair
♣10, ♥6, ♥10, ♦5, ♣7 | pair
♣10, ♥6, ♥10, ♦5, ♦2 | pair
♣10, ♥6, ♥10, ♦5, ♥8 | pair
♣10, ♥6, ♥10, ♣7, ♦2 | pair
♣10, ♥6, ♥10, ♣7, ♥8 | pair
♣10, ♥6, ♥10, ♦2, ♥8 | pair
♣10, ♦6, ♥Q, ♥7, ♥10 | pair
♣10, ♦6, ♥Q, ♥7, ♣7 | pair
♣10, ♦6, ♥Q, ♥10, ♦5 | pair
♣10, ♦6, ♥Q, ♥10, ♣7 | pair
♣10, ♦6, ♥Q, ♥10, ♦2 | pair
♣10, ♦6, ♥Q, ♥10, ♥8 | pair
♣10, ♦6, ♥7, ♥10, ♦5 | pair
♣10, ♦6, ♥7, ♥10, ♣7 | two pairs
♣10, ♦6, ♥7, ♥10, ♦2 | pair
♣10, ♦6, ♥7, ♥10, ♥8 | pair
♣10, ♦6, ♥7, ♦5, ♣7 | pair
♣10, ♦6, ♥7, ♣7, ♦2 | pair
♣10, ♦6, ♥7, ♣7, ♥8 | pair
♣10, ♦6, ♥10, ♦5, ♣7 | pair
♣10, ♦6, ♥10, ♦5, ♦2 | pair
♣10, ♦6, ♥10, ♦5, ♥8 | pair
♣10, ♦6, ♥10, ♣7, ♦2 | pair
♣10, ♦6, ♥10, ♣7, ♥8 | pair
♣10, ♦6, ♥10, ♦2, ♥8 | pair
♣10, ♥Q, ♥7, ♥10, ♦5 | pair
♣10, ♥Q, ♥7, ♥10, ♣7 | two pairs
♣10, ♥Q, ♥7, ♥10, ♦2 | pair
♣10, ♥Q, ♥7, ♥10, ♥8 | pair
♣10, ♥Q, ♥7, ♦5, ♣7 | pair
♣10, ♥Q, ♥7, ♣7, ♦2 | pair
♣10, ♥Q, ♥7, ♣7, ♥8 | pair
♣10, ♥Q, ♥10, ♦5, ♣7 | pair
♣10, ♥Q, ♥10, ♦5, ♦2 | pair
♣10, ♥Q, ♥10, ♦5, ♥8 | pair
♣10, ♥Q, ♥10, ♣7, ♦2 | pair
♣10, ♥Q, ♥10, ♣7, ♥8 | pair
♣10, ♥Q, ♥10, ♦2, ♥8 | pair
♣10, ♥7, ♥10, ♦5, ♣7 | two pairs
♣10, ♥7, ♥10, ♦5, ♦2 | pair
♣10, ♥7, ♥10, ♦5, ♥8 | pair
♣10, ♥7, ♥10, ♣7, ♦2 | two pairs
♣10, ♥7, ♥10, ♣7, ♥8 | two pairs
♣10, ♥7, ♥10, ♦2, ♥8 | pair
♣10, ♥7, ♦5, ♣7, ♦2 | pair
♣10, ♥7, ♦5, ♣7, ♥8 | pair
♣10, ♥7, ♣7, ♦2, ♥8 | pair
♣10, ♥10, ♦5, ♣7, ♦2 | pair
♣10, ♥10, ♦5, ♣7, ♥8 | pair
♣10, ♥10, ♦5, ♦2, ♥8 | pair
♣10, ♥10, ♣7, ♦2, ♥8 | pair
♠2, ♠8, ♥K, ♦A, ♦2 | pair
♠2, ♠8, ♥K, ♦A, ♥8 | pair
♠2, ♠8, ♥K, ♥6, ♦6 | pair
♠2, ♠8, ♥K, ♥6, ♦2 | pair
♠2, ♠8, ♥K, ♥6, ♥8 | pair
♠2, ♠8, ♥K, ♦6, ♦2 | pair
♠2, ♠8, ♥K, ♦6, ♥8 | pair
♠2, ♠8, ♥K, ♥Q, ♦2 | pair
♠2, ♠8, ♥K, ♥Q, ♥8 | pair
♠2, ♠8, ♥K, ♥7, ♣7 | pair
♠2, ♠8, ♥K, ♥7, ♦2 | pair
♠2, ♠8, ♥K, ♥7, ♥8 | pair
♠2, ♠8, ♥K, ♥10, ♦2 | pair
♠2, ♠8, ♥K, ♥10, ♥8 | pair
♠2, ♠8, ♥K, ♦5, ♦2 | pair
♠2, ♠8, ♥K, ♦5, ♥8 | pair
♠2, ♠8, ♥K, ♣7, ♦2 | pair
♠2, ♠8, ♥K, ♣7, ♥8 | pair
♠2, ♠8, ♥K, ♦2, ♥8 | two pairs
♠2, ♠8, ♦A, ♥6, ♦6 | pair
♠2, ♠8, ♦A, ♥6, ♦2 | pair
♠2, ♠8, ♦A, ♥6, ♥8 | pair
♠2, ♠8, ♦A, ♦6, ♦2 | pair
♠2, ♠8, ♦A, ♦6, ♥8 | pair
♠2, ♠8, ♦A, ♥Q, ♦2 | pair
♠2, ♠8, ♦A, ♥Q, ♥8 | pair
♠2, ♠8, ♦A, ♥7, ♣7 | pair
♠2, ♠8, ♦A, ♥7, ♦2 | pair
♠2, ♠8, ♦A, ♥7, ♥8 | pair
♠2, ♠8, ♦A, ♥10, ♦2 | pair
♠2, ♠8, ♦A, ♥10, ♥8 | pair
♠2, ♠8, ♦A, ♦5, ♦2 | pair
♠2, ♠8, ♦A, ♦5, ♥8 | pair
♠2, ♠8, ♦A, ♣7, ♦2 | pair
♠2, ♠8, ♦A, ♣7, ♥8 | pair
♠2, ♠8, ♦A, ♦2, ♥8 | two pairs
♠2, ♠8, ♥6, ♦6, ♥Q | pair
♠2, ♠8, ♥6, ♦6, ♥7 | pair
♠2, ♠8, ♥6, ♦6, ♥10 | pair
♠2, ♠8, ♥6, ♦6, ♦5 | pair
♠2, ♠8, ♥6, ♦6, ♣7 | pair
♠2, ♠8, ♥6, ♦6, ♦2 | two pairs
♠2, ♠8, ♥6, ♦6, ♥8 | two pairs
♠2, ♠8, ♥6, ♥Q, ♦2 | pair
♠2, ♠8, ♥6, ♥Q, ♥8 | pair
♠2, ♠8, ♥6, ♥7, ♣7 | pair
♠2, ♠8, ♥6, ♥7, ♦2 | pair
♠2, ♠8, ♥6, ♥7, ♥8 | pair
♠2, ♠8, ♥6, ♥10, ♦2 | pair
♠2, ♠8, ♥6, ♥10, ♥8 | pair
♠2, ♠8, ♥6, ♦5, ♦2 | pair
♠2, ♠8, ♥6, ♦5, ♥8 | pair
♠2, ♠8, ♥6, ♣7, ♦2 | pair
♠2, ♠8, ♥6, ♣7, ♥8 | pair
♠2, ♠8, ♥6, ♦2, ♥8 | two pairs
♠2, ♠8, ♦6, ♥Q, ♦2 | pair
♠2, ♠8, ♦6, ♥Q, ♥8 | pair
♠2, ♠8, ♦6, ♥7, ♣7 | pair
♠2, ♠8, ♦6, ♥7, ♦2 | pair
♠2, ♠8, ♦6, ♥7, ♥8 | pair
♠2, ♠8, ♦6, ♥10, ♦2 | pair
♠2, ♠8, ♦6, ♥10, ♥8 | pair
♠2, ♠8, ♦6, ♦5, ♦2 | pair
♠2, ♠8, ♦6, ♦5, ♥8 | pair
♠2, ♠8, ♦6, ♣7, ♦2 | pair
♠2, ♠8, ♦6, ♣7, ♥8 | pair
♠2, ♠8, ♦6, ♦2, ♥8 | two pairs
♠2, ♠8, ♥Q, ♥7, ♣7 | pair
♠2, ♠8, ♥Q, ♥7, ♦2 | pair
♠2, ♠8, ♥Q, ♥7, ♥8 | pair
♠2, ♠8, ♥Q, ♥10, ♦2 | pair
♠2, ♠8, ♥Q, ♥10, ♥8 | pair
♠2, ♠8, ♥Q, ♦5, ♦2 | pair
♠2, ♠8, ♥Q, ♦5, ♥8 | pair
♠2, ♠8, ♥Q, ♣7, ♦2 | pair
♠2, ♠8, ♥Q, ♣7, ♥8 | pair
♠2, ♠8, ♥Q, ♦2, ♥8 | two pairs
♠2, ♠8, ♥7, ♥10, ♣7 | pair
♠2, ♠8, ♥7, ♥10, ♦2 | pair
♠2, ♠8, ♥7, ♥10, ♥8 | pair
♠2, ♠8, ♥7, ♦5, ♣7 | pair
♠2, ♠8, ♥7, ♦5, ♦2 | pair
♠2, ♠8, ♥7, ♦5, ♥8 | pair
♠2, ♠8, ♥7, ♣7, ♦2 | two pairs
♠2, ♠8, ♥7, ♣7, ♥8 | two pairs
♠2, ♠8, ♥7, ♦2, ♥8 | two pairs
♠2, ♠8, ♥10, ♦5, ♦2 | pair
♠2, ♠8, ♥10, ♦5, ♥8 | pair
♠2, ♠8, ♥10, ♣7, ♦2 | pair
♠2, ♠8, ♥10, ♣7, ♥8 | pair
♠2, ♠8, ♥10, ♦2, ♥8 | two pairs
♠2, ♠8, ♦5, ♣7, ♦2 | pair
♠2, ♠8, ♦5, ♣7, ♥8 | pair
♠2, ♠8, ♦5, ♦2, ♥8 | two pairs
♠2, ♠8, ♣7, ♦2, ♥8 | two pairs
♠2, ♥K, ♦A, ♥6, ♦6 | pair
♠2, ♥K, ♦A, ♥6, ♦2 | pair
♠2, ♥K, ♦A, ♦6, ♦2 | pair
♠2, ♥K, ♦A, ♥Q, ♦2 | pair
♠2, ♥K, ♦A, ♥7, ♣7 | pair
♠2, ♥K, ♦A, ♥7, ♦2 | pair
♠2, ♥K, ♦A, ♥10, ♦2 | pair
♠2, ♥K, ♦A, ♦5, ♦2 | pair
♠2, ♥K, ♦A, ♣7, ♦2 | pair
♠2, ♥K, ♦A, ♦2, ♥8 | pair
♠2, ♥K, ♥6, ♦6, ♥Q | pair
♠2, ♥K, ♥6, ♦6, ♥7 | pair
♠2, ♥K, ♥6, ♦6, ♥10 | pair
♠2, ♥K, ♥6, ♦6, ♦5 | pair
♠2, ♥K, ♥6, ♦6, ♣7 | pair
♠2, ♥K, ♥6, ♦6, ♦2 | two pairs
♠2, ♥K, ♥6, ♦6, ♥8 | pair
♠2, ♥K, ♥6, ♥Q, ♦2 | pair
♠2, ♥K, ♥6, ♥7, ♣7 | pair
♠2, ♥K, ♥6, ♥7, ♦2 | pair
♠2, ♥K, ♥6, ♥10, ♦2 | pair
♠2, ♥K, ♥6, ♦5, ♦2 | pair
♠2, ♥K, ♥6, ♣7, ♦2 | pair
♠2, ♥K, ♥6, ♦2, ♥8 | pair
♠2, ♥K, ♦6, ♥Q, ♦2 | pair
♠2, ♥K, ♦6, ♥7, ♣7 | pair
♠2, ♥K, ♦6, ♥7, ♦2 | pair
♠2, ♥K, ♦6, ♥10, ♦2 | pair
♠2, ♥K, ♦6, ♦5, ♦2 | pair
♠2, ♥K, ♦6, ♣7, ♦2 | pair
♠2, ♥K, ♦6, ♦2, ♥8 | pair
♠2, ♥K, ♥Q, ♥7, ♣7 | pair
♠2, ♥K, ♥Q, ♥7, ♦2 | pair
♠2, ♥K, ♥Q, ♥10, ♦2 | pair
♠2, ♥K, ♥Q, ♦5, ♦2 | pair
♠2, ♥K, ♥Q, ♣7, ♦2 | pair
♠2, ♥K, ♥Q, ♦2, ♥8 | pair
♠2, ♥K, ♥7, ♥10, ♣7 | pair
♠2, ♥K, ♥7, ♥10, ♦2 | pair
♠2, ♥K, ♥7, ♦5, ♣7 | pair
♠2, ♥K, ♥7, ♦5, ♦2 | pair
♠2, ♥K, ♥7, ♣7, ♦2 | two pairs
♠2, ♥K, ♥7, ♣7, ♥8 | pair
♠2, ♥K, ♥7, ♦2, ♥8 | pair
♠2, ♥K, ♥10, ♦5, ♦2 | pair
♠2, ♥K, ♥10, ♣7, ♦2 | pair
♠2, ♥K, ♥10, ♦2, ♥8 | pair
♠2, ♥K, ♦5, ♣7, ♦2 | pair
♠2, ♥K, ♦5, ♦2, ♥8 | pair
♠2, ♥K, ♣7, ♦2, ♥8 | pair
♠2, ♦A, ♥6, ♦6, ♥Q | pair
♠2, ♦A, ♥6, ♦6, ♥7 | pair
♠2, ♦A, ♥6, ♦6, ♥10 | pair
♠2, ♦A, ♥6, ♦6, ♦5 | pair
♠2, ♦A, ♥6, ♦6, ♣7 | pair
♠2, ♦A, ♥6, ♦6, ♦2 | two pairs
♠2, ♦A, ♥6, ♦6, ♥8 | pair
♠2, ♦A, ♥6, ♥Q, ♦2 | pair
♠2, ♦A, ♥6, ♥7, ♣7 | pair
♠2, ♦A, ♥6, ♥7, ♦2 | pair
♠2, ♦A, ♥6, ♥10, ♦2 | pair
♠2, ♦A, ♥6, ♦5, ♦2 | pair
♠2, ♦A, ♥6, ♣7, ♦2 | pair
♠2, ♦A, ♥6, ♦2, ♥8 | pair
♠2, ♦A, ♦6, ♥Q, ♦2 | pair
♠2, ♦A, ♦6, ♥7, ♣7 | pair
♠2, ♦A, ♦6, ♥7, ♦2 | pair
♠2, ♦A, ♦6, ♥10, ♦2 | pair
♠2, ♦A, ♦6, ♦5, ♦2 | pair
♠2, ♦A, ♦6, ♣7, ♦2 | pair
♠2, ♦A, ♦6, ♦2, ♥8 | pair
♠2, ♦A, ♥Q, ♥7, ♣7 | pair
♠2, ♦A, ♥Q, ♥7, ♦2 | pair
♠2, ♦A, ♥Q, ♥10, ♦2 | pair
♠2, ♦A, ♥Q, ♦5, ♦2 | pair
♠2, ♦A, ♥Q, ♣7, ♦2 | pair
♠2, ♦A, ♥Q, ♦2, ♥8 | pair
♠2, ♦A, ♥7, ♥10, ♣7 | pair
♠2, ♦A, ♥7, ♥10, ♦2 | pair
♠2, ♦A, ♥7, ♦5, ♣7 | pair
♠2, ♦A, ♥7, ♦5, ♦2 | pair
♠2, ♦A, ♥7, ♣7, ♦2 | two pairs
♠2, ♦A, ♥7, ♣7, ♥8 | pair
♠2, ♦A, ♥7, ♦2, ♥8 | pair
♠2, ♦A, ♥10, ♦5, ♦2 | pair
♠2, ♦A, ♥10, ♣7, ♦2 | pair
♠2, ♦A, ♥10, ♦2, ♥8 | pair
♠2, ♦A, ♦5, ♣7, ♦2 | pair
♠2, ♦A, ♦5, ♦2, ♥8 | pair
♠2, ♦A, ♣7, ♦2, ♥8 | pair
♠2, ♥6, ♦6, ♥Q, ♥7 | pair
♠2, ♥6, ♦6, ♥Q, ♥10 | pair
♠2, ♥6, ♦6, ♥Q, ♦5 | pair
♠2, ♥6, ♦6, ♥Q, ♣7 | pair
♠2, ♥6, ♦6, ♥Q, ♦2 | two pairs
♠2, ♥6, ♦6, ♥Q, ♥8 | pair
♠2, ♥6, ♦6, ♥7, ♥10 | pair
♠2, ♥6, ♦6, ♥7, ♦5 | pair
♠2, ♥6, ♦6, ♥7, ♣7 | two pairs
♠2, ♥6, ♦6, ♥7, ♦2 | two pairs
♠2, ♥6, ♦6, ♥7, ♥8 | pair
♠2, ♥6, ♦6, ♥10, ♦5 | pair
♠2, ♥6, ♦6, ♥10, ♣7 | pair
♠2, ♥6, ♦6, ♥10, ♦2 | two pairs
♠2, ♥6, ♦6, ♥10, ♥8 | pair
♠2, ♥6, ♦6, ♦5, ♣7 | pair
♠2, ♥6, ♦6, ♦5, ♦2 | two pairs
♠2, ♥6, ♦6, ♦5, ♥8 | pair
♠2, ♥6, ♦6, ♣7, ♦2 | two pairs
♠2, ♥6, ♦6, ♣7, ♥8 | pair
♠2, ♥6, ♦6, ♦2, ♥8 | two pairs
♠2, ♥6, ♥Q, ♥7, ♣7 | pair
♠2, ♥6, ♥Q, ♥7, ♦2 | pair
♠2, ♥6, ♥Q, ♥10, ♦2 | pair
♠2, ♥6, ♥Q, ♦5, ♦2 | pair
♠2, ♥6, ♥Q, ♣7, ♦2 | pair
♠2, ♥6, ♥Q, ♦2, ♥8 | pair
♠2, ♥6, ♥7, ♥10, ♣7 | pair
♠2, ♥6, ♥7, ♥10, ♦2 | pair
♠2, ♥6, ♥7, ♦5, ♣7 | pair
♠2, ♥6, ♥7, ♦5, ♦2 | pair
♠2, ♥6, ♥7, ♣7, ♦2 | two pairs
♠2, ♥6, ♥7, ♣7, ♥8 | pair
♠2, ♥6, ♥7, ♦2, ♥8 | pair
♠2, ♥6, ♥10, ♦5, ♦2 | pair
♠2, ♥6, ♥10, ♣7, ♦2 | pair
♠2, ♥6, ♥10, ♦2, ♥8 | pair
♠2, ♥6, ♦5, ♣7, ♦2 | pair
♠2, ♥6, ♦5, ♦2, ♥8 | pair
♠2, ♥6, ♣7, ♦2, ♥8 | pair
♠2, ♦6, ♥Q, ♥7, ♣7 | pair
♠2, ♦6, ♥Q, ♥7, ♦2 | pair
♠2, ♦6, ♥Q, ♥10, ♦2 | pair
♠2, ♦6, ♥Q, ♦5, ♦2 | pair
♠2, ♦6, ♥Q, ♣7, ♦2 | pair
♠2, ♦6, ♥Q, ♦2, ♥8 | pair
♠2, ♦6, ♥7, ♥10, ♣7 | pair
♠2, ♦6, ♥7, ♥10, ♦2 | pair
♠2, ♦6, ♥7, ♦5, ♣7 | pair
♠2, ♦6, ♥7, ♦5, ♦2 | pair
♠2, ♦6, ♥7, ♣7, ♦2 | two pairs
♠2, ♦6, ♥7, ♣7, ♥8 | pair
♠2, ♦6, ♥7, ♦2, ♥8 | pair
♠2, ♦6, ♥10, ♦5, ♦2 | pair
♠2, ♦6, ♥10, ♣7, ♦2 | pair
♠2, ♦6, ♥10, ♦2, ♥8 | pair
♠2, ♦6, ♦5, ♣7, ♦2 | pair
♠2, ♦6, ♦5, ♦2, ♥8 | pair
♠2, ♦6, ♣7, ♦2, ♥8 | pair
♠2, ♥Q, ♥7, ♥10, ♣7 | pair
♠2, ♥Q, ♥7, ♥10, ♦2 | pair
♠2, ♥Q, ♥7, ♦5, ♣7 | pair
♠2, ♥Q, ♥7, ♦5, ♦2 | pair
♠2, ♥Q, ♥7, ♣7, ♦2 | two pairs
♠2, ♥Q, ♥7, ♣7, ♥8 | pair
♠2, ♥Q, ♥7, ♦2, ♥8 | pair
♠2, ♥Q, ♥10, ♦5, ♦2 | pair
♠2, ♥Q, ♥10, ♣7, ♦2 | pair
♠2, ♥Q, ♥10, ♦2, ♥8 | pair
♠2, ♥Q, ♦5, ♣7, ♦2 | pair
♠2, ♥Q, ♦5, ♦2, ♥8 | pair
♠2, ♥Q, ♣7, ♦2, ♥8 | pair
♠2, ♥7, ♥10, ♦5, ♣7 | pair
♠2, ♥7, ♥10, ♦5, ♦2 | pair
♠2, ♥7, ♥10, ♣7, ♦2 | two pairs
♠2, ♥7, ♥10, ♣7, ♥8 | pair
♠2, ♥7, ♥10, ♦2, ♥8 | pair
♠2, ♥7, ♦5, ♣7, ♦2 | two pairs
♠2, ♥7, ♦5, ♣7, ♥8 | pair
♠2, ♥7, ♦5, ♦2, ♥8 | pair
♠2, ♥7, ♣7, ♦2, ♥8 | two pairs
♠2, ♥10, ♦5, ♣7, ♦2 | pair
♠2, ♥10, ♦5, ♦2, ♥8 | pair
♠2, ♥10, ♣7, ♦2, ♥8 | pair
♠2, ♦5, ♣7, ♦2, ♥8 | pair
♠8, ♥K, ♦A, ♥6, ♦6 | pair
♠8, ♥K, ♦A, ♥6, ♥8 | pair
♠8, ♥K, ♦A, ♦6, ♥8 | pair
♠8, ♥K, ♦A, ♥Q, ♥8 | pair
♠8, ♥K, ♦A, ♥7, ♣7 | pair
♠8, ♥K, ♦A, ♥7, ♥8 | pair
♠8, ♥K, ♦A, ♥10, ♥8 | pair
♠8, ♥K, ♦A, ♦5, ♥8 | pair
♠8, ♥K, ♦A, ♣7, ♥8 | pair
♠8, ♥K, ♦A, ♦2, ♥8 | pair
♠8, ♥K, ♥6, ♦6, ♥Q | pair
♠8, ♥K, ♥6, ♦6, ♥7 | pair
♠8, ♥K, ♥6, ♦6, ♥10 | pair
♠8, ♥K, ♥6, ♦6, ♦5 | pair
♠8, ♥K, ♥6, ♦6, ♣7 | pair
♠8, ♥K, ♥6, ♦6, ♦2 | pair
♠8, ♥K, ♥6, ♦6, ♥8 | two pairs
♠8, ♥K, ♥6, ♥Q, ♥8 | pair
♠8, ♥K, ♥6, ♥7, ♣7 | pair
♠8, ♥K, ♥6, ♥7, ♥8 | pair
♠8, ♥K, ♥6, ♥10, ♥8 | pair
♠8, ♥K, ♥6, ♦5, ♥8 | pair
♠8, ♥K, ♥6, ♣7, ♥8 | pair
♠8, ♥K, ♥6, ♦2, ♥8 | pair
♠8, ♥K, ♦6, ♥Q, ♥8 | pair
♠8, ♥K, ♦6, ♥7, ♣7 | pair
♠8, ♥K, ♦6, ♥7, ♥8 | pair
♠8, ♥K, ♦6, ♥10, ♥8 | pair
♠8, ♥K, ♦6, ♦5, ♥8 | pair
♠8, ♥K, ♦6, ♣7, ♥8 | pair
♠8, ♥K, ♦6, ♦2, ♥8 | pair
♠8, ♥K, ♥Q, ♥7, ♣7 | pair
♠8, ♥K, ♥Q, ♥7, ♥8 | pair
♠8, ♥K, ♥Q, ♥10, ♥8 | pair
♠8, ♥K, ♥Q, ♦5, ♥8 | pair
♠8, ♥K, ♥Q, ♣7, ♥8 | pair
♠8, ♥K, ♥Q, ♦2, ♥8 | pair
♠8, ♥K, ♥7, ♥10, ♣7 | pair
♠8, ♥K, ♥7, ♥10, ♥8 | pair
♠8, ♥K, ♥7, ♦5, ♣7 | pair
♠8, ♥K, ♥7, ♦5, ♥8 | pair
♠8, ♥K, ♥7, ♣7, ♦2 | pair
♠8, ♥K, ♥7, ♣7, ♥8 | two pairs
♠8, ♥K, ♥7, ♦2, ♥8 | pair
♠8, ♥K, ♥10, ♦5, ♥8 | pair
♠8, ♥K, ♥10, ♣7, ♥8 | pair
♠8, ♥K, ♥10, ♦2, ♥8 | pair
♠8, ♥K, ♦5, ♣7, ♥8 | pair
♠8, ♥K, ♦5, ♦2, ♥8 | pair
♠8, ♥K, ♣7, ♦2, ♥8 | pair
♠8, ♦A, ♥6, ♦6, ♥Q | pair
♠8, ♦A, ♥6, ♦6, ♥7 | pair
♠8, ♦A, ♥6, ♦6, ♥10 | pair
♠8, ♦A, ♥6, ♦6, ♦5 | pair
♠8, ♦A, ♥6, ♦6, ♣7 | pair
♠8, ♦A, ♥6, ♦6, ♦2 | pair
♠8, ♦A, ♥6, ♦6, ♥8 | two pairs
♠8, ♦A, ♥6, ♥Q, ♥8 | pair
♠8, ♦A, ♥6, ♥7, ♣7 | pair
♠8, ♦A, ♥6, ♥7, ♥8 | pair
♠8, ♦A, ♥6, ♥10, ♥8 | pair
♠8, ♦A, ♥6, ♦5, ♥8 | pair
♠8, ♦A, ♥6, ♣7, ♥8 | pair
♠8, ♦A, ♥6, ♦2, ♥8 | pair
♠8, ♦A, ♦6, ♥Q, ♥8 | pair
♠8, ♦A, ♦6, ♥7, ♣7 | pair
♠8, ♦A, ♦6, ♥7, ♥8 | pair
♠8, ♦A, ♦6, ♥10, ♥8 | pair
♠8, ♦A, ♦6, ♦5, ♥8 | pair
♠8, ♦A, ♦6, ♣7, ♥8 | pair
♠8, ♦A, ♦6, ♦2, ♥8 | pair
♠8, ♦A, ♥Q, ♥7, ♣7 | pair
♠8, ♦A, ♥Q, ♥7, ♥8 | pair
♠8, ♦A, ♥Q, ♥10, ♥8 | pair
♠8, ♦A, ♥Q, ♦5, ♥8 | pair
♠8, ♦A, ♥Q, ♣7, ♥8 | pair
♠8, ♦A, ♥Q, ♦2, ♥8 | pair
♠8, ♦A, ♥7, ♥10, ♣7 | pair
♠8, ♦A, ♥7, ♥10, ♥8 | pair
♠8, ♦A, ♥7, ♦5, ♣7 | pair
♠8, ♦A, ♥7, ♦5, ♥8 | pair
♠8, ♦A, ♥7, ♣7, ♦2 | pair
♠8, ♦A, ♥7, ♣7, ♥8 | two pairs
♠8, ♦A, ♥7, ♦2, ♥8 | pair
♠8, ♦A, ♥10, ♦5, ♥8 | pair
♠8, ♦A, ♥10, ♣7, ♥8 | pair
♠8, ♦A, ♥10, ♦2, ♥8 | pair
♠8, ♦A, ♦5, ♣7, ♥8 | pair
♠8, ♦A, ♦5, ♦2, ♥8 | pair
♠8, ♦A, ♣7, ♦2, ♥8 | pair
♠8, ♥6, ♦6, ♥Q, ♥7 | pair
♠8, ♥6, ♦6, ♥Q, ♥10 | pair
♠8, ♥6, ♦6, ♥Q, ♦5 | pair
♠8, ♥6, ♦6, ♥Q, ♣7 | pair
