♥A, ♥A, ♠7, ♦J, ♣5 | pair
♣5, ♥3, ♣8, ♣6, ♠6 | pair
♣5, ♥3, ♣Q, ♣Q, ♣7 | pair
♣5, ♥3, ♣Q, ♣Q, ♣6 | pair
♣5, ♥3, ♣Q, ♣Q, ♠4 | pair
♣5, ♥3, ♣Q, ♣Q, ♠K | pair
♣5, ♥3, ♣Q, ♣Q, ♣J | pair
♣5, ♥3, ♣Q, ♣Q, ♠6 | pair
♣5, ♥3, ♣Q, ♣6, ♠6 | pair
♣5, ♥3, ♣Q, ♣6, ♠6 | pair
♣5, ♥3, ♣7, ♣6, ♠4 | straight
♣5, ♥3, ♣7, ♣6, ♠6 | pair
♣5, ♥3, ♣7, ♠4, ♠6 | straight
♣5, ♥3, ♣6, ♠4, ♠6 | pair
♣5, ♥3, ♣6, ♠K, ♠6 | pair
♣5, ♥3, ♣6, ♣J, ♠6 | pair
♣5, ♦9, ♣8, ♣Q, ♣Q | pair
♣5, ♦9, ♣8, ♣7, ♣6 | straight
♣5, ♦9, ♣8, ♣7, ♠6 | straight
♣5, ♦9, ♣8, ♣6, ♠6 | pair
♣5, ♦9, ♣Q, ♣Q, ♣7 | pair
♣5, ♦9, ♣Q, ♣Q, ♣6 | pair
♣5, ♦9, ♣Q, ♣Q, ♠4 | pair
♣5, ♦9, ♣Q, ♣Q, ♠K | pair
♣5, ♦9, ♣Q, ♣Q, ♣J | pair
♣5, ♦9, ♣Q, ♣Q, ♠6 | pair
♣5, ♦9, ♣Q, ♣6, ♠6 | pair
♣5, ♦9, ♣Q, ♣6, ♠6 | pair
♣5, ♦9, ♣7, ♣6, ♠6 | pair
♣5, ♦9, ♣6, ♠4, ♠6 | pair
♣5, ♦9, ♣6, ♠K, ♠6 | pair
♣5, ♦9, ♣6, ♣J, ♠6 | pair
♣5, ♣8, ♣Q, ♣Q, ♣7 | flush
♣5, ♣8, ♣Q, ♣Q, ♣6 | flush
♣5, ♣8, ♣Q, ♣Q, ♠4 | pair
♣5, ♣8, ♣Q, ♣Q, ♠K | pair
♣5, ♣8, ♣Q, ♣Q, ♣J | flush
♣5, ♣8, ♣Q, ♣Q, ♠6 | pair
♣5, ♣8, ♣Q, ♣7, ♣6 | flush
♣5, ♣8, ♣Q, ♣7, ♣J | flush
♣5, ♣8, ♣Q, ♣6, ♣J | flush
♣5, ♣8, ♣Q, ♣6, ♠6 | pair
♣5, ♣8, ♣Q, ♣7, ♣6 | flush
♣5, ♣8, ♣Q, ♣7, ♣J | flush
♣5, ♣8, ♣Q, ♣6, ♣J | flush
♣5, ♣8, ♣Q, ♣6, ♠6 | pair
♣5, ♣8, ♣7, ♣6, ♠4 | straight
♣5, ♣8, ♣7, ♣6, ♣J | flush
♣5, ♣8, ♣7, ♣6, ♠6 | pair
♣5, ♣8, ♣7, ♠4, ♠6 | straight
♣5, ♣8, ♣6, ♠4, ♠6 | pair
♣5, ♣8, ♣6, ♠K, ♠6 | pair
♣5, ♣8, ♣6, ♣J, ♠6 | pair
♣5, ♣Q, ♣Q, ♣7, ♣6 | flush
♣5, ♣Q, ♣Q, ♣7, ♠4 | pair
♣5, ♣Q, ♣Q, ♣7, ♠K | pair
♣5, ♣Q, ♣Q, ♣7, ♣J | flush
♣5, ♣Q, ♣Q, ♣7, ♠6 | pair
♣5, ♣Q, ♣Q, ♣6, ♠4 | pair
♣5, ♣Q, ♣Q, ♣6, ♠K | pair
♣5, ♣Q, ♣Q, ♣6, ♣J | flush
♣5, ♣Q, ♣Q, ♣6, ♠6 | two pairs
♣5, ♣Q, ♣Q, ♠4, ♠K | pair
♣5, ♣Q, ♣Q, ♠4, ♣J | pair
♣5, ♣Q, ♣Q, ♠4, ♠6 | pair
♣5, ♣Q, ♣Q, ♠K, ♣J | pair
♣5, ♣Q, ♣Q, ♠K, ♠6 | pair
♣5, ♣Q, ♣Q, ♣J, ♠6 | pair
♣5, ♣Q, ♣7, ♣6, ♣J | flush
♣5, ♣Q, ♣7, ♣6, ♠6 | pair
♣5, ♣Q, ♣6, ♠4, ♠6 | pair
♣5, ♣Q, ♣6, ♠K, ♠6 | pair
♣5, ♣Q, ♣6, ♣J, ♠6 | pair
♣5, ♣Q, ♣7, ♣6, ♣J | flush
♣5, ♣Q, ♣7, ♣6, ♠6 | pair
♣5, ♣Q, ♣6, ♠4, ♠6 | pair
♣5, ♣Q, ♣6, ♠K, ♠6 | pair
♣5, ♣Q, ♣6, ♣J, ♠6 | pair
♣5, ♣7, ♣6, ♠4, ♠6 | pair
♣5, ♣7, ♣6, ♠K, ♠6 | pair
♣5, ♣7, ♣6, ♣J, ♠6 | pair
♣5, ♣6, ♠4, ♠K, ♠6 | pair
♣5, ♣6, ♠4, ♣J, ♠6 | pair
♣5, ♣6, ♠K, ♣J, ♠6 | pair
♥3, ♦9, ♣8, ♣Q, ♣Q | pair
♥3, ♦9, ♣8, ♣6, ♠6 | pair
♥3, ♦9, ♣Q, ♣Q, ♣7 | pair
♥3, ♦9, ♣Q, ♣Q, ♣6 | pair
♥3, ♦9, ♣Q, ♣Q, ♠4 | pair
♥3, ♦9, ♣Q, ♣Q, ♠K | pair
♥3, ♦9, ♣Q, ♣Q, ♣J | pair
♥3, ♦9, ♣Q, ♣Q, ♠6 | pair
♥3, ♦9, ♣Q, ♣6, ♠6 | pair
♥3, ♦9, ♣Q, ♣6, ♠6 | pair
♥3, ♦9, ♣7, ♣6, ♠6 | pair
♥3, ♦9, ♣6, ♠4, ♠6 | pair
♥3, ♦9, ♣6, ♠K, ♠6 | pair
♥3, ♦9, ♣6, ♣J, ♠6 | pair
♥3, ♣8, ♣Q, ♣Q, ♣7 | pair
♥3, ♣8, ♣Q, ♣Q, ♣6 | pair
♥3, ♣8, ♣Q, ♣Q, ♠4 | pair
♥3, ♣8, ♣Q, ♣Q, ♠K | pair
♥3, ♣8, ♣Q, ♣Q, ♣J | pair
♥3, ♣8, ♣Q, ♣Q, ♠6 | pair
♥3, ♣8, ♣Q, ♣6, ♠6 | pair
♥3, ♣8, ♣Q, ♣6, ♠6 | pair
♥3, ♣8, ♣7, ♣6, ♠6 | pair
♥3, ♣8, ♣6, ♠4, ♠6 | pair
♥3, ♣8, ♣6, ♠K, ♠6 | pair
♥3, ♣8, ♣6, ♣J, ♠6 | pair
♥3, ♣Q, ♣Q, ♣7, ♣6 | pair
♥3, ♣Q, ♣Q, ♣7, ♠4 | pair
♥3, ♣Q, ♣Q, ♣7, ♠K | pair
♥3, ♣Q, ♣Q, ♣7, ♣J | pair
♥3, ♣Q, ♣Q, ♣7, ♠6 | pair
♥3, ♣Q, ♣Q, ♣6, ♠4 | pair
♥3, ♣Q, ♣Q, ♣6, ♠K | pair
♥3, ♣Q, ♣Q, ♣6, ♣J | pair
♥3, ♣Q, ♣Q, ♣6, ♠6 | two pairs
♥3, ♣Q, ♣Q, ♠4, ♠K | pair
♥3, ♣Q, ♣Q, ♠4, ♣J | pair
♥3, ♣Q, ♣Q, ♠4, ♠6 | pair
♥3, ♣Q, ♣Q, ♠K, ♣J | pair
♥3, ♣Q, ♣Q, ♠K, ♠6 | pair
♥3, ♣Q, ♣Q, ♣J, ♠6 | pair
♥3, ♣Q, ♣7, ♣6, ♠6 | pair
♥3, ♣Q, ♣6, ♠4, ♠6 | pair
♥3, ♣Q, ♣6, ♠K, ♠6 | pair
♥3, ♣Q, ♣6, ♣J, ♠6 | pair
♥3, ♣Q, ♣7, ♣6, ♠6 | pair
♥3, ♣Q, ♣6, ♠4, ♠6 | pair
♥3, ♣Q, ♣6, ♠K, ♠6 | pair
♥3, ♣Q, ♣6, ♣J, ♠6 | pair
♥3, ♣7, ♣6, ♠4, ♠6 | pair
♥3, ♣7, ♣6, ♠K, ♠6 | pair
♥3, ♣7, ♣6, ♣J, ♠6 | pair
♥3, ♣6, ♠4, ♠K, ♠6 | pair
♥3, ♣6, ♠4, ♣J, ♠6 | pair
♥3, ♣6, ♠K, ♣J, ♠6 | pair
♦9, ♣8, ♣Q, ♣Q, ♣7 | pair
♦9, ♣8, ♣Q, ♣Q, ♣6 | pair
♦9, ♣8, ♣Q, ♣Q, ♠4 | pair
♦9, ♣8, ♣Q, ♣Q, ♠K | pair
♦9, ♣8, ♣Q, ♣Q, ♣J | pair
♦9, ♣8, ♣Q, ♣Q, ♠6 | pair
♦9, ♣8, ♣Q, ♣6, ♠6 | pair
♦9, ♣8, ♣Q, ♣6, ♠6 | pair
♦9, ♣8, ♣7, ♣6, ♠6 | pair
♦9, ♣8, ♣6, ♠4, ♠6 | pair
♦9, ♣8, ♣6, ♠K, ♠6 | pair
♦9, ♣8, ♣6, ♣J, ♠6 | pair
♦9, ♣Q, ♣Q, ♣7, ♣6 | pair
♦9, ♣Q, ♣Q, ♣7, ♠4 | pair
♦9, ♣Q, ♣Q, ♣7, ♠K | pair
♦9, ♣Q, ♣Q, ♣7, ♣J | pair
♦9, ♣Q, ♣Q, ♣7, ♠6 | pair
♦9, ♣Q, ♣Q, ♣6, ♠4 | pair
♦9, ♣Q, ♣Q, ♣6, ♠K | pair
♦9, ♣Q, ♣Q, ♣6, ♣J | pair
♦9, ♣Q, ♣Q, ♣6, ♠6 | two pairs
♦9, ♣Q, ♣Q, ♠4, ♠K | pair
♦9, ♣Q, ♣Q, ♠4, ♣J | pair
♦9, ♣Q, ♣Q, ♠4, ♠6 | pair
♦9, ♣Q, ♣Q, ♠K, ♣J | pair
♦9, ♣Q, ♣Q, ♠K, ♠6 | pair
♦9, ♣Q, ♣Q, ♣J, ♠6 | pair
♦9, ♣Q, ♣7, ♣6, ♠6 | pair
♦9, ♣Q, ♣6, ♠4, ♠6 | pair
♦9, ♣Q, ♣6, ♠K, ♠6 | pair
♦9, ♣Q, ♣6, ♣J, ♠6 | pair
♦9, ♣Q, ♣7, ♣6, ♠6 | pair
♦9, ♣Q, ♣6, ♠4, ♠6 | pair
♦9, ♣Q, ♣6, ♠K, ♠6 | pair
♦9, ♣Q, ♣6, ♣J, ♠6 | pair
♦9, ♣7, ♣6, ♠4, ♠6 | pair
♦9, ♣7, ♣6, ♠K, ♠6 | pair
♦9, ♣7, ♣6, ♣J, ♠6 | pair
♦9, ♣6, ♠4, ♠K, ♠6 | pair
♦9, ♣6, ♠4, ♣J, ♠6 | pair
♦9, ♣6, ♠K, ♣J, ♠6 | pair
♣8, ♣Q, ♣Q, ♣7, ♣6 | flush
♣8, ♣Q, ♣Q, ♣7, ♠4 | pair
♣8, ♣Q, ♣Q, ♣7, ♠K | pair
♣8, ♣Q, ♣Q, ♣7, ♣J | flush
♣8, ♣Q, ♣Q, ♣7, ♠6 | pair
♣8, ♣Q, ♣Q, ♣6, ♠4 | pair
♣8, ♣Q, ♣Q, ♣6, ♠K | pair
♣8, ♣Q, ♣Q, ♣6, ♣J | flush
♣8, ♣Q, ♣Q, ♣6, ♠6 | two pairs
♣8, ♣Q, ♣Q, ♠4, ♠K | pair
♣8, ♣Q, ♣Q, ♠4, ♣J | pair
♣8, ♣Q, ♣Q, ♠4, ♠6 | pair
♣8, ♣Q, ♣Q, ♠K, ♣J | pair
♣8, ♣Q, ♣Q, ♠K, ♠6 | pair
♣8, ♣Q, ♣Q, ♣J, ♠6 | pair
♣8, ♣Q, ♣7, ♣6, ♣J | flush
♣8, ♣Q, ♣7, ♣6, ♠6 | pair
♣8, ♣Q, ♣6, ♠4, ♠6 | pair
♣8, ♣Q, ♣6, ♠K, ♠6 | pair
♣8, ♣Q, ♣6, ♣J, ♠6 | pair
♣8, ♣Q, ♣7, ♣6, ♣J | flush
♣8, ♣Q, ♣7, ♣6, ♠6 | pair
♣8, ♣Q, ♣6, ♠4, ♠6 | pair
♣8, ♣Q, ♣6, ♠K, ♠6 | pair
♣8, ♣Q, ♣6, ♣J, ♠6 | pair
♣8, ♣7, ♣6, ♠4, ♠6 | pair
♣8, ♣7, ♣6, ♠K, ♠6 | pair
♣8, ♣7, ♣6, ♣J, ♠6 | pair
♣8, ♣6, ♠4, ♠K, ♠6 | pair
♣8, ♣6, ♠4, ♣J, ♠6 | pair
♣8, ♣6, ♠K, ♣J, ♠6 | pair
♣Q, ♣Q, ♣7, ♣6, ♠4 | pair
♣Q, ♣Q, ♣7, ♣6, ♠K | pair
♣Q, ♣Q, ♣7, ♣6, ♣J | flush
♣Q, ♣Q, ♣7, ♣6, ♠6 | two pairs
♣Q, ♣Q, ♣7, ♠4, ♠K | pair
♣Q, ♣Q, ♣7, ♠4, ♣J | pair
♣Q, ♣Q, ♣7, ♠4, ♠6 | pair
♣Q, ♣Q, ♣7, ♠K, ♣J | pair
♣Q, ♣Q, ♣7, ♠K, ♠6 | pair
♣Q, ♣Q, ♣7, ♣J, ♠6 | pair
♣Q, ♣Q, ♣6, ♠4, ♠K | pair
♣Q, ♣Q, ♣6, ♠4, ♣J | pair
♣Q, ♣Q, ♣6, ♠4, ♠6 | two pairs
♣Q, ♣Q, ♣6, ♠K, ♣J | pair
♣Q, ♣Q, ♣6, ♠K, ♠6 | two pairs
♣Q, ♣Q, ♣6, ♣J, ♠6 | two pairs
♣Q, ♣Q, ♠4, ♠K, ♣J | pair
♣Q, ♣Q, ♠4, ♠K, ♠6 | pair
♣Q, ♣Q, ♠4, ♣J, ♠6 | pair
♣Q, ♣Q, ♠K, ♣J, ♠6 | pair
♣Q, ♣7, ♣6, ♠4, ♠6 | pair
♣Q, ♣7, ♣6, ♠K, ♠6 | pair
♣Q, ♣7, ♣6, ♣J, ♠6 | pair
♣Q, ♣6, ♠4, ♠K, ♠6 | pair
♣Q, ♣6, ♠4, ♣J, ♠6 | pair
♣Q, ♣6, ♠K, ♣J, ♠6 | pair
♣Q, ♣7, ♣6, ♠4, ♠6 | pair
♣Q, ♣7, ♣6, ♠K, ♠6 | pair
♣Q, ♣7, ♣6, ♣J, ♠6 | pair
♣Q, ♣6, ♠4, ♠K, ♠6 | pair
♣Q, ♣6, ♠4, ♣J, ♠6 | pair
♣Q, ♣6, ♠K, ♣J, ♠6 | pair
♣7, ♣6, ♠4, ♠K, ♠6 | pair
♣7, ♣6, ♠4, ♣J, ♠6 | pair
♣7, ♣6, ♠K, ♣J, ♠6 | pair
♣6, ♠4, ♠K, ♣J, ♠6 | pair
