♥K, ♥A, ♣4, ♠K, ♦8 | pair
♥A, ♠K, ♦8, ♦8, ♦2 | pair
♥A, ♠K, ♦8, ♦8, ♦A | two pairs
♥A, ♠K, ♦8, ♦2, ♦A | pair
♥A, ♠K, ♥7, ♦10, ♦A | pair
♥A, ♠K, ♥7, ♦10, ♣7 | pair
♥A, ♠K, ♥7, ♦10, ♦K | pair
♥A, ♠K, ♥7, ♦10, ♠K | pair
♥A, ♠K, ♥7, ♦10, ♠7 | pair
♥A, ♠K, ♥7, ♦10, ♥A | pair
♥A, ♠K, ♥7, ♦10, ♦A | pair
♥A, ♠K, ♥7, ♦A, ♣7 | two pairs
♥A, ♠K, ♥7, ♦A, ♦K | two pairs
♥A, ♠K, ♥7, ♦A, ♠K | two pairs
♥A, ♠K, ♥7, ♦A, ♠7 | two pairs
♥A, ♠K, ♥7, ♦A, ♥A | three of a kind
♥A, ♠K, ♥7, ♦A, ♦8 | pair
♥A, ♠K, ♥7, ♦A, ♦2 | pair
♥A, ♠K, ♥7, ♦A, ♦A | three of a kind
♥A, ♠K, ♥7, ♣7, ♦K | two pairs
♥A, ♠K, ♥7, ♣7, ♠K | two pairs
♥A, ♠K, ♥7, ♣7, ♠7 | three of a kind
♥A, ♠K, ♥7, ♣7, ♥A | two pairs
♥A, ♠K, ♥7, ♣7, ♦8 | pair
♥A, ♠K, ♥7, ♣7, ♦2 | pair
♥A, ♠K, ♥7, ♣7, ♦A | two pairs
♥A, ♠K, ♥7, ♦K, ♠K | three of a kind
♥A, ♠K, ♥7, ♦K, ♠7 | two pairs
♥A, ♠K, ♥7, ♦K, ♥A | two pairs
♥A, ♠K, ♥7, ♦K, ♦8 | pair
♥A, ♠K, ♥7, ♦K, ♦2 | pair
♥A, ♠K, ♥7, ♦K, ♦A | two pairs
♥A, ♠K, ♥7, ♠K, ♠7 | two pairs
♥A, ♠K, ♥7, ♠K, ♥A | two pairs
♥A, ♠K, ♥7, ♠K, ♦8 | pair
♥A, ♠K, ♥7, ♠K, ♦2 | pair
♥A, ♠K, ♥7, ♠K, ♦A | two pairs
♥A, ♠K, ♥7, ♠7, ♥A | two pairs
♥A, ♠K, ♥7, ♠7, ♦8 | pair
♥A, ♠K, ♥7, ♠7, ♦2 | pair
♥A, ♠K, ♥7, ♠7, ♦A | two pairs
♥A, ♠K, ♥7, ♥A, ♦8 | pair
♥A, ♠K, ♥7, ♥A, ♦2 | pair
♥A, ♠K, ♥7, ♥A, ♦A | three of a kind
♥A, ♠K, ♥7, ♦8, ♦A | pair
♥A, ♠K, ♥7, ♦2, ♦A | pair
♥A, ♠K, ♦10, ♦A, ♣7 | pair
♥A, ♠K, ♦10, ♦A, ♦K | two pairs
♥A, ♠K, ♦10, ♦A, ♠K | two pairs
♥A, ♠K, ♦10, ♦A, ♠7 | pair
♥A, ♠K, ♦10, ♦A, ♥A | three of a kind
♥A, ♠K, ♦10, ♦A, ♦8 | pair
♥A, ♠K, ♦10, ♦A, ♦2 | pair
♥A, ♠K, ♦10, ♦A, ♦A | three of a kind
♥A, ♠K, ♦10, ♣7, ♦K | pair
♥A, ♠K, ♦10, ♣7, ♠K | pair
♥A, ♠K, ♦10, ♣7, ♠7 | pair
♥A, ♠K, ♦10, ♣7, ♥A | pair
♥A, ♠K, ♦10, ♣7, ♦A | pair
♥A, ♠K, ♦10, ♦K, ♠K | three of a kind
♥A, ♠K, ♦10, ♦K, ♠7 | pair
♥A, ♠K, ♦10, ♦K, ♥A | two pairs
♥A, ♠K, ♦10, ♦K, ♦8 | pair
♥A, ♠K, ♦10, ♦K, ♦2 | pair
♥A, ♠K, ♦10, ♦K, ♦A | two pairs
♥A, ♠K, ♦10, ♠K, ♠7 | pair
♥A, ♠K, ♦10, ♠K, ♥A | two pairs
♥A, ♠K, ♦10, ♠K, ♦8 | pair
♥A, ♠K, ♦10, ♠K, ♦2 | pair
♥A, ♠K, ♦10, ♠K, ♦A | two pairs
♥A, ♠K, ♦10, ♠7, ♥A | pair
♥A, ♠K, ♦10, ♠7, ♦A | pair
♥A, ♠K, ♦10, ♥A, ♦8 | pair
♥A, ♠K, ♦10, ♥A, ♦2 | pair
♥A, ♠K, ♦10, ♥A, ♦A | three of a kind
♥A, ♠K, ♦10, ♦8, ♦A | pair
♥A, ♠K, ♦10, ♦2, ♦A | pair
♥A, ♠K, ♦A, ♣7, ♦K | two pairs
♥A, ♠K, ♦A, ♣7, ♠K | two pairs
♥A, ♠K, ♦A, ♣7, ♠7 | two pairs
♥A, ♠K, ♦A, ♣7, ♥A | three of a kind
♥A, ♠K, ♦A, ♣7, ♦8 | pair
♥A, ♠K, ♦A, ♣7, ♦2 | pair
♥A, ♠K, ♦A, ♣7, ♦A | three of a kind
♥A, ♠K, ♦A, ♦K, ♠K | fullhouse
♥A, ♠K, ♦A, ♦K, ♠7 | two pairs
♥A, ♠K, ♦A, ♦K, ♥A | fullhouse
♥A, ♠K, ♦A, ♦K, ♦8 | two pairs
♥A, ♠K, ♦A, ♦K, ♦2 | two pairs
♥A, ♠K, ♦A, ♦K, ♦A | fullhouse
♥A, ♠K, ♦A, ♠K, ♠7 | two pairs
♥A, ♠K, ♦A, ♠K, ♥A | fullhouse
♥A, ♠K, ♦A, ♠K, ♦8 | two pairs
♥A, ♠K, ♦A, ♠K, ♦2 | two pairs
♥A, ♠K, ♦A, ♠K, ♦A | fullhouse
♥A, ♠K, ♦A, ♠7, ♥A | three of a kind
♥A, ♠K, ♦A, ♠7, ♦8 | pair
♥A, ♠K, ♦A, ♠7, ♦2 | pair
♥A, ♠K, ♦A, ♠7, ♦A | three of a kind
♥A, ♠K, ♦A, ♥A, ♦8 | three of a kind
♥A, ♠K, ♦A, ♥A, ♦2 | three of a kind
♥A, ♠K, ♦A, ♥A, ♦A | four of a kind!
♥A, ♠K, ♦A, ♦8, ♦2 | pair
♥A, ♠K, ♦A, ♦8, ♦A | three of a kind
♥A, ♠K, ♦A, ♦2, ♦A | three of a kind
♥A, ♠K, ♣7, ♦K, ♠K | three of a kind
♥A, ♠K, ♣7, ♦K, ♠7 | two pairs
♥A, ♠K, ♣7, ♦K, ♥A | two pairs
♥A, ♠K, ♣7, ♦K, ♦8 | pair
♥A, ♠K, ♣7, ♦K, ♦2 | pair
♥A, ♠K, ♣7, ♦K, ♦A | two pairs
♥A, ♠K, ♣7, ♠K, ♠7 | two pairs
♥A, ♠K, ♣7, ♠K, ♥A | two pairs
♥A, ♠K, ♣7, ♠K, ♦8 | pair
♥A, ♠K, ♣7, ♠K, ♦2 | pair
♥A, ♠K, ♣7, ♠K, ♦A | two pairs
♥A, ♠K, ♣7, ♠7, ♥A | two pairs
♥A, ♠K, ♣7, ♠7, ♦8 | pair
♥A, ♠K, ♣7, ♠7, ♦2 | pair
♥A, ♠K, ♣7, ♠7, ♦A | two pairs
♥A, ♠K, ♣7, ♥A, ♦8 | pair
♥A, ♠K, ♣7, ♥A, ♦2 | pair
♥A, ♠K, ♣7, ♥A, ♦A | three of a kind
♥A, ♠K, ♣7, ♦8, ♦A | pair
♥A, ♠K, ♣7, ♦2, ♦A | pair
♥A, ♠K, ♦K, ♠K, ♠7 | three of a kind
♥A, ♠K, ♦K, ♠K, ♥A | fullhouse
♥A, ♠K, ♦K, ♠K, ♦8 | three of a kind
♥A, ♠K, ♦K, ♠K, ♦2 | three of a kind
♥A, ♠K, ♦K, ♠K, ♦A | fullhouse
♥A, ♠K, ♦K, ♠7, ♥A | two pairs
♥A, ♠K, ♦K, ♠7, ♦8 | pair
♥A, ♠K, ♦K, ♠7, ♦2 | pair
♥A, ♠K, ♦K, ♠7, ♦A | two pairs
♥A, ♠K, ♦K, ♥A, ♦8 | two pairs
♥A, ♠K, ♦K, ♥A, ♦2 | two pairs
♥A, ♠K, ♦K, ♥A, ♦A | fullhouse
♥A, ♠K, ♦K, ♦8, ♦2 | pair
♥A, ♠K, ♦K, ♦8, ♦A | two pairs
♥A, ♠K, ♦K, ♦2, ♦A | two pairs
♥A, ♠K, ♠K, ♠7, ♥A | two pairs
♥A, ♠K, ♠K, ♠7, ♦8 | pair
♥A, ♠K, ♠K, ♠7, ♦2 | pair
♥A, ♠K, ♠K, ♠7, ♦A | two pairs
♥A, ♠K, ♠K, ♥A, ♦8 | two pairs
♥A, ♠K, ♠K, ♥A, ♦2 | two pairs
♥A, ♠K, ♠K, ♥A, ♦A | fullhouse
♥A, ♠K, ♠K, ♦8, ♦2 | pair
♥A, ♠K, ♠K, ♦8, ♦A | two pairs
♥A, ♠K, ♠K, ♦2, ♦A | two pairs
♥A, ♠K, ♠7, ♥A, ♦8 | pair
♥A, ♠K, ♠7, ♥A, ♦2 | pair
♥A, ♠K, ♠7, ♥A, ♦A | three of a kind
♥A, ♠K, ♠7, ♦8, ♦A | pair
♥A, ♠K, ♠7, ♦2, ♦A | pair
♥A, ♠K, ♥A, ♦8, ♦2 | pair
♥A, ♠K, ♥A, ♦8, ♦A | three of a kind
♥A, ♠K, ♥A, ♦2, ♦A | three of a kind
♥A, ♠K, ♦8, ♦2, ♦A | pair
♥A, ♦8, ♥7, ♦10, ♦A | pair
♥A, ♦8, ♥7, ♦10, ♣7 | pair
♥A, ♦8, ♥7, ♦10, ♠7 | pair
♥A, ♦8, ♥7, ♦10, ♥A | pair
♥A, ♦8, ♥7, ♦10, ♦8 | pair
♥A, ♦8, ♥7, ♦10, ♦A | pair
♥A, ♦8, ♥7, ♦A, ♣7 | two pairs
♥A, ♦8, ♥7, ♦A, ♦K | pair
♥A, ♦8, ♥7, ♦A, ♠K | pair
♥A, ♦8, ♥7, ♦A, ♠7 | two pairs
♥A, ♦8, ♥7, ♦A, ♥A | three of a kind
♥A, ♦8, ♥7, ♦A, ♦8 | two pairs
♥A, ♦8, ♥7, ♦A, ♦2 | pair
♥A, ♦8, ♥7, ♦A, ♦A | three of a kind
♥A, ♦8, ♥7, ♣7, ♦K | pair
♥A, ♦8, ♥7, ♣7, ♠K | pair
♥A, ♦8, ♥7, ♣7, ♠7 | three of a kind
♥A, ♦8, ♥7, ♣7, ♥A | two pairs
♥A, ♦8, ♥7, ♣7, ♦8 | two pairs
♥A, ♦8, ♥7, ♣7, ♦2 | pair
♥A, ♦8, ♥7, ♣7, ♦A | two pairs
♥A, ♦8, ♥7, ♦K, ♠K | pair
♥A, ♦8, ♥7, ♦K, ♠7 | pair
♥A, ♦8, ♥7, ♦K, ♥A | pair
♥A, ♦8, ♥7, ♦K, ♦8 | pair
♥A, ♦8, ♥7, ♦K, ♦A | pair
♥A, ♦8, ♥7, ♠K, ♠7 | pair
♥A, ♦8, ♥7, ♠K, ♥A | pair
♥A, ♦8, ♥7, ♠K, ♦8 | pair
♥A, ♦8, ♥7, ♠K, ♦A | pair
♥A, ♦8, ♥7, ♠7, ♥A | two pairs
♥A, ♦8, ♥7, ♠7, ♦8 | two pairs
♥A, ♦8, ♥7, ♠7, ♦2 | pair
♥A, ♦8, ♥7, ♠7, ♦A | two pairs
♥A, ♦8, ♥7, ♥A, ♦8 | two pairs
♥A, ♦8, ♥7, ♥A, ♦2 | pair
♥A, ♦8, ♥7, ♥A, ♦A | three of a kind
♥A, ♦8, ♥7, ♦8, ♦2 | pair
♥A, ♦8, ♥7, ♦8, ♦A | two pairs
♥A, ♦8, ♥7, ♦2, ♦A | pair
♥A, ♦8, ♦10, ♦A, ♣7 | pair
♥A, ♦8, ♦10, ♦A, ♦K | pair
♥A, ♦8, ♦10, ♦A, ♠K | pair
♥A, ♦8, ♦10, ♦A, ♠7 | pair
♥A, ♦8, ♦10, ♦A, ♥A | three of a kind
♥A, ♦8, ♦10, ♦A, ♦8 | two pairs
♥A, ♦8, ♦10, ♦A, ♦2 | pair
♥A, ♦8, ♦10, ♦A, ♦A | three of a kind
♥A, ♦8, ♦10, ♣7, ♠7 | pair
♥A, ♦8, ♦10, ♣7, ♥A | pair
♥A, ♦8, ♦10, ♣7, ♦8 | pair
♥A, ♦8, ♦10, ♣7, ♦A | pair
♥A, ♦8, ♦10, ♦K, ♠K | pair
♥A, ♦8, ♦10, ♦K, ♥A | pair
♥A, ♦8, ♦10, ♦K, ♦8 | pair
♥A, ♦8, ♦10, ♦K, ♦A | pair
♥A, ♦8, ♦10, ♠K, ♥A | pair
♥A, ♦8, ♦10, ♠K, ♦8 | pair
♥A, ♦8, ♦10, ♠K, ♦A | pair
♥A, ♦8, ♦10, ♠7, ♥A | pair
♥A, ♦8, ♦10, ♠7, ♦8 | pair
♥A, ♦8, ♦10, ♠7, ♦A | pair
♥A, ♦8, ♦10, ♥A, ♦8 | two pairs
♥A, ♦8, ♦10, ♥A, ♦2 | pair
♥A, ♦8, ♦10, ♥A, ♦A | three of a kind
♥A, ♦8, ♦10, ♦8, ♦2 | pair
♥A, ♦8, ♦10, ♦8, ♦A | two pairs
♥A, ♦8, ♦10, ♦2, ♦A | pair
♥A, ♦8, ♦A, ♣7, ♦K | pair
♥A, ♦8, ♦A, ♣7, ♠K | pair
♥A, ♦8, ♦A, ♣7, ♠7 | two pairs
♥A, ♦8, ♦A, ♣7, ♥A | three of a kind
♥A, ♦8, ♦A, ♣7, ♦8 | two pairs
♥A, ♦8, ♦A, ♣7, ♦2 | pair
♥A, ♦8, ♦A, ♣7, ♦A | three of a kind
♥A, ♦8, ♦A, ♦K, ♠K | two pairs
♥A, ♦8, ♦A, ♦K, ♠7 | pair
♥A, ♦8, ♦A, ♦K, ♥A | three of a kind
♥A, ♦8, ♦A, ♦K, ♦8 | two pairs
♥A, ♦8, ♦A, ♦K, ♦2 | pair
♥A, ♦8, ♦A, ♦K, ♦A | three of a kind
♥A, ♦8, ♦A, ♠K, ♠7 | pair
♥A, ♦8, ♦A, ♠K, ♥A | three of a kind
♥A, ♦8, ♦A, ♠K, ♦8 | two pairs
♥A, ♦8, ♦A, ♠K, ♦2 | pair
♥A, ♦8, ♦A, ♠K, ♦A | three of a kind
♥A, ♦8, ♦A, ♠7, ♥A | three of a kind
♥A, ♦8, ♦A, ♠7, ♦8 | two pairs
♥A, ♦8, ♦A, ♠7, ♦2 | pair
♥A, ♦8, ♦A, ♠7, ♦A | three of a kind
♥A, ♦8, ♦A, ♥A, ♦8 | fullhouse
♥A, ♦8, ♦A, ♥A, ♦2 | three of a kind
♥A, ♦8, ♦A, ♥A, ♦A | four of a kind!
♥A, ♦8, ♦A, ♦8, ♦2 | two pairs
♥A, ♦8, ♦A, ♦8, ♦A | fullhouse
♥A, ♦8, ♦A, ♦2, ♦A | three of a kind
♥A, ♦8, ♣7, ♦K, ♠K | pair
♥A, ♦8, ♣7, ♦K, ♠7 | pair
♥A, ♦8, ♣7, ♦K, ♥A | pair
♥A, ♦8, ♣7, ♦K, ♦8 | pair
♥A, ♦8, ♣7, ♦K, ♦A | pair
♥A, ♦8, ♣7, ♠K, ♠7 | pair
♥A, ♦8, ♣7, ♠K, ♥A | pair
♥A, ♦8, ♣7, ♠K, ♦8 | pair
♥A, ♦8, ♣7, ♠K, ♦A | pair
♥A, ♦8, ♣7, ♠7, ♥A | two pairs
♥A, ♦8, ♣7, ♠7, ♦8 | two pairs
♥A, ♦8, ♣7, ♠7, ♦2 | pair
♥A, ♦8, ♣7, ♠7, ♦A | two pairs
♥A, ♦8, ♣7, ♥A, ♦8 | two pairs
♥A, ♦8, ♣7, ♥A, ♦2 | pair
♥A, ♦8, ♣7, ♥A, ♦A | three of a kind
♥A, ♦8, ♣7, ♦8, ♦2 | pair
♥A, ♦8, ♣7, ♦8, ♦A | two pairs
♥A, ♦8, ♣7, ♦2, ♦A | pair
♥A, ♦8, ♦K, ♠K, ♠7 | pair
♥A, ♦8, ♦K, ♠K, ♥A | two pairs
♥A, ♦8, ♦K, ♠K, ♦8 | two pairs
♥A, ♦8, ♦K, ♠K, ♦2 | pair
♥A, ♦8, ♦K, ♠K, ♦A | two pairs
♥A, ♦8, ♦K, ♠7, ♥A | pair
♥A, ♦8, ♦K, ♠7, ♦8 | pair
♥A, ♦8, ♦K, ♠7, ♦A | pair
♥A, ♦8, ♦K, ♥A, ♦8 | two pairs
♥A, ♦8, ♦K, ♥A, ♦2 | pair
♥A, ♦8, ♦K, ♥A, ♦A | three of a kind
♥A, ♦8, ♦K, ♦8, ♦2 | pair
♥A, ♦8, ♦K, ♦8, ♦A | two pairs
♥A, ♦8, ♦K, ♦2, ♦A | pair
♥A, ♦8, ♠K, ♠7, ♥A | pair
♥A, ♦8, ♠K, ♠7, ♦8 | pair
♥A, ♦8, ♠K, ♠7, ♦A | pair
♥A, ♦8, ♠K, ♥A, ♦8 | two pairs
♥A, ♦8, ♠K, ♥A, ♦2 | pair
♥A, ♦8, ♠K, ♥A, ♦A | three of a kind
♥A, ♦8, ♠K, ♦8, ♦2 | pair
♥A, ♦8, ♠K, ♦8, ♦A | two pairs
♥A, ♦8, ♠K, ♦2, ♦A | pair
♥A, ♦8, ♠7, ♥A, ♦8 | two pairs
♥A, ♦8, ♠7, ♥A, ♦2 | pair
♥A, ♦8, ♠7, ♥A, ♦A | three of a kind
♥A, ♦8, ♠7, ♦8, ♦2 | pair
♥A, ♦8, ♠7, ♦8, ♦A | two pairs
♥A, ♦8, ♠7, ♦2, ♦A | pair
♥A, ♦8, ♥A, ♦8, ♦2 | two pairs
♥A, ♦8, ♥A, ♦8, ♦A | fullhouse
♥A, ♦8, ♥A, ♦2, ♦A | three of a kind
♥A, ♦8, ♦8, ♦2, ♦A | two pairs
♥A, ♥7, ♦10, ♦A, ♣7 | two pairs
♥A, ♥7, ♦10, ♦A, ♦K | pair
♥A, ♥7, ♦10, ♦A, ♠K | pair
♥A, ♥7, ♦10, ♦A, ♠7 | two pairs
♥A, ♥7, ♦10, ♦A, ♥A | three of a kind
♥A, ♥7, ♦10, ♦A, ♦8 | pair
♥A, ♥7, ♦10, ♦A, ♦2 | pair
♥A, ♥7, ♦10, ♦A, ♦A | three of a kind
♥A, ♥7, ♦10, ♣7, ♦K | pair
♥A, ♥7, ♦10, ♣7, ♠K | pair
♥A, ♥7, ♦10, ♣7, ♠7 | three of a kind
♥A, ♥7, ♦10, ♣7, ♥A | two pairs
♥A, ♥7, ♦10, ♣7, ♦8 | pair
♥A, ♥7, ♦10, ♣7, ♦2 | pair
♥A, ♥7, ♦10, ♣7, ♦A | two pairs
♥A, ♥7, ♦10, ♦K, ♠K | pair
♥A, ♥7, ♦10, ♦K, ♠7 | pair
♥A, ♥7, ♦10, ♦K, ♥A | pair
♥A, ♥7, ♦10, ♦K, ♦A | pair
♥A, ♥7, ♦10, ♠K, ♠7 | pair
♥A, ♥7, ♦10, ♠K, ♥A | pair
♥A, ♥7, ♦10, ♠K, ♦A | pair
♥A, ♥7, ♦10, ♠7, ♥A | two pairs
♥A, ♥7, ♦10, ♠7, ♦8 | pair
♥A, ♥7, ♦10, ♠7, ♦2 | pair
♥A, ♥7, ♦10, ♠7, ♦A | two pairs
♥A, ♥7, ♦10, ♥A, ♦8 | pair
♥A, ♥7, ♦10, ♥A, ♦2 | pair
♥A, ♥7, ♦10, ♥A, ♦A | three of a kind
♥A, ♥7, ♦10, ♦8, ♦A | pair
♥A, ♥7, ♦10, ♦2, ♦A | pair
♥A, ♥7, ♦A, ♣7, ♦K | two pairs
♥A, ♥7, ♦A, ♣7, ♠K | two pairs
♥A, ♥7, ♦A, ♣7, ♠7 | fullhouse
♥A, ♥7, ♦A, ♣7, ♥A | fullhouse
♥A, ♥7, ♦A, ♣7, ♦8 | two pairs
♥A, ♥7, ♦A, ♣7, ♦2 | two pairs
♥A, ♥7, ♦A, ♣7, ♦A | fullhouse
♥A, ♥7, ♦A, ♦K, ♠K | two pairs
♥A, ♥7, ♦A, ♦K, ♠7 | two pairs
♥A, ♥7, ♦A, ♦K, ♥A | three of a kind
♥A, ♥7, ♦A, ♦K, ♦8 | pair
♥A, ♥7, ♦A, ♦K, ♦2 | pair
♥A, ♥7, ♦A, ♦K, ♦A | three of a kind
♥A, ♥7, ♦A, ♠K, ♠7 | two pairs
♥A, ♥7, ♦A, ♠K, ♥A | three of a kind
♥A, ♥7, ♦A, ♠K, ♦8 | pair
♥A, ♥7, ♦A, ♠K, ♦2 | pair
♥A, ♥7, ♦A, ♠K, ♦A | three of a kind
♥A, ♥7, ♦A, ♠7, ♥A | fullhouse
♥A, ♥7, ♦A, ♠7, ♦8 | two pairs
♥A, ♥7, ♦A, ♠7, ♦2 | two pairs
♥A, ♥7, ♦A, ♠7, ♦A | fullhouse
♥A, ♥7, ♦A, ♥A, ♦8 | three of a kind
♥A, ♥7, ♦A, ♥A, ♦2 | three of a kind
♥A, ♥7, ♦A, ♥A, ♦A | four of a kind!
♥A, ♥7, ♦A, ♦8, ♦2 | pair
♥A, ♥7, ♦A, ♦8, ♦A | three of a kind
♥A, ♥7, ♦A, ♦2, ♦A | three of a kind
♥A, ♥7, ♣7, ♦K, ♠K | two pairs
♥A, ♥7, ♣7, ♦K, ♠7 | three of a kind
♥A, ♥7, ♣7, ♦K, ♥A | two pairs
♥A, ♥7, ♣7, ♦K, ♦8 | pair
♥A, ♥7, ♣7, ♦K, ♦2 | pair
♥A, ♥7, ♣7, ♦K, ♦A | two pairs
♥A, ♥7, ♣7, ♠K, ♠7 | three of a kind
♥A, ♥7, ♣7, ♠K, ♥A | two pairs
♥A, ♥7, ♣7, ♠K, ♦8 | pair
♥A, ♥7, ♣7, ♠K, ♦2 | pair
♥A, ♥7, ♣7, ♠K, ♦A | two pairs
♥A, ♥7, ♣7, ♠7, ♥A | fullhouse
♥A, ♥7, ♣7, ♠7, ♦8 | three of a kind
♥A, ♥7, ♣7, ♠7, ♦2 | three of a kind
♥A, ♥7, ♣7, ♠7, ♦A | fullhouse
♥A, ♥7, ♣7, ♥A, ♦8 | two pairs
♥A, ♥7, ♣7, ♥A, ♦2 | two pairs
♥A, ♥7, ♣7, ♥A, ♦A | fullhouse
♥A, ♥7, ♣7, ♦8, ♦2 | pair
♥A, ♥7, ♣7, ♦8, ♦A | two pairs
♥A, ♥7, ♣7, ♦2, ♦A | two pairs
♥A, ♥7, ♦K, ♠K, ♠7 | two pairs
♥A, ♥7, ♦K, ♠K, ♥A | two pairs
♥A, ♥7, ♦K, ♠K, ♦8 | pair
♥A, ♥7, ♦K, ♠K, ♦2 | pair
♥A, ♥7, ♦K, ♠K, ♦A | two pairs
♥A, ♥7, ♦K, ♠7, ♥A | two pairs
♥A, ♥7, ♦K, ♠7, ♦8 | pair
♥A, ♥7, ♦K, ♠7, ♦2 | pair
♥A, ♥7, ♦K, ♠7, ♦A | two pairs
♥A, ♥7, ♦K, ♥A, ♦8 | pair
♥A, ♥7, ♦K, ♥A, ♦2 | pair
♥A, ♥7, ♦K, ♥A, ♦A | three of a kind
♥A, ♥7, ♦K, ♦8, ♦A | pair
♥A, ♥7, ♦K, ♦2, ♦A | pair
♥A, ♥7, ♠K, ♠7, ♥A | two pairs
♥A, ♥7, ♠K, ♠7, ♦8 | pair
♥A, ♥7, ♠K, ♠7, ♦2 | pair
♥A, ♥7, ♠K, ♠7, ♦A | two pairs
♥A, ♥7, ♠K, ♥A, ♦8 | pair
♥A, ♥7, ♠K, ♥A, ♦2 | pair
♥A, ♥7, ♠K, ♥A, ♦A | three of a kind
♥A, ♥7, ♠K, ♦8, ♦A | pair
♥A, ♥7, ♠K, ♦2, ♦A | pair
♥A, ♥7, ♠7, ♥A, ♦8 | two pairs
♥A, ♥7, ♠7, ♥A, ♦2 | two pairs
♥A, ♥7, ♠7, ♥A, ♦A | fullhouse
♥A, ♥7, ♠7, ♦8, ♦2 | pair
♥A, ♥7, ♠7, ♦8, ♦A | two pairs
♥A, ♥7, ♠7, ♦2, ♦A | two pairs
♥A, ♥7, ♥A, ♦8, ♦2 | pair
♥A, ♥7, ♥A, ♦8, ♦A | three of a kind
♥A, ♥7, ♥A, ♦2, ♦A | three of a kind
♥A, ♥7, ♦8, ♦2, ♦A | pair
♥A, ♦10, ♦A, ♣7, ♦K | pair
♥A, ♦10, ♦A, ♣7, ♠K | pair
♥A, ♦10, ♦A, ♣7, ♠7 | two pairs
♥A, ♦10, ♦A, ♣7, ♥A | three of a kind
♥A, ♦10, ♦A, ♣7, ♦8 | pair
♥A, ♦10, ♦A, ♣7, ♦2 | pair
♥A, ♦10, ♦A, ♣7, ♦A | three of a kind
♥A, ♦10, ♦A, ♦K, ♠K | two pairs
♥A, ♦10, ♦A, ♦K, ♠7 | pair
♥A, ♦10, ♦A, ♦K, ♥A | three of a kind
♥A, ♦10, ♦A, ♦K, ♦8 | pair
♥A, ♦10, ♦A, ♦K, ♦2 | pair
♥A, ♦10, ♦A, ♦K, ♦A | three of a kind
♥A, ♦10, ♦A, ♠K, ♠7 | pair
♥A, ♦10, ♦A, ♠K, ♥A | three of a kind
♥A, ♦10, ♦A, ♠K, ♦8 | pair
♥A, ♦10, ♦A, ♠K, ♦2 | pair
♥A, ♦10, ♦A, ♠K, ♦A | three of a kind
♥A, ♦10, ♦A, ♠7, ♥A | three of a kind
♥A, ♦10, ♦A, ♠7, ♦8 | pair
♥A, ♦10, ♦A, ♠7, ♦2 | pair
♥A, ♦10, ♦A, ♠7, ♦A | three of a kind
♥A, ♦10, ♦A, ♥A, ♦8 | three of a kind
♥A, ♦10, ♦A, ♥A, ♦2 | three of a kind
♥A, ♦10, ♦A, ♥A, ♦A | four of a kind!
♥A, ♦10, ♦A, ♦8, ♦2 | pair
♥A, ♦10, ♦A, ♦8, ♦A | three of a kind
♥A, ♦10, ♦A, ♦2, ♦A | three of a kind
♥A, ♦10, ♣7, ♦K, ♠K | pair
♥A, ♦10, ♣7, ♦K, ♠7 | pair
♥A, ♦10, ♣7, ♦K, ♥A | pair
♥A, ♦10, ♣7, ♦K, ♦A | pair
♥A, ♦10, ♣7, ♠K, ♠7 | pair
♥A, ♦10, ♣7, ♠K, ♥A | pair
♥A, ♦10, ♣7, ♠K, ♦A | pair
♥A, ♦10, ♣7, ♠7, ♥A | two pairs
♥A, ♦10, ♣7, ♠7, ♦8 | pair
♥A, ♦10, ♣7, ♠7, ♦2 | pair
♥A, ♦10, ♣7, ♠7, ♦A | two pairs
♥A, ♦10, ♣7, ♥A, ♦8 | pair
♥A, ♦10, ♣7, ♥A, ♦2 | pair
♥A, ♦10, ♣7, ♥A, ♦A | three of a kind
♥A, ♦10, ♣7, ♦8, ♦A | pair
♥A, ♦10, ♣7, ♦2, ♦A | pair
♥A, ♦10, ♦K, ♠K, ♠7 | pair
♥A, ♦10, ♦K, ♠K, ♥A | two pairs
♥A, ♦10, ♦K, ♠K, ♦8 | pair
♥A, ♦10, ♦K, ♠K, ♦2 | pair
♥A, ♦10, ♦K, ♠K, ♦A | two pairs
♥A, ♦10, ♦K, ♠7, ♥A | pair
♥A, ♦10, ♦K, ♠7, ♦A | pair
♥A, ♦10, ♦K, ♥A, ♦8 | pair
♥A, ♦10, ♦K, ♥A, ♦2 | pair
♥A, ♦10, ♦K, ♥A, ♦A | three of a kind
♥A, ♦10, ♦K, ♦8, ♦A | pair
♥A, ♦10, ♦K, ♦2, ♦A | pair
♥A, ♦10, ♠K, ♠7, ♥A | pair
♥A, ♦10, ♠K, ♠7, ♦A | pair
♥A, ♦10, ♠K, ♥A, ♦8 | pair
♥A, ♦10, ♠K, ♥A, ♦2 | pair
♥A, ♦10, ♠K, ♥A, ♦A | three of a kind
♥A, ♦10, ♠K, ♦8, ♦A | pair
♥A, ♦10, ♠K, ♦2, ♦A | pair
♥A, ♦10, ♠7, ♥A, ♦8 | pair
♥A, ♦10, ♠7, ♥A, ♦2 | pair
♥A, ♦10, ♠7, ♥A, ♦A | three of a kind
♥A, ♦10, ♠7, ♦8, ♦A | pair
♥A, ♦10, ♠7, ♦2, ♦A | pair
