♦Q, ♦7, ♦A, ♠7, ♠2 | pair
♦K, ♥A, ♦2, ♥3, ♦3 | pair
♦K, ♥A, ♥4, ♥3, ♦3 | pair
♦K, ♥A, ♥3, ♦3, ♣5 | pair
♦K, ♦2, ♥4, ♥3, ♦3 | pair
♦K, ♦2, ♥3, ♦3, ♣5 | pair
♦K, ♥4, ♥3, ♦3, ♣5 | pair
♥A, ♦2, ♥4, ♥3, ♦3 | pair
♥A, ♦2, ♥4, ♥3, ♣5 | straight
♥A, ♦2, ♥4, ♦3, ♣5 | straight
♥A, ♦2, ♥3, ♦3, ♣5 | pair
♥A, ♥4, ♥3, ♦3, ♣5 | pair
♦2, ♥4, ♥3, ♦3, ♣5 | pair
