♣2, ♦J, ♠10, ♦J, ♥5 | pair
♠9, ♦10, ♥4, ♦4, ♦6 | pair
♠9, ♦10, ♦6, ♦3, ♦6 | pair
♠9, ♦10, ♦6, ♦4, ♦6 | pair
♠9, ♥4, ♦6, ♦3, ♦4 | pair
♠9, ♥4, ♦6, ♦3, ♦6 | pair
♠9, ♥4, ♦6, ♦4, ♦6 | two pairs
♠9, ♥4, ♦3, ♦4, ♦6 | pair
♠9, ♦6, ♦3, ♦4, ♦6 | pair
♥Q, ♥3, ♣2, ♦10, ♦3 | pair
♥Q, ♥3, ♣2, ♥4, ♦3 | pair
♥Q, ♥3, ♣2, ♥4, ♦4 | pair
♥Q, ♥3, ♣2, ♦6, ♦3 | pair
♥Q, ♥3, ♣2, ♦6, ♦6 | pair
♥Q, ♥3, ♣2, ♦3, ♦4 | pair
♥Q, ♥3, ♣2, ♦3, ♦6 | pair
♥Q, ♥3, ♦10, ♥4, ♦3 | pair
♥Q, ♥3, ♦10, ♥4, ♦4 | pair
♥Q, ♥3, ♦10, ♦6, ♦3 | pair
♥Q, ♥3, ♦10, ♦6, ♦6 | pair
♥Q, ♥3, ♦10, ♦3, ♦4 | pair
♥Q, ♥3, ♦10, ♦3, ♦6 | pair
♥Q, ♥3, ♥4, ♦6, ♦3 | pair
♥Q, ♥3, ♥4, ♦6, ♦4 | pair
♥Q, ♥3, ♥4, ♦6, ♦6 | pair
♥Q, ♥3, ♥4, ♦3, ♦4 | two pairs
♥Q, ♥3, ♥4, ♦3, ♦6 | pair
♥Q, ♥3, ♥4, ♦4, ♦6 | pair
♥Q, ♥3, ♦6, ♦3, ♦4 | pair
♥Q, ♥3, ♦6, ♦3, ♦6 | two pairs
♥Q, ♥3, ♦6, ♦4, ♦6 | pair
♥Q, ♥3, ♦3, ♦4, ♦6 | pair
♥Q, ♣2, ♦10, ♥4, ♦4 | pair
♥Q, ♣2, ♦10, ♦6, ♦6 | pair
♥Q, ♣2, ♥4, ♦6, ♦4 | pair
♥Q, ♣2, ♥4, ♦6, ♦6 | pair
♥Q, ♣2, ♥4, ♦3, ♦4 | pair
♥Q, ♣2, ♥4, ♦4, ♦6 | pair
♥Q, ♣2, ♦6, ♦3, ♦6 | pair
♥Q, ♣2, ♦6, ♦4, ♦6 | pair
♥Q, ♦10, ♥4, ♦6, ♦4 | pair
♥Q, ♦10, ♥4, ♦6, ♦6 | pair
♥Q, ♦10, ♥4, ♦3, ♦4 | pair
♥Q, ♦10, ♥4, ♦4, ♦6 | pair
♥Q, ♦10, ♦6, ♦3, ♦6 | pair
♥Q, ♦10, ♦6, ♦4, ♦6 | pair
♥Q, ♥4, ♦6, ♦3, ♦4 | pair
♥Q, ♥4, ♦6, ♦3, ♦6 | pair
♥Q, ♥4, ♦6, ♦4, ♦6 | two pairs
♥Q, ♥4, ♦3, ♦4, ♦6 | pair
♥Q, ♦6, ♦3, ♦4, ♦6 | pair
♥3, ♣2, ♦10, ♥4, ♦3 | pair
♥3, ♣2, ♦10, ♥4, ♦4 | pair
♥3, ♣2, ♦10, ♦6, ♦3 | pair
♥3, ♣2, ♦10, ♦6, ♦6 | pair
♥3, ♣2, ♦10, ♦3, ♦4 | pair
♥3, ♣2, ♦10, ♦3, ♦6 | pair
♥3, ♣2, ♥4, ♦6, ♦3 | pair
♥3, ♣2, ♥4, ♦6, ♦4 | pair
♥3, ♣2, ♥4, ♦6, ♦6 | pair
♥3, ♣2, ♥4, ♦3, ♦4 | two pairs
♥3, ♣2, ♥4, ♦3, ♦6 | pair
♥3, ♣2, ♥4, ♦4, ♦6 | pair
♥3, ♣2, ♦6, ♦3, ♦4 | pair
♥3, ♣2, ♦6, ♦3, ♦6 | two pairs
♥3, ♣2, ♦6, ♦4, ♦6 | pair
♥3, ♣2, ♦3, ♦4, ♦6 | pair
♥3, ♦10, ♥4, ♦6, ♦3 | pair
♥3, ♦10, ♥4, ♦6, ♦4 | pair
♥3, ♦10, ♥4, ♦6, ♦6 | pair
♥3, ♦10, ♥4, ♦3, ♦4 | two pairs
♥3, ♦10, ♥4, ♦3, ♦6 | pair
♥3, ♦10, ♥4, ♦4, ♦6 | pair
♥3, ♦10, ♦6, ♦3, ♦4 | pair
♥3, ♦10, ♦6, ♦3, ♦6 | two pairs
♥3, ♦10, ♦6, ♦4, ♦6 | pair
♥3, ♦10, ♦3, ♦4, ♦6 | pair
♥3, ♥4, ♦6, ♦3, ♦4 | two pairs
♥3, ♥4, ♦6, ♦3, ♦6 | two pairs
♥3, ♥4, ♦6, ♦4, ♦6 | two pairs
♥3, ♥4, ♦3, ♦4, ♦6 | two pairs
♥3, ♦6, ♦3, ♦4, ♦6 | two pairs
♣2, ♦10, ♥4, ♦6, ♦4 | pair
♣2, ♦10, ♥4, ♦6, ♦6 | pair
♣2, ♦10, ♥4, ♦3, ♦4 | pair
♣2, ♦10, ♥4, ♦4, ♦6 | pair
♣2, ♦10, ♦6, ♦3, ♦6 | pair
♣2, ♦10, ♦6, ♦4, ♦6 | pair
♣2, ♥4, ♦6, ♦3, ♦4 | pair
♣2, ♥4, ♦6, ♦3, ♦6 | pair
♣2, ♥4, ♦6, ♦4, ♦6 | two pairs
♣2, ♥4, ♦3, ♦4, ♦6 | pair
♣2, ♦6, ♦3, ♦4, ♦6 | pair
♦10, ♥4, ♦6, ♦3, ♦4 | pair
♦10, ♥4, ♦6, ♦3, ♦6 | pair
♦10, ♥4, ♦6, ♦4, ♦6 | two pairs
♦10, ♥4, ♦3, ♦4, ♦6 | pair
♦10, ♦6, ♦3, ♦4, ♦6 | flush
♥4, ♦6, ♦3, ♦4, ♦6 | two pairs
