♣10, ♥A, ♠7, ♥J, ♦7 | pair
♠7, ♣9, ♣3, ♣7, ♦3 | two pairs
♠7, ♣9, ♣3, ♣7, ♥10 | pair
♠7, ♣9, ♣3, ♣7, ♦9 | two pairs
♠7, ♣9, ♣3, ♣7, ♠9 | two pairs
♠7, ♣9, ♣3, ♣7, ♠6 | pair
♠7, ♣9, ♣3, ♥Q, ♦3 | pair
♠7, ♣9, ♣3, ♥Q, ♦9 | pair
♠7, ♣9, ♣3, ♥Q, ♠9 | pair
♠7, ♣9, ♣3, ♦3, ♥10 | pair
♠7, ♣9, ♣3, ♦3, ♦9 | two pairs
♠7, ♣9, ♣3, ♦3, ♠9 | two pairs
♠7, ♣9, ♣3, ♦3, ♠6 | pair
♠7, ♣9, ♣3, ♥10, ♦9 | pair
♠7, ♣9, ♣3, ♥10, ♠9 | pair
♠7, ♣9, ♣3, ♦9, ♠9 | three of a kind
♠7, ♣9, ♣3, ♦9, ♠6 | pair
♠7, ♣9, ♣3, ♠9, ♠6 | pair
♠7, ♣9, ♣7, ♥Q, ♦3 | pair
♠7, ♣9, ♣7, ♥Q, ♥10 | pair
♠7, ♣9, ♣7, ♥Q, ♦9 | two pairs
♠7, ♣9, ♣7, ♥Q, ♠9 | two pairs
♠7, ♣9, ♣7, ♥Q, ♠6 | pair
♠7, ♣9, ♣7, ♦3, ♥10 | pair
♠7, ♣9, ♣7, ♦3, ♦9 | two pairs
♠7, ♣9, ♣7, ♦3, ♠9 | two pairs
♠7, ♣9, ♣7, ♦3, ♠6 | pair
♠7, ♣9, ♣7, ♥10, ♦9 | two pairs
♠7, ♣9, ♣7, ♥10, ♠9 | two pairs
♠7, ♣9, ♣7, ♥10, ♠6 | pair
♠7, ♣9, ♣7, ♦9, ♠9 | fullhouse
♠7, ♣9, ♣7, ♦9, ♠6 | two pairs
♠7, ♣9, ♣7, ♠9, ♠6 | two pairs
♠7, ♣9, ♥Q, ♦3, ♦9 | pair
♠7, ♣9, ♥Q, ♦3, ♠9 | pair
♠7, ♣9, ♥Q, ♥10, ♦9 | pair
♠7, ♣9, ♥Q, ♥10, ♠9 | pair
♠7, ♣9, ♥Q, ♦9, ♠9 | three of a kind
♠7, ♣9, ♥Q, ♦9, ♠6 | pair
♠7, ♣9, ♥Q, ♠9, ♠6 | pair
♠7, ♣9, ♦3, ♥10, ♦9 | pair
♠7, ♣9, ♦3, ♥10, ♠9 | pair
♠7, ♣9, ♦3, ♦9, ♠9 | three of a kind
♠7, ♣9, ♦3, ♦9, ♠6 | pair
♠7, ♣9, ♦3, ♠9, ♠6 | pair
♠7, ♣9, ♥10, ♦9, ♠9 | three of a kind
♠7, ♣9, ♥10, ♦9, ♠6 | pair
♠7, ♣9, ♥10, ♠9, ♠6 | pair
♠7, ♣9, ♦9, ♠9, ♠6 | three of a kind
♠7, ♦7, ♦K, ♣3, ♣7 | three of a kind
♠7, ♦7, ♦K, ♣3, ♥Q | pair
♠7, ♦7, ♦K, ♣3, ♦3 | two pairs
♠7, ♦7, ♦K, ♣3, ♥10 | pair
♠7, ♦7, ♦K, ♣3, ♦9 | pair
♠7, ♦7, ♦K, ♣3, ♠9 | pair
♠7, ♦7, ♦K, ♣3, ♠6 | pair
♠7, ♦7, ♦K, ♣7, ♥Q | three of a kind
♠7, ♦7, ♦K, ♣7, ♦3 | three of a kind
♠7, ♦7, ♦K, ♣7, ♥10 | three of a kind
♠7, ♦7, ♦K, ♣7, ♦9 | three of a kind
♠7, ♦7, ♦K, ♣7, ♠9 | three of a kind
♠7, ♦7, ♦K, ♣7, ♠6 | three of a kind
♠7, ♦7, ♦K, ♥Q, ♦3 | pair
♠7, ♦7, ♦K, ♥Q, ♥10 | pair
♠7, ♦7, ♦K, ♥Q, ♦9 | pair
♠7, ♦7, ♦K, ♥Q, ♠9 | pair
♠7, ♦7, ♦K, ♥Q, ♠6 | pair
♠7, ♦7, ♦K, ♦3, ♥10 | pair
♠7, ♦7, ♦K, ♦3, ♦9 | pair
♠7, ♦7, ♦K, ♦3, ♠9 | pair
♠7, ♦7, ♦K, ♦3, ♠6 | pair
♠7, ♦7, ♦K, ♥10, ♦9 | pair
♠7, ♦7, ♦K, ♥10, ♠9 | pair
♠7, ♦7, ♦K, ♥10, ♠6 | pair
♠7, ♦7, ♦K, ♦9, ♠9 | two pairs
♠7, ♦7, ♦K, ♦9, ♠6 | pair
♠7, ♦7, ♦K, ♠9, ♠6 | pair
♠7, ♦7, ♣3, ♣7, ♥Q | three of a kind
♠7, ♦7, ♣3, ♣7, ♦3 | fullhouse
♠7, ♦7, ♣3, ♣7, ♥10 | three of a kind
♠7, ♦7, ♣3, ♣7, ♦9 | three of a kind
♠7, ♦7, ♣3, ♣7, ♠9 | three of a kind
♠7, ♦7, ♣3, ♣7, ♠6 | three of a kind
♠7, ♦7, ♣3, ♥Q, ♦3 | two pairs
♠7, ♦7, ♣3, ♥Q, ♥10 | pair
♠7, ♦7, ♣3, ♥Q, ♦9 | pair
♠7, ♦7, ♣3, ♥Q, ♠9 | pair
♠7, ♦7, ♣3, ♥Q, ♠6 | pair
♠7, ♦7, ♣3, ♦3, ♥10 | two pairs
♠7, ♦7, ♣3, ♦3, ♦9 | two pairs
♠7, ♦7, ♣3, ♦3, ♠9 | two pairs
♠7, ♦7, ♣3, ♦3, ♠6 | two pairs
♠7, ♦7, ♣3, ♥10, ♦9 | pair
♠7, ♦7, ♣3, ♥10, ♠9 | pair
♠7, ♦7, ♣3, ♥10, ♠6 | pair
♠7, ♦7, ♣3, ♦9, ♠9 | two pairs
♠7, ♦7, ♣3, ♦9, ♠6 | pair
♠7, ♦7, ♣3, ♠9, ♠6 | pair
♠7, ♦7, ♣7, ♥Q, ♦3 | three of a kind
♠7, ♦7, ♣7, ♥Q, ♥10 | three of a kind
♠7, ♦7, ♣7, ♥Q, ♦9 | three of a kind
♠7, ♦7, ♣7, ♥Q, ♠9 | three of a kind
♠7, ♦7, ♣7, ♥Q, ♠6 | three of a kind
♠7, ♦7, ♣7, ♦3, ♥10 | three of a kind
♠7, ♦7, ♣7, ♦3, ♦9 | three of a kind
♠7, ♦7, ♣7, ♦3, ♠9 | three of a kind
♠7, ♦7, ♣7, ♦3, ♠6 | three of a kind
♠7, ♦7, ♣7, ♥10, ♦9 | three of a kind
♠7, ♦7, ♣7, ♥10, ♠9 | three of a kind
♠7, ♦7, ♣7, ♥10, ♠6 | three of a kind
♠7, ♦7, ♣7, ♦9, ♠9 | fullhouse
♠7, ♦7, ♣7, ♦9, ♠6 | three of a kind
♠7, ♦7, ♣7, ♠9, ♠6 | three of a kind
♠7, ♦7, ♥Q, ♦3, ♥10 | pair
♠7, ♦7, ♥Q, ♦3, ♦9 | pair
♠7, ♦7, ♥Q, ♦3, ♠9 | pair
♠7, ♦7, ♥Q, ♦3, ♠6 | pair
♠7, ♦7, ♥Q, ♥10, ♦9 | pair
♠7, ♦7, ♥Q, ♥10, ♠9 | pair
♠7, ♦7, ♥Q, ♥10, ♠6 | pair
♠7, ♦7, ♥Q, ♦9, ♠9 | two pairs
♠7, ♦7, ♥Q, ♦9, ♠6 | pair
♠7, ♦7, ♥Q, ♠9, ♠6 | pair
♠7, ♦7, ♦3, ♥10, ♦9 | pair
♠7, ♦7, ♦3, ♥10, ♠9 | pair
♠7, ♦7, ♦3, ♥10, ♠6 | pair
♠7, ♦7, ♦3, ♦9, ♠9 | two pairs
♠7, ♦7, ♦3, ♦9, ♠6 | pair
♠7, ♦7, ♦3, ♠9, ♠6 | pair
♠7, ♦7, ♥10, ♦9, ♠9 | two pairs
♠7, ♦7, ♥10, ♦9, ♠6 | pair
♠7, ♦7, ♥10, ♠9, ♠6 | pair
♠7, ♦7, ♦9, ♠9, ♠6 | two pairs
♠7, ♦K, ♣3, ♣7, ♥Q | pair
♠7, ♦K, ♣3, ♣7, ♦3 | two pairs
♠7, ♦K, ♣3, ♣7, ♥10 | pair
♠7, ♦K, ♣3, ♣7, ♦9 | pair
♠7, ♦K, ♣3, ♣7, ♠9 | pair
♠7, ♦K, ♣3, ♣7, ♠6 | pair
♠7, ♦K, ♣3, ♥Q, ♦3 | pair
♠7, ♦K, ♣3, ♦3, ♥10 | pair
♠7, ♦K, ♣3, ♦3, ♦9 | pair
♠7, ♦K, ♣3, ♦3, ♠9 | pair
♠7, ♦K, ♣3, ♦3, ♠6 | pair
♠7, ♦K, ♣3, ♦9, ♠9 | pair
♠7, ♦K, ♣7, ♥Q, ♦3 | pair
♠7, ♦K, ♣7, ♥Q, ♥10 | pair
♠7, ♦K, ♣7, ♥Q, ♦9 | pair
♠7, ♦K, ♣7, ♥Q, ♠9 | pair
♠7, ♦K, ♣7, ♥Q, ♠6 | pair
♠7, ♦K, ♣7, ♦3, ♥10 | pair
♠7, ♦K, ♣7, ♦3, ♦9 | pair
♠7, ♦K, ♣7, ♦3, ♠9 | pair
♠7, ♦K, ♣7, ♦3, ♠6 | pair
♠7, ♦K, ♣7, ♥10, ♦9 | pair
♠7, ♦K, ♣7, ♥10, ♠9 | pair
♠7, ♦K, ♣7, ♥10, ♠6 | pair
♠7, ♦K, ♣7, ♦9, ♠9 | two pairs
♠7, ♦K, ♣7, ♦9, ♠6 | pair
♠7, ♦K, ♣7, ♠9, ♠6 | pair
♠7, ♦K, ♥Q, ♦9, ♠9 | pair
♠7, ♦K, ♦3, ♦9, ♠9 | pair
♠7, ♦K, ♥10, ♦9, ♠9 | pair
♠7, ♦K, ♦9, ♠9, ♠6 | pair
♠7, ♣3, ♣7, ♥Q, ♦3 | two pairs
♠7, ♣3, ♣7, ♥Q, ♥10 | pair
♠7, ♣3, ♣7, ♥Q, ♦9 | pair
♠7, ♣3, ♣7, ♥Q, ♠9 | pair
♠7, ♣3, ♣7, ♥Q, ♠6 | pair
♠7, ♣3, ♣7, ♦3, ♥10 | two pairs
♠7, ♣3, ♣7, ♦3, ♦9 | two pairs
♠7, ♣3, ♣7, ♦3, ♠9 | two pairs
♠7, ♣3, ♣7, ♦3, ♠6 | two pairs
♠7, ♣3, ♣7, ♥10, ♦9 | pair
♠7, ♣3, ♣7, ♥10, ♠9 | pair
♠7, ♣3, ♣7, ♥10, ♠6 | pair
♠7, ♣3, ♣7, ♦9, ♠9 | two pairs
♠7, ♣3, ♣7, ♦9, ♠6 | pair
♠7, ♣3, ♣7, ♠9, ♠6 | pair
♠7, ♣3, ♥Q, ♦3, ♥10 | pair
♠7, ♣3, ♥Q, ♦3, ♦9 | pair
♠7, ♣3, ♥Q, ♦3, ♠9 | pair
♠7, ♣3, ♥Q, ♦3, ♠6 | pair
♠7, ♣3, ♥Q, ♦9, ♠9 | pair
♠7, ♣3, ♦3, ♥10, ♦9 | pair
♠7, ♣3, ♦3, ♥10, ♠9 | pair
♠7, ♣3, ♦3, ♥10, ♠6 | pair
♠7, ♣3, ♦3, ♦9, ♠9 | two pairs
♠7, ♣3, ♦3, ♦9, ♠6 | pair
♠7, ♣3, ♦3, ♠9, ♠6 | pair
♠7, ♣3, ♥10, ♦9, ♠9 | pair
♠7, ♣3, ♦9, ♠9, ♠6 | pair
♠7, ♣7, ♥Q, ♦3, ♥10 | pair
♠7, ♣7, ♥Q, ♦3, ♦9 | pair
♠7, ♣7, ♥Q, ♦3, ♠9 | pair
♠7, ♣7, ♥Q, ♦3, ♠6 | pair
♠7, ♣7, ♥Q, ♥10, ♦9 | pair
♠7, ♣7, ♥Q, ♥10, ♠9 | pair
♠7, ♣7, ♥Q, ♥10, ♠6 | pair
♠7, ♣7, ♥Q, ♦9, ♠9 | two pairs
♠7, ♣7, ♥Q, ♦9, ♠6 | pair
♠7, ♣7, ♥Q, ♠9, ♠6 | pair
♠7, ♣7, ♦3, ♥10, ♦9 | pair
♠7, ♣7, ♦3, ♥10, ♠9 | pair
♠7, ♣7, ♦3, ♥10, ♠6 | pair
♠7, ♣7, ♦3, ♦9, ♠9 | two pairs
♠7, ♣7, ♦3, ♦9, ♠6 | pair
♠7, ♣7, ♦3, ♠9, ♠6 | pair
♠7, ♣7, ♥10, ♦9, ♠9 | two pairs
♠7, ♣7, ♥10, ♦9, ♠6 | pair
♠7, ♣7, ♥10, ♠9, ♠6 | pair
♠7, ♣7, ♦9, ♠9, ♠6 | two pairs
♠7, ♥Q, ♦3, ♦9, ♠9 | pair
♠7, ♥Q, ♥10, ♦9, ♠9 | pair
♠7, ♥Q, ♦9, ♠9, ♠6 | pair
♠7, ♦3, ♥10, ♦9, ♠9 | pair
♠7, ♦3, ♦9, ♠9, ♠6 | pair
♠7, ♥10, ♦9, ♠9, ♠6 | pair
♥J, ♣5, ♣9, ♦7, ♣7 | pair
♥J, ♣5, ♣9, ♦7, ♦9 | pair
♥J, ♣5, ♣9, ♦7, ♠9 | pair
♥J, ♣5, ♣9, ♦K, ♦9 | pair
♥J, ♣5, ♣9, ♦K, ♠9 | pair
♥J, ♣5, ♣9, ♣3, ♦3 | pair
♥J, ♣5, ♣9, ♣3, ♦9 | pair
♥J, ♣5, ♣9, ♣3, ♠9 | pair
♥J, ♣5, ♣9, ♣7, ♦9 | pair
♥J, ♣5, ♣9, ♣7, ♠9 | pair
♥J, ♣5, ♣9, ♥Q, ♦9 | pair
♥J, ♣5, ♣9, ♥Q, ♠9 | pair
♥J, ♣5, ♣9, ♦3, ♦9 | pair
♥J, ♣5, ♣9, ♦3, ♠9 | pair
♥J, ♣5, ♣9, ♥10, ♦9 | pair
♥J, ♣5, ♣9, ♥10, ♠9 | pair
♥J, ♣5, ♣9, ♦9, ♠9 | three of a kind
♥J, ♣5, ♣9, ♦9, ♠6 | pair
♥J, ♣5, ♣9, ♠9, ♠6 | pair
♥J, ♣5, ♦7, ♦K, ♣7 | pair
♥J, ♣5, ♦7, ♣3, ♣7 | pair
♥J, ♣5, ♦7, ♣3, ♦3 | pair
♥J, ♣5, ♦7, ♣7, ♥Q | pair
♥J, ♣5, ♦7, ♣7, ♦3 | pair
♥J, ♣5, ♦7, ♣7, ♥10 | pair
♥J, ♣5, ♦7, ♣7, ♦9 | pair
♥J, ♣5, ♦7, ♣7, ♠9 | pair
♥J, ♣5, ♦7, ♣7, ♠6 | pair
♥J, ♣5, ♦7, ♦9, ♠9 | pair
♥J, ♣5, ♦K, ♣3, ♦3 | pair
♥J, ♣5, ♦K, ♦9, ♠9 | pair
♥J, ♣5, ♣3, ♣7, ♦3 | pair
♥J, ♣5, ♣3, ♥Q, ♦3 | pair
♥J, ♣5, ♣3, ♦3, ♥10 | pair
♥J, ♣5, ♣3, ♦3, ♦9 | pair
♥J, ♣5, ♣3, ♦3, ♠9 | pair
♥J, ♣5, ♣3, ♦3, ♠6 | pair
♥J, ♣5, ♣3, ♦9, ♠9 | pair
♥J, ♣5, ♣7, ♦9, ♠9 | pair
♥J, ♣5, ♥Q, ♦9, ♠9 | pair
♥J, ♣5, ♦3, ♦9, ♠9 | pair
♥J, ♣5, ♥10, ♦9, ♠9 | pair
♥J, ♣5, ♦9, ♠9, ♠6 | pair
♥J, ♣9, ♦7, ♦K, ♣7 | pair
♥J, ♣9, ♦7, ♦K, ♦9 | pair
♥J, ♣9, ♦7, ♦K, ♠9 | pair
♥J, ♣9, ♦7, ♣3, ♣7 | pair
♥J, ♣9, ♦7, ♣3, ♦3 | pair
♥J, ♣9, ♦7, ♣3, ♦9 | pair
♥J, ♣9, ♦7, ♣3, ♠9 | pair
♥J, ♣9, ♦7, ♣7, ♥Q | pair
♥J, ♣9, ♦7, ♣7, ♦3 | pair
♥J, ♣9, ♦7, ♣7, ♥10 | pair
♥J, ♣9, ♦7, ♣7, ♦9 | two pairs
♥J, ♣9, ♦7, ♣7, ♠9 | two pairs
♥J, ♣9, ♦7, ♣7, ♠6 | pair
♥J, ♣9, ♦7, ♥Q, ♦9 | pair
♥J, ♣9, ♦7, ♥Q, ♠9 | pair
♥J, ♣9, ♦7, ♦3, ♦9 | pair
♥J, ♣9, ♦7, ♦3, ♠9 | pair
♥J, ♣9, ♦7, ♥10, ♦9 | pair
♥J, ♣9, ♦7, ♥10, ♠9 | pair
♥J, ♣9, ♦7, ♦9, ♠9 | three of a kind
♥J, ♣9, ♦7, ♦9, ♠6 | pair
♥J, ♣9, ♦7, ♠9, ♠6 | pair
♥J, ♣9, ♦K, ♣3, ♦3 | pair
♥J, ♣9, ♦K, ♣3, ♦9 | pair
♥J, ♣9, ♦K, ♣3, ♠9 | pair
♥J, ♣9, ♦K, ♣7, ♦9 | pair
♥J, ♣9, ♦K, ♣7, ♠9 | pair
♥J, ♣9, ♦K, ♥Q, ♥10 | straight
♥J, ♣9, ♦K, ♥Q, ♦9 | pair
♥J, ♣9, ♦K, ♥Q, ♠9 | pair
♥J, ♣9, ♦K, ♦3, ♦9 | pair
♥J, ♣9, ♦K, ♦3, ♠9 | pair
♥J, ♣9, ♦K, ♥10, ♦9 | pair
♥J, ♣9, ♦K, ♥10, ♠9 | pair
♥J, ♣9, ♦K, ♦9, ♠9 | three of a kind
♥J, ♣9, ♦K, ♦9, ♠6 | pair
♥J, ♣9, ♦K, ♠9, ♠6 | pair
♥J, ♣9, ♣3, ♣7, ♦3 | pair
♥J, ♣9, ♣3, ♣7, ♦9 | pair
♥J, ♣9, ♣3, ♣7, ♠9 | pair
♥J, ♣9, ♣3, ♥Q, ♦3 | pair
♥J, ♣9, ♣3, ♥Q, ♦9 | pair
♥J, ♣9, ♣3, ♥Q, ♠9 | pair
♥J, ♣9, ♣3, ♦3, ♥10 | pair
♥J, ♣9, ♣3, ♦3, ♦9 | two pairs
♥J, ♣9, ♣3, ♦3, ♠9 | two pairs
♥J, ♣9, ♣3, ♦3, ♠6 | pair
♥J, ♣9, ♣3, ♥10, ♦9 | pair
♥J, ♣9, ♣3, ♥10, ♠9 | pair
♥J, ♣9, ♣3, ♦9, ♠9 | three of a kind
♥J, ♣9, ♣3, ♦9, ♠6 | pair
♥J, ♣9, ♣3, ♠9, ♠6 | pair
♥J, ♣9, ♣7, ♥Q, ♦9 | pair
♥J, ♣9, ♣7, ♥Q, ♠9 | pair
♥J, ♣9, ♣7, ♦3, ♦9 | pair
♥J, ♣9, ♣7, ♦3, ♠9 | pair
♥J, ♣9, ♣7, ♥10, ♦9 | pair
♥J, ♣9, ♣7, ♥10, ♠9 | pair
♥J, ♣9, ♣7, ♦9, ♠9 | three of a kind
♥J, ♣9, ♣7, ♦9, ♠6 | pair
♥J, ♣9, ♣7, ♠9, ♠6 | pair
♥J, ♣9, ♥Q, ♦3, ♦9 | pair
♥J, ♣9, ♥Q, ♦3, ♠9 | pair
♥J, ♣9, ♥Q, ♥10, ♦9 | pair
♥J, ♣9, ♥Q, ♥10, ♠9 | pair
♥J, ♣9, ♥Q, ♦9, ♠9 | three of a kind
♥J, ♣9, ♥Q, ♦9, ♠6 | pair
♥J, ♣9, ♥Q, ♠9, ♠6 | pair
♥J, ♣9, ♦3, ♥10, ♦9 | pair
♥J, ♣9, ♦3, ♥10, ♠9 | pair
♥J, ♣9, ♦3, ♦9, ♠9 | three of a kind
♥J, ♣9, ♦3, ♦9, ♠6 | pair
♥J, ♣9, ♦3, ♠9, ♠6 | pair
♥J, ♣9, ♥10, ♦9, ♠9 | three of a kind
♥J, ♣9, ♥10, ♦9, ♠6 | pair
♥J, ♣9, ♥10, ♠9, ♠6 | pair
♥J, ♣9, ♦9, ♠9, ♠6 | three of a kind
♥J, ♦7, ♦K, ♣3, ♣7 | pair
♥J, ♦7, ♦K, ♣3, ♦3 | pair
♥J, ♦7, ♦K, ♣7, ♥Q | pair
♥J, ♦7, ♦K, ♣7, ♦3 | pair
♥J, ♦7, ♦K, ♣7, ♥10 | pair
♥J, ♦7, ♦K, ♣7, ♦9 | pair
♥J, ♦7, ♦K, ♣7, ♠9 | pair
♥J, ♦7, ♦K, ♣7, ♠6 | pair
♥J, ♦7, ♦K, ♦9, ♠9 | pair
♥J, ♦7, ♣3, ♣7, ♥Q | pair
♥J, ♦7, ♣3, ♣7, ♦3 | two pairs
♥J, ♦7, ♣3, ♣7, ♥10 | pair
♥J, ♦7, ♣3, ♣7, ♦9 | pair
♥J, ♦7, ♣3, ♣7, ♠9 | pair
♥J, ♦7, ♣3, ♣7, ♠6 | pair
♥J, ♦7, ♣3, ♥Q, ♦3 | pair
♥J, ♦7, ♣3, ♦3, ♥10 | pair
♥J, ♦7, ♣3, ♦3, ♦9 | pair
♥J, ♦7, ♣3, ♦3, ♠9 | pair
♥J, ♦7, ♣3, ♦3, ♠6 | pair
♥J, ♦7, ♣3, ♦9, ♠9 | pair
♥J, ♦7, ♣7, ♥Q, ♦3 | pair
♥J, ♦7, ♣7, ♥Q, ♥10 | pair
♥J, ♦7, ♣7, ♥Q, ♦9 | pair
♥J, ♦7, ♣7, ♥Q, ♠9 | pair
♥J, ♦7, ♣7, ♥Q, ♠6 | pair
♥J, ♦7, ♣7, ♦3, ♥10 | pair
♥J, ♦7, ♣7, ♦3, ♦9 | pair
♥J, ♦7, ♣7, ♦3, ♠9 | pair
♥J, ♦7, ♣7, ♦3, ♠6 | pair
♥J, ♦7, ♣7, ♥10, ♦9 | pair
♥J, ♦7, ♣7, ♥10, ♠9 | pair
♥J, ♦7, ♣7, ♥10, ♠6 | pair
♥J, ♦7, ♣7, ♦9, ♠9 | two pairs
♥J, ♦7, ♣7, ♦9, ♠6 | pair
♥J, ♦7, ♣7, ♠9, ♠6 | pair
♥J, ♦7, ♥Q, ♦9, ♠9 | pair
♥J, ♦7, ♦3, ♦9, ♠9 | pair
♥J, ♦7, ♥10, ♦9, ♠9 | pair
♥J, ♦7, ♦9, ♠9, ♠6 | pair
♥J, ♦K, ♣3, ♣7, ♦3 | pair
♥J, ♦K, ♣3, ♥Q, ♦3 | pair
♥J, ♦K, ♣3, ♦3, ♥10 | pair
♥J, ♦K, ♣3, ♦3, ♦9 | pair
♥J, ♦K, ♣3, ♦3, ♠9 | pair
♥J, ♦K, ♣3, ♦3, ♠6 | pair
♥J, ♦K, ♣3, ♦9, ♠9 | pair
♥J, ♦K, ♣7, ♦9, ♠9 | pair
♥J, ♦K, ♥Q, ♥10, ♦9 | straight
♥J, ♦K, ♥Q, ♥10, ♠9 | straight
♥J, ♦K, ♥Q, ♦9, ♠9 | pair
♥J, ♦K, ♦3, ♦9, ♠9 | pair
♥J, ♦K, ♥10, ♦9, ♠9 | pair
♥J, ♦K, ♦9, ♠9, ♠6 | pair
♥J, ♣3, ♣7, ♥Q, ♦3 | pair
♥J, ♣3, ♣7, ♦3, ♥10 | pair
♥J, ♣3, ♣7, ♦3, ♦9 | pair
♥J, ♣3, ♣7, ♦3, ♠9 | pair
♥J, ♣3, ♣7, ♦3, ♠6 | pair
♥J, ♣3, ♣7, ♦9, ♠9 | pair
♥J, ♣3, ♥Q, ♦3, ♥10 | pair
♥J, ♣3, ♥Q, ♦3, ♦9 | pair
♥J, ♣3, ♥Q, ♦3, ♠9 | pair
♥J, ♣3, ♥Q, ♦3, ♠6 | pair
♥J, ♣3, ♥Q, ♦9, ♠9 | pair
♥J, ♣3, ♦3, ♥10, ♦9 | pair
♥J, ♣3, ♦3, ♥10, ♠9 | pair
♥J, ♣3, ♦3, ♥10, ♠6 | pair
♥J, ♣3, ♦3, ♦9, ♠9 | two pairs
♥J, ♣3, ♦3, ♦9, ♠6 | pair
♥J, ♣3, ♦3, ♠9, ♠6 | pair
♥J, ♣3, ♥10, ♦9, ♠9 | pair
♥J, ♣3, ♦9, ♠9, ♠6 | pair
♥J, ♣7, ♥Q, ♦9, ♠9 | pair
♥J, ♣7, ♦3, ♦9, ♠9 | pair
♥J, ♣7, ♥10, ♦9, ♠9 | pair
♥J, ♣7, ♦9, ♠9, ♠6 | pair
♥J, ♥Q, ♦3, ♦9, ♠9 | pair
♥J, ♥Q, ♥10, ♦9, ♠9 | pair
♥J, ♥Q, ♦9, ♠9, ♠6 | pair
♥J, ♦3, ♥10, ♦9, ♠9 | pair
♥J, ♦3, ♦9, ♠9, ♠6 | pair
♥J, ♥10, ♦9, ♠9, ♠6 | pair
♣5, ♣9, ♦7, ♦K, ♣7 | pair
♣5, ♣9, ♦7, ♦K, ♦9 | pair
♣5, ♣9, ♦7, ♦K, ♠9 | pair
♣5, ♣9, ♦7, ♣3, ♣7 | pair
♣5, ♣9, ♦7, ♣3, ♦3 | pair
♣5, ♣9, ♦7, ♣3, ♦9 | pair
♣5, ♣9, ♦7, ♣3, ♠9 | pair
♣5, ♣9, ♦7, ♣7, ♥Q | pair
♣5, ♣9, ♦7, ♣7, ♦3 | pair
♣5, ♣9, ♦7, ♣7, ♥10 | pair
♣5, ♣9, ♦7, ♣7, ♦9 | two pairs
♣5, ♣9, ♦7, ♣7, ♠9 | two pairs
♣5, ♣9, ♦7, ♣7, ♠6 | pair
♣5, ♣9, ♦7, ♥Q, ♦9 | pair
♣5, ♣9, ♦7, ♥Q, ♠9 | pair
♣5, ♣9, ♦7, ♦3, ♦9 | pair
♣5, ♣9, ♦7, ♦3, ♠9 | pair
♣5, ♣9, ♦7, ♥10, ♦9 | pair
♣5, ♣9, ♦7, ♥10, ♠9 | pair
♣5, ♣9, ♦7, ♦9, ♠9 | three of a kind
♣5, ♣9, ♦7, ♦9, ♠6 | pair
♣5, ♣9, ♦7, ♠9, ♠6 | pair
♣5, ♣9, ♦K, ♣3, ♦3 | pair
♣5, ♣9, ♦K, ♣3, ♦9 | pair
♣5, ♣9, ♦K, ♣3, ♠9 | pair
♣5, ♣9, ♦K, ♣7, ♦9 | pair
♣5, ♣9, ♦K, ♣7, ♠9 | pair
♣5, ♣9, ♦K, ♥Q, ♦9 | pair
♣5, ♣9, ♦K, ♥Q, ♠9 | pair
♣5, ♣9, ♦K, ♦3, ♦9 | pair
♣5, ♣9, ♦K, ♦3, ♠9 | pair
♣5, ♣9, ♦K, ♥10, ♦9 | pair
♣5, ♣9, ♦K, ♥10, ♠9 | pair
♣5, ♣9, ♦K, ♦9, ♠9 | three of a kind
♣5, ♣9, ♦K, ♦9, ♠6 | pair
♣5, ♣9, ♦K, ♠9, ♠6 | pair
♣5, ♣9, ♣3, ♣7, ♦3 | pair
♣5, ♣9, ♣3, ♣7, ♦9 | pair
♣5, ♣9, ♣3, ♣7, ♠9 | pair
♣5, ♣9, ♣3, ♥Q, ♦3 | pair
♣5, ♣9, ♣3, ♥Q, ♦9 | pair
♣5, ♣9, ♣3, ♥Q, ♠9 | pair
♣5, ♣9, ♣3, ♦3, ♥10 | pair
♣5, ♣9, ♣3, ♦3, ♦9 | two pairs
♣5, ♣9, ♣3, ♦3, ♠9 | two pairs
♣5, ♣9, ♣3, ♦3, ♠6 | pair
♣5, ♣9, ♣3, ♥10, ♦9 | pair
♣5, ♣9, ♣3, ♥10, ♠9 | pair
♣5, ♣9, ♣3, ♦9, ♠9 | three of a kind
♣5, ♣9, ♣3, ♦9, ♠6 | pair
♣5, ♣9, ♣3, ♠9, ♠6 | pair
♣5, ♣9, ♣7, ♥Q, ♦9 | pair
♣5, ♣9, ♣7, ♥Q, ♠9 | pair
♣5, ♣9, ♣7, ♦3, ♦9 | pair
♣5, ♣9, ♣7, ♦3, ♠9 | pair
♣5, ♣9, ♣7, ♥10, ♦9 | pair
♣5, ♣9, ♣7, ♥10, ♠9 | pair
♣5, ♣9, ♣7, ♦9, ♠9 | three of a kind
♣5, ♣9, ♣7, ♦9, ♠6 | pair
♣5, ♣9, ♣7, ♠9, ♠6 | pair
♣5, ♣9, ♥Q, ♦3, ♦9 | pair
♣5, ♣9, ♥Q, ♦3, ♠9 | pair
♣5, ♣9, ♥Q, ♥10, ♦9 | pair
♣5, ♣9, ♥Q, ♥10, ♠9 | pair
♣5, ♣9, ♥Q, ♦9, ♠9 | three of a kind
