♥4, ♠4, ♣7, ♥6, ♣3 | pair
♣3, ♦8, ♠8, ♠2, ♦10 | pair
♣3, ♦8, ♠8, ♠2, ♣2 | two pairs
♣3, ♦8, ♠8, ♠2, ♥Q | pair
♣3, ♦8, ♠8, ♦10, ♣2 | pair
♣3, ♦8, ♠8, ♦10, ♥Q | pair
♣3, ♦8, ♠8, ♣2, ♥Q | pair
♣3, ♦8, ♥J, ♠2, ♣2 | pair
♣3, ♦8, ♠2, ♦10, ♣2 | pair
♣3, ♦8, ♠2, ♣2, ♥Q | pair
♣3, ♦2, ♠8, ♥J, ♠2 | pair
♣3, ♦2, ♠8, ♥J, ♣2 | pair
♣3, ♦2, ♠8, ♠2, ♦10 | pair
♣3, ♦2, ♠8, ♠2, ♣2 | three of a kind
♣3, ♦2, ♠8, ♠2, ♥Q | pair
♣3, ♦2, ♠8, ♦10, ♣2 | pair
♣3, ♦2, ♠8, ♣2, ♥Q | pair
♣3, ♦2, ♥J, ♠2, ♦10 | pair
♣3, ♦2, ♥J, ♠2, ♣2 | three of a kind
♣3, ♦2, ♥J, ♠2, ♥Q | pair
♣3, ♦2, ♥J, ♦10, ♣2 | pair
♣3, ♦2, ♥J, ♣2, ♥Q | pair
♣3, ♦2, ♠2, ♦10, ♣2 | three of a kind
♣3, ♦2, ♠2, ♦10, ♥Q | pair
♣3, ♦2, ♠2, ♣2, ♥Q | three of a kind
♣3, ♦2, ♦10, ♣2, ♥Q | pair
♣3, ♠8, ♥J, ♠2, ♣2 | pair
♣3, ♠8, ♠2, ♦10, ♣2 | pair
♣3, ♠8, ♠2, ♣2, ♥Q | pair
♣3, ♥J, ♠2, ♦10, ♣2 | pair
♣3, ♥J, ♠2, ♣2, ♥Q | pair
♣3, ♠2, ♦10, ♣2, ♥Q | pair
♣7, ♠3, ♦8, ♦2, ♠8 | pair
♣7, ♠3, ♦8, ♦2, ♠2 | pair
♣7, ♠3, ♦8, ♦2, ♣2 | pair
♣7, ♠3, ♦8, ♠8, ♥J | pair
♣7, ♠3, ♦8, ♠8, ♠2 | pair
♣7, ♠3, ♦8, ♠8, ♦10 | pair
♣7, ♠3, ♦8, ♠8, ♣2 | pair
♣7, ♠3, ♦8, ♠8, ♥Q | pair
♣7, ♠3, ♦8, ♠2, ♣2 | pair
♣7, ♠3, ♦2, ♠8, ♠2 | pair
♣7, ♠3, ♦2, ♠8, ♣2 | pair
♣7, ♠3, ♦2, ♥J, ♠2 | pair
♣7, ♠3, ♦2, ♥J, ♣2 | pair
♣7, ♠3, ♦2, ♠2, ♦10 | pair
♣7, ♠3, ♦2, ♠2, ♣2 | three of a kind
♣7, ♠3, ♦2, ♠2, ♥Q | pair
♣7, ♠3, ♦2, ♦10, ♣2 | pair
♣7, ♠3, ♦2, ♣2, ♥Q | pair
♣7, ♠3, ♠8, ♠2, ♣2 | pair
♣7, ♠3, ♥J, ♠2, ♣2 | pair
♣7, ♠3, ♠2, ♦10, ♣2 | pair
♣7, ♠3, ♠2, ♣2, ♥Q | pair
♣7, ♦8, ♦2, ♠8, ♥J | pair
♣7, ♦8, ♦2, ♠8, ♠2 | two pairs
♣7, ♦8, ♦2, ♠8, ♦10 | pair
♣7, ♦8, ♦2, ♠8, ♣2 | two pairs
♣7, ♦8, ♦2, ♠8, ♥Q | pair
♣7, ♦8, ♦2, ♥J, ♠2 | pair
♣7, ♦8, ♦2, ♥J, ♣2 | pair
♣7, ♦8, ♦2, ♠2, ♦10 | pair
♣7, ♦8, ♦2, ♠2, ♣2 | three of a kind
♣7, ♦8, ♦2, ♠2, ♥Q | pair
♣7, ♦8, ♦2, ♦10, ♣2 | pair
♣7, ♦8, ♦2, ♣2, ♥Q | pair
♣7, ♦8, ♠8, ♥J, ♠2 | pair
♣7, ♦8, ♠8, ♥J, ♦10 | pair
♣7, ♦8, ♠8, ♥J, ♣2 | pair
♣7, ♦8, ♠8, ♥J, ♥Q | pair
♣7, ♦8, ♠8, ♠2, ♦10 | pair
♣7, ♦8, ♠8, ♠2, ♣2 | two pairs
♣7, ♦8, ♠8, ♠2, ♥Q | pair
♣7, ♦8, ♠8, ♦10, ♣2 | pair
♣7, ♦8, ♠8, ♦10, ♥Q | pair
♣7, ♦8, ♠8, ♣2, ♥Q | pair
♣7, ♦8, ♥J, ♠2, ♣2 | pair
♣7, ♦8, ♠2, ♦10, ♣2 | pair
♣7, ♦8, ♠2, ♣2, ♥Q | pair
♣7, ♦2, ♠8, ♥J, ♠2 | pair
♣7, ♦2, ♠8, ♥J, ♣2 | pair
♣7, ♦2, ♠8, ♠2, ♦10 | pair
♣7, ♦2, ♠8, ♠2, ♣2 | three of a kind
♣7, ♦2, ♠8, ♠2, ♥Q | pair
♣7, ♦2, ♠8, ♦10, ♣2 | pair
♣7, ♦2, ♠8, ♣2, ♥Q | pair
♣7, ♦2, ♥J, ♠2, ♦10 | pair
♣7, ♦2, ♥J, ♠2, ♣2 | three of a kind
♣7, ♦2, ♥J, ♠2, ♥Q | pair
♣7, ♦2, ♥J, ♦10, ♣2 | pair
♣7, ♦2, ♥J, ♣2, ♥Q | pair
♣7, ♦2, ♠2, ♦10, ♣2 | three of a kind
♣7, ♦2, ♠2, ♦10, ♥Q | pair
♣7, ♦2, ♠2, ♣2, ♥Q | three of a kind
♣7, ♦2, ♦10, ♣2, ♥Q | pair
♣7, ♠8, ♥J, ♠2, ♣2 | pair
♣7, ♠8, ♠2, ♦10, ♣2 | pair
♣7, ♠8, ♠2, ♣2, ♥Q | pair
♣7, ♥J, ♠2, ♦10, ♣2 | pair
♣7, ♥J, ♠2, ♣2, ♥Q | pair
♣7, ♠2, ♦10, ♣2, ♥Q | pair
♠3, ♦8, ♦2, ♠8, ♥J | pair
♠3, ♦8, ♦2, ♠8, ♠2 | two pairs
♠3, ♦8, ♦2, ♠8, ♦10 | pair
♠3, ♦8, ♦2, ♠8, ♣2 | two pairs
♠3, ♦8, ♦2, ♠8, ♥Q | pair
♠3, ♦8, ♦2, ♥J, ♠2 | pair
♠3, ♦8, ♦2, ♥J, ♣2 | pair
♠3, ♦8, ♦2, ♠2, ♦10 | pair
♠3, ♦8, ♦2, ♠2, ♣2 | three of a kind
♠3, ♦8, ♦2, ♠2, ♥Q | pair
♠3, ♦8, ♦2, ♦10, ♣2 | pair
♠3, ♦8, ♦2, ♣2, ♥Q | pair
♠3, ♦8, ♠8, ♥J, ♠2 | pair
♠3, ♦8, ♠8, ♥J, ♦10 | pair
♠3, ♦8, ♠8, ♥J, ♣2 | pair
♠3, ♦8, ♠8, ♥J, ♥Q | pair
♠3, ♦8, ♠8, ♠2, ♦10 | pair
♠3, ♦8, ♠8, ♠2, ♣2 | two pairs
♠3, ♦8, ♠8, ♠2, ♥Q | pair
♠3, ♦8, ♠8, ♦10, ♣2 | pair
♠3, ♦8, ♠8, ♦10, ♥Q | pair
♠3, ♦8, ♠8, ♣2, ♥Q | pair
♠3, ♦8, ♥J, ♠2, ♣2 | pair
♠3, ♦8, ♠2, ♦10, ♣2 | pair
♠3, ♦8, ♠2, ♣2, ♥Q | pair
♠3, ♦2, ♠8, ♥J, ♠2 | pair
♠3, ♦2, ♠8, ♥J, ♣2 | pair
♠3, ♦2, ♠8, ♠2, ♦10 | pair
♠3, ♦2, ♠8, ♠2, ♣2 | three of a kind
♠3, ♦2, ♠8, ♠2, ♥Q | pair
♠3, ♦2, ♠8, ♦10, ♣2 | pair
♠3, ♦2, ♠8, ♣2, ♥Q | pair
♠3, ♦2, ♥J, ♠2, ♦10 | pair
♠3, ♦2, ♥J, ♠2, ♣2 | three of a kind
♠3, ♦2, ♥J, ♠2, ♥Q | pair
♠3, ♦2, ♥J, ♦10, ♣2 | pair
♠3, ♦2, ♥J, ♣2, ♥Q | pair
♠3, ♦2, ♠2, ♦10, ♣2 | three of a kind
♠3, ♦2, ♠2, ♦10, ♥Q | pair
♠3, ♦2, ♠2, ♣2, ♥Q | three of a kind
♠3, ♦2, ♦10, ♣2, ♥Q | pair
♠3, ♠8, ♥J, ♠2, ♣2 | pair
♠3, ♠8, ♠2, ♦10, ♣2 | pair
♠3, ♠8, ♠2, ♣2, ♥Q | pair
♠3, ♥J, ♠2, ♦10, ♣2 | pair
♠3, ♥J, ♠2, ♣2, ♥Q | pair
♠3, ♠2, ♦10, ♣2, ♥Q | pair
♦8, ♦2, ♠8, ♥J, ♠2 | two pairs
♦8, ♦2, ♠8, ♥J, ♦10 | pair
♦8, ♦2, ♠8, ♥J, ♣2 | two pairs
♦8, ♦2, ♠8, ♥J, ♥Q | pair
♦8, ♦2, ♠8, ♠2, ♦10 | two pairs
♦8, ♦2, ♠8, ♠2, ♣2 | fullhouse
♦8, ♦2, ♠8, ♠2, ♥Q | two pairs
♦8, ♦2, ♠8, ♦10, ♣2 | two pairs
♦8, ♦2, ♠8, ♦10, ♥Q | pair
♦8, ♦2, ♠8, ♣2, ♥Q | two pairs
♦8, ♦2, ♥J, ♠2, ♦10 | pair
♦8, ♦2, ♥J, ♠2, ♣2 | three of a kind
♦8, ♦2, ♥J, ♠2, ♥Q | pair
♦8, ♦2, ♥J, ♦10, ♣2 | pair
♦8, ♦2, ♥J, ♣2, ♥Q | pair
♦8, ♦2, ♠2, ♦10, ♣2 | three of a kind
♦8, ♦2, ♠2, ♦10, ♥Q | pair
♦8, ♦2, ♠2, ♣2, ♥Q | three of a kind
♦8, ♦2, ♦10, ♣2, ♥Q | pair
♦8, ♠8, ♥J, ♠2, ♦10 | pair
♦8, ♠8, ♥J, ♠2, ♣2 | two pairs
♦8, ♠8, ♥J, ♠2, ♥Q | pair
♦8, ♠8, ♥J, ♦10, ♣2 | pair
♦8, ♠8, ♥J, ♦10, ♥Q | pair
♦8, ♠8, ♥J, ♣2, ♥Q | pair
♦8, ♠8, ♠2, ♦10, ♣2 | two pairs
♦8, ♠8, ♠2, ♦10, ♥Q | pair
♦8, ♠8, ♠2, ♣2, ♥Q | two pairs
♦8, ♠8, ♦10, ♣2, ♥Q | pair
♦8, ♥J, ♠2, ♦10, ♣2 | pair
♦8, ♥J, ♠2, ♣2, ♥Q | pair
♦8, ♠2, ♦10, ♣2, ♥Q | pair
♦2, ♠8, ♥J, ♠2, ♦10 | pair
♦2, ♠8, ♥J, ♠2, ♣2 | three of a kind
♦2, ♠8, ♥J, ♠2, ♥Q | pair
♦2, ♠8, ♥J, ♦10, ♣2 | pair
♦2, ♠8, ♥J, ♣2, ♥Q | pair
♦2, ♠8, ♠2, ♦10, ♣2 | three of a kind
♦2, ♠8, ♠2, ♦10, ♥Q | pair
♦2, ♠8, ♠2, ♣2, ♥Q | three of a kind
♦2, ♠8, ♦10, ♣2, ♥Q | pair
♦2, ♥J, ♠2, ♦10, ♣2 | three of a kind
♦2, ♥J, ♠2, ♦10, ♥Q | pair
♦2, ♥J, ♠2, ♣2, ♥Q | three of a kind
♦2, ♥J, ♦10, ♣2, ♥Q | pair
♦2, ♠2, ♦10, ♣2, ♥Q | three of a kind
♠8, ♥J, ♠2, ♦10, ♣2 | pair
♠8, ♥J, ♠2, ♣2, ♥Q | pair
♠8, ♠2, ♦10, ♣2, ♥Q | pair
♥J, ♠2, ♦10, ♣2, ♥Q | pair
