♦Q, ♥Q, ♣J, ♥10, ♥5 | pair
♥5, ♦10, ♦10, ♣J, ♥Q | pair
♥5, ♦10, ♦10, ♣J, ♥4 | pair
♥5, ♦10, ♦10, ♣4, ♦3 | pair
♥5, ♦10, ♦10, ♣4, ♥Q | pair
♥5, ♦10, ♦10, ♣4, ♥4 | two pairs
♥5, ♦10, ♦10, ♦3, ♥Q | pair
♥5, ♦10, ♦10, ♦3, ♥4 | pair
♥5, ♦10, ♦10, ♥Q, ♥4 | pair
♥5, ♦10, ♣J, ♣J, ♣4 | pair
♥5, ♦10, ♣J, ♣J, ♦3 | pair
♥5, ♦10, ♣J, ♣J, ♥Q | pair
♥5, ♦10, ♣J, ♣J, ♥4 | pair
♥5, ♦10, ♣J, ♣4, ♥4 | pair
♥5, ♦10, ♣J, ♣4, ♥4 | pair
♥5, ♦10, ♣4, ♦3, ♥4 | pair
♥5, ♦10, ♣4, ♥Q, ♥4 | pair
♥5, ♠A, ♦10, ♣J, ♣J | pair
♥5, ♠A, ♦10, ♣4, ♥4 | pair
♥5, ♠A, ♣J, ♣J, ♣4 | pair
♥5, ♠A, ♣J, ♣J, ♦3 | pair
♥5, ♠A, ♣J, ♣J, ♥Q | pair
♥5, ♠A, ♣J, ♣J, ♥4 | pair
♥5, ♠A, ♣J, ♣4, ♥4 | pair
♥5, ♠A, ♣J, ♣4, ♥4 | pair
♥5, ♠A, ♣4, ♦3, ♥4 | pair
♥5, ♠A, ♣4, ♥Q, ♥4 | pair
♥5, ♦10, ♣J, ♣J, ♣4 | pair
♥5, ♦10, ♣J, ♣J, ♦3 | pair
♥5, ♦10, ♣J, ♣J, ♥Q | pair
♥5, ♦10, ♣J, ♣J, ♥4 | pair
♥5, ♦10, ♣J, ♣4, ♥4 | pair
♥5, ♦10, ♣J, ♣4, ♥4 | pair
♥5, ♦10, ♣4, ♦3, ♥4 | pair
♥5, ♦10, ♣4, ♥Q, ♥4 | pair
♥5, ♣J, ♣J, ♣4, ♦3 | pair
♥5, ♣J, ♣J, ♣4, ♥Q | pair
♥5, ♣J, ♣J, ♣4, ♥4 | two pairs
♥5, ♣J, ♣J, ♦3, ♥Q | pair
♥5, ♣J, ♣J, ♦3, ♥4 | pair
♥5, ♣J, ♣J, ♥Q, ♥4 | pair
♥5, ♣J, ♣4, ♦3, ♥4 | pair
♥5, ♣J, ♣4, ♥Q, ♥4 | pair
♥5, ♣J, ♣4, ♦3, ♥4 | pair
♥5, ♣J, ♣4, ♥Q, ♥4 | pair
♥5, ♣4, ♦3, ♥Q, ♥4 | pair
♦10, ♠A, ♦10, ♣J, ♣J | two pairs
♦10, ♠A, ♦10, ♣J, ♣4 | pair
♦10, ♠A, ♦10, ♣J, ♦3 | pair
♦10, ♠A, ♦10, ♣J, ♥Q | pair
♦10, ♠A, ♦10, ♣J, ♥4 | pair
♦10, ♠A, ♦10, ♣J, ♣4 | pair
♦10, ♠A, ♦10, ♣J, ♦3 | pair
♦10, ♠A, ♦10, ♣J, ♥Q | pair
♦10, ♠A, ♦10, ♣J, ♥4 | pair
♦10, ♠A, ♦10, ♣4, ♦3 | pair
♦10, ♠A, ♦10, ♣4, ♥Q | pair
♦10, ♠A, ♦10, ♣4, ♥4 | two pairs
♦10, ♠A, ♦10, ♦3, ♥Q | pair
♦10, ♠A, ♦10, ♦3, ♥4 | pair
♦10, ♠A, ♦10, ♥Q, ♥4 | pair
♦10, ♠A, ♣J, ♣J, ♣4 | pair
♦10, ♠A, ♣J, ♣J, ♦3 | pair
♦10, ♠A, ♣J, ♣J, ♥Q | pair
♦10, ♠A, ♣J, ♣J, ♥4 | pair
♦10, ♠A, ♣J, ♣4, ♥4 | pair
♦10, ♠A, ♣J, ♣4, ♥4 | pair
♦10, ♠A, ♣4, ♦3, ♥4 | pair
♦10, ♠A, ♣4, ♥Q, ♥4 | pair
♦10, ♦10, ♣J, ♣J, ♣4 | two pairs
♦10, ♦10, ♣J, ♣J, ♦3 | two pairs
♦10, ♦10, ♣J, ♣J, ♥Q | two pairs
♦10, ♦10, ♣J, ♣J, ♥4 | two pairs
♦10, ♦10, ♣J, ♣4, ♦3 | pair
♦10, ♦10, ♣J, ♣4, ♥Q | pair
♦10, ♦10, ♣J, ♣4, ♥4 | two pairs
♦10, ♦10, ♣J, ♦3, ♥Q | pair
♦10, ♦10, ♣J, ♦3, ♥4 | pair
♦10, ♦10, ♣J, ♥Q, ♥4 | pair
♦10, ♦10, ♣J, ♣4, ♦3 | pair
♦10, ♦10, ♣J, ♣4, ♥Q | pair
♦10, ♦10, ♣J, ♣4, ♥4 | two pairs
♦10, ♦10, ♣J, ♦3, ♥Q | pair
♦10, ♦10, ♣J, ♦3, ♥4 | pair
♦10, ♦10, ♣J, ♥Q, ♥4 | pair
♦10, ♦10, ♣4, ♦3, ♥Q | pair
♦10, ♦10, ♣4, ♦3, ♥4 | two pairs
♦10, ♦10, ♣4, ♥Q, ♥4 | two pairs
♦10, ♦10, ♦3, ♥Q, ♥4 | pair
♦10, ♣J, ♣J, ♣4, ♦3 | pair
♦10, ♣J, ♣J, ♣4, ♥Q | pair
♦10, ♣J, ♣J, ♣4, ♥4 | two pairs
♦10, ♣J, ♣J, ♦3, ♥Q | pair
♦10, ♣J, ♣J, ♦3, ♥4 | pair
♦10, ♣J, ♣J, ♥Q, ♥4 | pair
♦10, ♣J, ♣4, ♦3, ♥4 | pair
♦10, ♣J, ♣4, ♥Q, ♥4 | pair
♦10, ♣J, ♣4, ♦3, ♥4 | pair
♦10, ♣J, ♣4, ♥Q, ♥4 | pair
♦10, ♣4, ♦3, ♥Q, ♥4 | pair
♠A, ♦10, ♣J, ♣J, ♣4 | pair
♠A, ♦10, ♣J, ♣J, ♦3 | pair
♠A, ♦10, ♣J, ♣J, ♥Q | pair
♠A, ♦10, ♣J, ♣J, ♥4 | pair
♠A, ♦10, ♣J, ♣4, ♥4 | pair
♠A, ♦10, ♣J, ♣4, ♥4 | pair
♠A, ♦10, ♣4, ♦3, ♥4 | pair
♠A, ♦10, ♣4, ♥Q, ♥4 | pair
♠A, ♣J, ♣J, ♣4, ♦3 | pair
♠A, ♣J, ♣J, ♣4, ♥Q | pair
♠A, ♣J, ♣J, ♣4, ♥4 | two pairs
♠A, ♣J, ♣J, ♦3, ♥Q | pair
♠A, ♣J, ♣J, ♦3, ♥4 | pair
♠A, ♣J, ♣J, ♥Q, ♥4 | pair
♠A, ♣J, ♣4, ♦3, ♥4 | pair
♠A, ♣J, ♣4, ♥Q, ♥4 | pair
♠A, ♣J, ♣4, ♦3, ♥4 | pair
♠A, ♣J, ♣4, ♥Q, ♥4 | pair
♠A, ♣4, ♦3, ♥Q, ♥4 | pair
♦10, ♣J, ♣J, ♣4, ♦3 | pair
♦10, ♣J, ♣J, ♣4, ♥Q | pair
♦10, ♣J, ♣J, ♣4, ♥4 | two pairs
♦10, ♣J, ♣J, ♦3, ♥Q | pair
♦10, ♣J, ♣J, ♦3, ♥4 | pair
♦10, ♣J, ♣J, ♥Q, ♥4 | pair
♦10, ♣J, ♣4, ♦3, ♥4 | pair
♦10, ♣J, ♣4, ♥Q, ♥4 | pair
♦10, ♣J, ♣4, ♦3, ♥4 | pair
♦10, ♣J, ♣4, ♥Q, ♥4 | pair
♦10, ♣4, ♦3, ♥Q, ♥4 | pair
♣J, ♣J, ♣4, ♦3, ♥Q | pair
♣J, ♣J, ♣4, ♦3, ♥4 | two pairs
♣J, ♣J, ♣4, ♥Q, ♥4 | two pairs
♣J, ♣J, ♦3, ♥Q, ♥4 | pair
♣J, ♣4, ♦3, ♥Q, ♥4 | pair
♣J, ♣4, ♦3, ♥Q, ♥4 | pair
