♥7, ♥7, ♦Q, ♥5, ♠A | pair
♦Q, ♥5, ♠K, ♣3, ♣5 | pair
♦Q, ♥5, ♠K, ♣10, ♣5 | pair
♦Q, ♥5, ♠K, ♣5, ♠8 | pair
♦Q, ♥5, ♦5, ♣10, ♠J | pair
♦Q, ♥5, ♦5, ♣10, ♣3 | pair
♦Q, ♥5, ♦5, ♣10, ♣10 | two pairs
♦Q, ♥5, ♦5, ♣10, ♣5 | three of a kind
♦Q, ♥5, ♦5, ♣10, ♠8 | pair
♦Q, ♥5, ♦5, ♠J, ♣3 | pair
♦Q, ♥5, ♦5, ♠J, ♣10 | pair
♦Q, ♥5, ♦5, ♠J, ♣5 | three of a kind
♦Q, ♥5, ♦5, ♠J, ♠8 | pair
♦Q, ♥5, ♦5, ♣3, ♣10 | pair
♦Q, ♥5, ♦5, ♣3, ♣5 | three of a kind
♦Q, ♥5, ♦5, ♣3, ♠8 | pair
♦Q, ♥5, ♦5, ♣10, ♣5 | three of a kind
♦Q, ♥5, ♦5, ♣10, ♠8 | pair
♦Q, ♥5, ♦5, ♣5, ♠8 | three of a kind
♦Q, ♥5, ♣10, ♠J, ♣10 | pair
♦Q, ♥5, ♣10, ♠J, ♣5 | pair
♦Q, ♥5, ♣10, ♣3, ♣10 | pair
♦Q, ♥5, ♣10, ♣3, ♣5 | pair
♦Q, ♥5, ♣10, ♣10, ♣5 | two pairs
♦Q, ♥5, ♣10, ♣10, ♠8 | pair
♦Q, ♥5, ♣10, ♣5, ♠8 | pair
♦Q, ♥5, ♠J, ♣3, ♣5 | pair
♦Q, ♥5, ♠J, ♣10, ♣5 | pair
♦Q, ♥5, ♠J, ♣5, ♠8 | pair
♦Q, ♥5, ♣3, ♣10, ♣5 | pair
♦Q, ♥5, ♣3, ♣5, ♠8 | pair
♦Q, ♥5, ♣10, ♣5, ♠8 | pair
♦Q, ♠A, ♣K, ♣A, ♥5 | pair
♦Q, ♠A, ♣K, ♣A, ♠K | two pairs
♦Q, ♠A, ♣K, ♣A, ♦5 | pair
♦Q, ♠A, ♣K, ♣A, ♣10 | pair
♦Q, ♠A, ♣K, ♣A, ♠J | pair
♦Q, ♠A, ♣K, ♣A, ♣3 | pair
♦Q, ♠A, ♣K, ♣A, ♣10 | pair
♦Q, ♠A, ♣K, ♣A, ♣5 | pair
♦Q, ♠A, ♣K, ♣A, ♠8 | pair
♦Q, ♠A, ♣K, ♥5, ♠K | pair
♦Q, ♠A, ♣K, ♥5, ♦5 | pair
♦Q, ♠A, ♣K, ♥5, ♣5 | pair
♦Q, ♠A, ♣K, ♠K, ♦5 | pair
♦Q, ♠A, ♣K, ♠K, ♣10 | pair
♦Q, ♠A, ♣K, ♠K, ♠J | pair
♦Q, ♠A, ♣K, ♠K, ♣3 | pair
♦Q, ♠A, ♣K, ♠K, ♣10 | pair
♦Q, ♠A, ♣K, ♠K, ♣5 | pair
♦Q, ♠A, ♣K, ♠K, ♠8 | pair
♦Q, ♠A, ♣K, ♦5, ♣5 | pair
♦Q, ♠A, ♣K, ♣10, ♠J | straight
♦Q, ♠A, ♣K, ♣10, ♣10 | pair
♦Q, ♠A, ♣K, ♠J, ♣10 | straight
♦Q, ♠A, ♣A, ♥5, ♠K | pair
♦Q, ♠A, ♣A, ♥5, ♦5 | two pairs
♦Q, ♠A, ♣A, ♥5, ♣10 | pair
♦Q, ♠A, ♣A, ♥5, ♠J | pair
♦Q, ♠A, ♣A, ♥5, ♣3 | pair
♦Q, ♠A, ♣A, ♥5, ♣10 | pair
♦Q, ♠A, ♣A, ♥5, ♣5 | two pairs
♦Q, ♠A, ♣A, ♥5, ♠8 | pair
♦Q, ♠A, ♣A, ♠K, ♦5 | pair
♦Q, ♠A, ♣A, ♠K, ♣10 | pair
♦Q, ♠A, ♣A, ♠K, ♠J | pair
♦Q, ♠A, ♣A, ♠K, ♣3 | pair
♦Q, ♠A, ♣A, ♠K, ♣10 | pair
♦Q, ♠A, ♣A, ♠K, ♣5 | pair
♦Q, ♠A, ♣A, ♠K, ♠8 | pair
♦Q, ♠A, ♣A, ♦5, ♣10 | pair
♦Q, ♠A, ♣A, ♦5, ♠J | pair
♦Q, ♠A, ♣A, ♦5, ♣3 | pair
♦Q, ♠A, ♣A, ♦5, ♣10 | pair
♦Q, ♠A, ♣A, ♦5, ♣5 | two pairs
♦Q, ♠A, ♣A, ♦5, ♠8 | pair
♦Q, ♠A, ♣A, ♣10, ♠J | pair
♦Q, ♠A, ♣A, ♣10, ♣3 | pair
♦Q, ♠A, ♣A, ♣10, ♣10 | two pairs
♦Q, ♠A, ♣A, ♣10, ♣5 | pair
♦Q, ♠A, ♣A, ♣10, ♠8 | pair
♦Q, ♠A, ♣A, ♠J, ♣3 | pair
♦Q, ♠A, ♣A, ♠J, ♣10 | pair
♦Q, ♠A, ♣A, ♠J, ♣5 | pair
♦Q, ♠A, ♣A, ♠J, ♠8 | pair
♦Q, ♠A, ♣A, ♣3, ♣10 | pair
♦Q, ♠A, ♣A, ♣3, ♣5 | pair
♦Q, ♠A, ♣A, ♣3, ♠8 | pair
♦Q, ♠A, ♣A, ♣10, ♣5 | pair
♦Q, ♠A, ♣A, ♣10, ♠8 | pair
♦Q, ♠A, ♣A, ♣5, ♠8 | pair
♦Q, ♠A, ♥5, ♠K, ♦5 | pair
♦Q, ♠A, ♥5, ♠K, ♣5 | pair
♦Q, ♠A, ♥5, ♦5, ♣10 | pair
♦Q, ♠A, ♥5, ♦5, ♠J | pair
♦Q, ♠A, ♥5, ♦5, ♣3 | pair
♦Q, ♠A, ♥5, ♦5, ♣10 | pair
♦Q, ♠A, ♥5, ♦5, ♣5 | three of a kind
♦Q, ♠A, ♥5, ♦5, ♠8 | pair
♦Q, ♠A, ♥5, ♣10, ♣10 | pair
♦Q, ♠A, ♥5, ♣10, ♣5 | pair
♦Q, ♠A, ♥5, ♠J, ♣5 | pair
♦Q, ♠A, ♥5, ♣3, ♣5 | pair
♦Q, ♠A, ♥5, ♣10, ♣5 | pair
♦Q, ♠A, ♥5, ♣5, ♠8 | pair
♦Q, ♠A, ♠K, ♦5, ♣5 | pair
♦Q, ♠A, ♠K, ♣10, ♠J | straight
♦Q, ♠A, ♠K, ♣10, ♣10 | pair
♦Q, ♠A, ♠K, ♠J, ♣10 | straight
♦Q, ♠A, ♦5, ♣10, ♣10 | pair
♦Q, ♠A, ♦5, ♣10, ♣5 | pair
♦Q, ♠A, ♦5, ♠J, ♣5 | pair
♦Q, ♠A, ♦5, ♣3, ♣5 | pair
♦Q, ♠A, ♦5, ♣10, ♣5 | pair
♦Q, ♠A, ♦5, ♣5, ♠8 | pair
♦Q, ♠A, ♣10, ♠J, ♣10 | pair
♦Q, ♠A, ♣10, ♣3, ♣10 | pair
♦Q, ♠A, ♣10, ♣10, ♣5 | pair
♦Q, ♠A, ♣10, ♣10, ♠8 | pair
♦Q, ♣K, ♣A, ♥5, ♠K | pair
♦Q, ♣K, ♣A, ♥5, ♦5 | pair
♦Q, ♣K, ♣A, ♥5, ♣5 | pair
♦Q, ♣K, ♣A, ♠K, ♦5 | pair
♦Q, ♣K, ♣A, ♠K, ♣10 | pair
♦Q, ♣K, ♣A, ♠K, ♠J | pair
♦Q, ♣K, ♣A, ♠K, ♣3 | pair
♦Q, ♣K, ♣A, ♠K, ♣10 | pair
♦Q, ♣K, ♣A, ♠K, ♣5 | pair
♦Q, ♣K, ♣A, ♠K, ♠8 | pair
♦Q, ♣K, ♣A, ♦5, ♣5 | pair
♦Q, ♣K, ♣A, ♣10, ♠J | straight
♦Q, ♣K, ♣A, ♣10, ♣10 | pair
♦Q, ♣K, ♣A, ♠J, ♣10 | straight
♦Q, ♣K, ♥5, ♠K, ♦5 | two pairs
♦Q, ♣K, ♥5, ♠K, ♣10 | pair
♦Q, ♣K, ♥5, ♠K, ♠J | pair
♦Q, ♣K, ♥5, ♠K, ♣3 | pair
♦Q, ♣K, ♥5, ♠K, ♣10 | pair
♦Q, ♣K, ♥5, ♠K, ♣5 | two pairs
♦Q, ♣K, ♥5, ♠K, ♠8 | pair
♦Q, ♣K, ♥5, ♦5, ♣10 | pair
♦Q, ♣K, ♥5, ♦5, ♠J | pair
♦Q, ♣K, ♥5, ♦5, ♣3 | pair
♦Q, ♣K, ♥5, ♦5, ♣10 | pair
♦Q, ♣K, ♥5, ♦5, ♣5 | three of a kind
♦Q, ♣K, ♥5, ♦5, ♠8 | pair
♦Q, ♣K, ♥5, ♣10, ♣10 | pair
♦Q, ♣K, ♥5, ♣10, ♣5 | pair
♦Q, ♣K, ♥5, ♠J, ♣5 | pair
♦Q, ♣K, ♥5, ♣3, ♣5 | pair
♦Q, ♣K, ♥5, ♣10, ♣5 | pair
♦Q, ♣K, ♥5, ♣5, ♠8 | pair
♦Q, ♣K, ♠K, ♦5, ♣10 | pair
♦Q, ♣K, ♠K, ♦5, ♠J | pair
♦Q, ♣K, ♠K, ♦5, ♣3 | pair
♦Q, ♣K, ♠K, ♦5, ♣10 | pair
♦Q, ♣K, ♠K, ♦5, ♣5 | two pairs
♦Q, ♣K, ♠K, ♦5, ♠8 | pair
♦Q, ♣K, ♠K, ♣10, ♠J | pair
♦Q, ♣K, ♠K, ♣10, ♣3 | pair
♦Q, ♣K, ♠K, ♣10, ♣10 | two pairs
♦Q, ♣K, ♠K, ♣10, ♣5 | pair
♦Q, ♣K, ♠K, ♣10, ♠8 | pair
♦Q, ♣K, ♠K, ♠J, ♣3 | pair
♦Q, ♣K, ♠K, ♠J, ♣10 | pair
♦Q, ♣K, ♠K, ♠J, ♣5 | pair
♦Q, ♣K, ♠K, ♠J, ♠8 | pair
♦Q, ♣K, ♠K, ♣3, ♣10 | pair
♦Q, ♣K, ♠K, ♣3, ♣5 | pair
♦Q, ♣K, ♠K, ♣3, ♠8 | pair
♦Q, ♣K, ♠K, ♣10, ♣5 | pair
♦Q, ♣K, ♠K, ♣10, ♠8 | pair
♦Q, ♣K, ♠K, ♣5, ♠8 | pair
♦Q, ♣K, ♦5, ♣10, ♣10 | pair
♦Q, ♣K, ♦5, ♣10, ♣5 | pair
♦Q, ♣K, ♦5, ♠J, ♣5 | pair
♦Q, ♣K, ♦5, ♣3, ♣5 | pair
♦Q, ♣K, ♦5, ♣10, ♣5 | pair
♦Q, ♣K, ♦5, ♣5, ♠8 | pair
♦Q, ♣K, ♣10, ♠J, ♣10 | pair
♦Q, ♣K, ♣10, ♣3, ♣10 | pair
♦Q, ♣K, ♣10, ♣10, ♣5 | pair
♦Q, ♣K, ♣10, ♣10, ♠8 | pair
♦Q, ♣A, ♥5, ♠K, ♦5 | pair
♦Q, ♣A, ♥5, ♠K, ♣5 | pair
♦Q, ♣A, ♥5, ♦5, ♣10 | pair
♦Q, ♣A, ♥5, ♦5, ♠J | pair
♦Q, ♣A, ♥5, ♦5, ♣3 | pair
♦Q, ♣A, ♥5, ♦5, ♣10 | pair
♦Q, ♣A, ♥5, ♦5, ♣5 | three of a kind
♦Q, ♣A, ♥5, ♦5, ♠8 | pair
♦Q, ♣A, ♥5, ♣10, ♣10 | pair
♦Q, ♣A, ♥5, ♣10, ♣5 | pair
♦Q, ♣A, ♥5, ♠J, ♣5 | pair
♦Q, ♣A, ♥5, ♣3, ♣5 | pair
♦Q, ♣A, ♥5, ♣10, ♣5 | pair
♦Q, ♣A, ♥5, ♣5, ♠8 | pair
♦Q, ♣A, ♠K, ♦5, ♣5 | pair
♦Q, ♣A, ♠K, ♣10, ♠J | straight
♦Q, ♣A, ♠K, ♣10, ♣10 | pair
♦Q, ♣A, ♠K, ♠J, ♣10 | straight
♦Q, ♣A, ♦5, ♣10, ♣10 | pair
♦Q, ♣A, ♦5, ♣10, ♣5 | pair
♦Q, ♣A, ♦5, ♠J, ♣5 | pair
♦Q, ♣A, ♦5, ♣3, ♣5 | pair
♦Q, ♣A, ♦5, ♣10, ♣5 | pair
♦Q, ♣A, ♦5, ♣5, ♠8 | pair
♦Q, ♣A, ♣10, ♠J, ♣10 | pair
♦Q, ♣A, ♣10, ♣3, ♣10 | pair
♦Q, ♣A, ♣10, ♣10, ♣5 | pair
♦Q, ♣A, ♣10, ♣10, ♠8 | pair
♦Q, ♥5, ♠K, ♦5, ♣10 | pair
♦Q, ♥5, ♠K, ♦5, ♠J | pair
♦Q, ♥5, ♠K, ♦5, ♣3 | pair
♦Q, ♥5, ♠K, ♦5, ♣10 | pair
♦Q, ♥5, ♠K, ♦5, ♣5 | three of a kind
♦Q, ♥5, ♠K, ♦5, ♠8 | pair
♦Q, ♥5, ♠K, ♣10, ♣10 | pair
♦Q, ♥5, ♠K, ♣10, ♣5 | pair
♦Q, ♥5, ♠K, ♠J, ♣5 | pair
♦Q, ♥5, ♠K, ♣3, ♣5 | pair
♦Q, ♥5, ♠K, ♣10, ♣5 | pair
♦Q, ♥5, ♠K, ♣5, ♠8 | pair
♦Q, ♥5, ♦5, ♣10, ♠J | pair
♦Q, ♥5, ♦5, ♣10, ♣3 | pair
♦Q, ♥5, ♦5, ♣10, ♣10 | two pairs
♦Q, ♥5, ♦5, ♣10, ♣5 | three of a kind
♦Q, ♥5, ♦5, ♣10, ♠8 | pair
♦Q, ♥5, ♦5, ♠J, ♣3 | pair
♦Q, ♥5, ♦5, ♠J, ♣10 | pair
♦Q, ♥5, ♦5, ♠J, ♣5 | three of a kind
♦Q, ♥5, ♦5, ♠J, ♠8 | pair
♦Q, ♥5, ♦5, ♣3, ♣10 | pair
♦Q, ♥5, ♦5, ♣3, ♣5 | three of a kind
♦Q, ♥5, ♦5, ♣3, ♠8 | pair
♦Q, ♥5, ♦5, ♣10, ♣5 | three of a kind
♦Q, ♥5, ♦5, ♣10, ♠8 | pair
♦Q, ♥5, ♦5, ♣5, ♠8 | three of a kind
♦Q, ♥5, ♣10, ♠J, ♣10 | pair
♦Q, ♥5, ♣10, ♠J, ♣5 | pair
♦Q, ♥5, ♣10, ♣3, ♣10 | pair
♦Q, ♥5, ♣10, ♣3, ♣5 | pair
♦Q, ♥5, ♣10, ♣10, ♣5 | two pairs
♦Q, ♥5, ♣10, ♣10, ♠8 | pair
♦Q, ♥5, ♣10, ♣5, ♠8 | pair
♦Q, ♥5, ♠J, ♣3, ♣5 | pair
♦Q, ♥5, ♠J, ♣10, ♣5 | pair
♦Q, ♥5, ♠J, ♣5, ♠8 | pair
♦Q, ♥5, ♣3, ♣10, ♣5 | pair
♦Q, ♥5, ♣3, ♣5, ♠8 | pair
♦Q, ♥5, ♣10, ♣5, ♠8 | pair
♦Q, ♠K, ♦5, ♣10, ♣10 | pair
♦Q, ♠K, ♦5, ♣10, ♣5 | pair
♦Q, ♠K, ♦5, ♠J, ♣5 | pair
♦Q, ♠K, ♦5, ♣3, ♣5 | pair
♦Q, ♠K, ♦5, ♣10, ♣5 | pair
♦Q, ♠K, ♦5, ♣5, ♠8 | pair
♦Q, ♠K, ♣10, ♠J, ♣10 | pair
♦Q, ♠K, ♣10, ♣3, ♣10 | pair
♦Q, ♠K, ♣10, ♣10, ♣5 | pair
♦Q, ♠K, ♣10, ♣10, ♠8 | pair
♦Q, ♦5, ♣10, ♠J, ♣10 | pair
♦Q, ♦5, ♣10, ♠J, ♣5 | pair
♦Q, ♦5, ♣10, ♣3, ♣10 | pair
♦Q, ♦5, ♣10, ♣3, ♣5 | pair
♦Q, ♦5, ♣10, ♣10, ♣5 | two pairs
♦Q, ♦5, ♣10, ♣10, ♠8 | pair
♦Q, ♦5, ♣10, ♣5, ♠8 | pair
♦Q, ♦5, ♠J, ♣3, ♣5 | pair
♦Q, ♦5, ♠J, ♣10, ♣5 | pair
♦Q, ♦5, ♠J, ♣5, ♠8 | pair
♦Q, ♦5, ♣3, ♣10, ♣5 | pair
♦Q, ♦5, ♣3, ♣5, ♠8 | pair
♦Q, ♦5, ♣10, ♣5, ♠8 | pair
♦Q, ♣10, ♠J, ♣3, ♣10 | pair
♦Q, ♣10, ♠J, ♣10, ♣5 | pair
♦Q, ♣10, ♠J, ♣10, ♠8 | pair
♦Q, ♣10, ♣3, ♣10, ♣5 | pair
♦Q, ♣10, ♣3, ♣10, ♠8 | pair
♦Q, ♣10, ♣10, ♣5, ♠8 | pair
♥5, ♠A, ♣K, ♣A, ♥5 | two pairs
♥5, ♠A, ♣K, ♣A, ♠K | two pairs
♥5, ♠A, ♣K, ♣A, ♦5 | two pairs
♥5, ♠A, ♣K, ♣A, ♣10 | pair
♥5, ♠A, ♣K, ♣A, ♠J | pair
♥5, ♠A, ♣K, ♣A, ♣3 | pair
♥5, ♠A, ♣K, ♣A, ♣10 | pair
♥5, ♠A, ♣K, ♣A, ♣5 | two pairs
♥5, ♠A, ♣K, ♣A, ♠8 | pair
♥5, ♠A, ♣K, ♥5, ♠K | two pairs
♥5, ♠A, ♣K, ♥5, ♦5 | three of a kind
♥5, ♠A, ♣K, ♥5, ♣10 | pair
♥5, ♠A, ♣K, ♥5, ♠J | pair
♥5, ♠A, ♣K, ♥5, ♣3 | pair
♥5, ♠A, ♣K, ♥5, ♣10 | pair
♥5, ♠A, ♣K, ♥5, ♣5 | three of a kind
♥5, ♠A, ♣K, ♥5, ♠8 | pair
♥5, ♠A, ♣K, ♠K, ♦5 | two pairs
♥5, ♠A, ♣K, ♠K, ♣10 | pair
♥5, ♠A, ♣K, ♠K, ♠J | pair
♥5, ♠A, ♣K, ♠K, ♣3 | pair
♥5, ♠A, ♣K, ♠K, ♣10 | pair
♥5, ♠A, ♣K, ♠K, ♣5 | two pairs
♥5, ♠A, ♣K, ♠K, ♠8 | pair
♥5, ♠A, ♣K, ♦5, ♣10 | pair
♥5, ♠A, ♣K, ♦5, ♠J | pair
♥5, ♠A, ♣K, ♦5, ♣3 | pair
♥5, ♠A, ♣K, ♦5, ♣10 | pair
♥5, ♠A, ♣K, ♦5, ♣5 | three of a kind
♥5, ♠A, ♣K, ♦5, ♠8 | pair
♥5, ♠A, ♣K, ♣10, ♣10 | pair
♥5, ♠A, ♣K, ♣10, ♣5 | pair
♥5, ♠A, ♣K, ♠J, ♣5 | pair
♥5, ♠A, ♣K, ♣3, ♣5 | pair
♥5, ♠A, ♣K, ♣10, ♣5 | pair
♥5, ♠A, ♣K, ♣5, ♠8 | pair
♥5, ♠A, ♣A, ♥5, ♠K | two pairs
♥5, ♠A, ♣A, ♥5, ♦5 | fullhouse
♥5, ♠A, ♣A, ♥5, ♣10 | two pairs
♥5, ♠A, ♣A, ♥5, ♠J | two pairs
♥5, ♠A, ♣A, ♥5, ♣3 | two pairs
♥5, ♠A, ♣A, ♥5, ♣10 | two pairs
♥5, ♠A, ♣A, ♥5, ♣5 | fullhouse
♥5, ♠A, ♣A, ♥5, ♠8 | two pairs
♥5, ♠A, ♣A, ♠K, ♦5 | two pairs
♥5, ♠A, ♣A, ♠K, ♣10 | pair
♥5, ♠A, ♣A, ♠K, ♠J | pair
♥5, ♠A, ♣A, ♠K, ♣3 | pair
♥5, ♠A, ♣A, ♠K, ♣10 | pair
♥5, ♠A, ♣A, ♠K, ♣5 | two pairs
♥5, ♠A, ♣A, ♠K, ♠8 | pair
♥5, ♠A, ♣A, ♦5, ♣10 | two pairs
♥5, ♠A, ♣A, ♦5, ♠J | two pairs
♥5, ♠A, ♣A, ♦5, ♣3 | two pairs
♥5, ♠A, ♣A, ♦5, ♣10 | two pairs
♥5, ♠A, ♣A, ♦5, ♣5 | fullhouse
♥5, ♠A, ♣A, ♦5, ♠8 | two pairs
♥5, ♠A, ♣A, ♣10, ♠J | pair
♥5, ♠A, ♣A, ♣10, ♣3 | pair
♥5, ♠A, ♣A, ♣10, ♣10 | two pairs
♥5, ♠A, ♣A, ♣10, ♣5 | two pairs
♥5, ♠A, ♣A, ♣10, ♠8 | pair
♥5, ♠A, ♣A, ♠J, ♣3 | pair
♥5, ♠A, ♣A, ♠J, ♣10 | pair
♥5, ♠A, ♣A, ♠J, ♣5 | two pairs
♥5, ♠A, ♣A, ♠J, ♠8 | pair
♥5, ♠A, ♣A, ♣3, ♣10 | pair
♥5, ♠A, ♣A, ♣3, ♣5 | two pairs
♥5, ♠A, ♣A, ♣3, ♠8 | pair
♥5, ♠A, ♣A, ♣10, ♣5 | two pairs
♥5, ♠A, ♣A, ♣10, ♠8 | pair
♥5, ♠A, ♣A, ♣5, ♠8 | two pairs
♥5, ♠A, ♥5, ♠K, ♦5 | three of a kind
♥5, ♠A, ♥5, ♠K, ♣10 | pair
♥5, ♠A, ♥5, ♠K, ♠J | pair
♥5, ♠A, ♥5, ♠K, ♣3 | pair
♥5, ♠A, ♥5, ♠K, ♣10 | pair
♥5, ♠A, ♥5, ♠K, ♣5 | three of a kind
♥5, ♠A, ♥5, ♠K, ♠8 | pair
♥5, ♠A, ♥5, ♦5, ♣10 | three of a kind
♥5, ♠A, ♥5, ♦5, ♠J | three of a kind
♥5, ♠A, ♥5, ♦5, ♣3 | three of a kind
♥5, ♠A, ♥5, ♦5, ♣10 | three of a kind
♥5, ♠A, ♥5, ♦5, ♣5 | four of a kind!
♥5, ♠A, ♥5, ♦5, ♠8 | three of a kind
♥5, ♠A, ♥5, ♣10, ♠J | pair
♥5, ♠A, ♥5, ♣10, ♣3 | pair
♥5, ♠A, ♥5, ♣10, ♣10 | two pairs
♥5, ♠A, ♥5, ♣10, ♣5 | three of a kind
♥5, ♠A, ♥5, ♣10, ♠8 | pair
♥5, ♠A, ♥5, ♠J, ♣3 | pair
♥5, ♠A, ♥5, ♠J, ♣10 | pair
♥5, ♠A, ♥5, ♠J, ♣5 | three of a kind
♥5, ♠A, ♥5, ♠J, ♠8 | pair
♥5, ♠A, ♥5, ♣3, ♣10 | pair
♥5, ♠A, ♥5, ♣3, ♣5 | three of a kind
♥5, ♠A, ♥5, ♣3, ♠8 | pair
♥5, ♠A, ♥5, ♣10, ♣5 | three of a kind
♥5, ♠A, ♥5, ♣10, ♠8 | pair
♥5, ♠A, ♥5, ♣5, ♠8 | three of a kind
♥5, ♠A, ♠K, ♦5, ♣10 | pair
♥5, ♠A, ♠K, ♦5, ♠J | pair
♥5, ♠A, ♠K, ♦5, ♣3 | pair
♥5, ♠A, ♠K, ♦5, ♣10 | pair
♥5, ♠A, ♠K, ♦5, ♣5 | three of a kind
♥5, ♠A, ♠K, ♦5, ♠8 | pair
♥5, ♠A, ♠K, ♣10, ♣10 | pair
♥5, ♠A, ♠K, ♣10, ♣5 | pair
♥5, ♠A, ♠K, ♠J, ♣5 | pair
♥5, ♠A, ♠K, ♣3, ♣5 | pair
♥5, ♠A, ♠K, ♣10, ♣5 | pair
♥5, ♠A, ♠K, ♣5, ♠8 | pair
♥5, ♠A, ♦5, ♣10, ♠J | pair
♥5, ♠A, ♦5, ♣10, ♣3 | pair
♥5, ♠A, ♦5, ♣10, ♣10 | two pairs
♥5, ♠A, ♦5, ♣10, ♣5 | three of a kind
♥5, ♠A, ♦5, ♣10, ♠8 | pair
♥5, ♠A, ♦5, ♠J, ♣3 | pair
♥5, ♠A, ♦5, ♠J, ♣10 | pair
♥5, ♠A, ♦5, ♠J, ♣5 | three of a kind
♥5, ♠A, ♦5, ♠J, ♠8 | pair
♥5, ♠A, ♦5, ♣3, ♣10 | pair
♥5, ♠A, ♦5, ♣3, ♣5 | three of a kind
♥5, ♠A, ♦5, ♣3, ♠8 | pair
♥5, ♠A, ♦5, ♣10, ♣5 | three of a kind
♥5, ♠A, ♦5, ♣10, ♠8 | pair
♥5, ♠A, ♦5, ♣5, ♠8 | three of a kind
♥5, ♠A, ♣10, ♠J, ♣10 | pair
♥5, ♠A, ♣10, ♠J, ♣5 | pair
♥5, ♠A, ♣10, ♣3, ♣10 | pair
♥5, ♠A, ♣10, ♣3, ♣5 | pair
♥5, ♠A, ♣10, ♣10, ♣5 | two pairs
♥5, ♠A, ♣10, ♣10, ♠8 | pair
♥5, ♠A, ♣10, ♣5, ♠8 | pair
♥5, ♠A, ♠J, ♣3, ♣5 | pair
♥5, ♠A, ♠J, ♣10, ♣5 | pair
♥5, ♠A, ♠J, ♣5, ♠8 | pair
♥5, ♠A, ♣3, ♣10, ♣5 | pair
♥5, ♠A, ♣3, ♣5, ♠8 | pair
♥5, ♠A, ♣10, ♣5, ♠8 | pair
♥5, ♣K, ♣A, ♥5, ♠K | two pairs
♥5, ♣K, ♣A, ♥5, ♦5 | three of a kind
♥5, ♣K, ♣A, ♥5, ♣10 | pair
♥5, ♣K, ♣A, ♥5, ♠J | pair
♥5, ♣K, ♣A, ♥5, ♣3 | pair
♥5, ♣K, ♣A, ♥5, ♣10 | pair
♥5, ♣K, ♣A, ♥5, ♣5 | three of a kind
♥5, ♣K, ♣A, ♥5, ♠8 | pair
♥5, ♣K, ♣A, ♠K, ♦5 | two pairs
♥5, ♣K, ♣A, ♠K, ♣10 | pair
♥5, ♣K, ♣A, ♠K, ♠J | pair
♥5, ♣K, ♣A, ♠K, ♣3 | pair
♥5, ♣K, ♣A, ♠K, ♣10 | pair
♥5, ♣K, ♣A, ♠K, ♣5 | two pairs
♥5, ♣K, ♣A, ♠K, ♠8 | pair
♥5, ♣K, ♣A, ♦5, ♣10 | pair
♥5, ♣K, ♣A, ♦5, ♠J | pair
♥5, ♣K, ♣A, ♦5, ♣3 | pair
♥5, ♣K, ♣A, ♦5, ♣10 | pair
♥5, ♣K, ♣A, ♦5, ♣5 | three of a kind
♥5, ♣K, ♣A, ♦5, ♠8 | pair
♥5, ♣K, ♣A, ♣10, ♣10 | pair
♥5, ♣K, ♣A, ♣10, ♣5 | pair
♥5, ♣K, ♣A, ♠J, ♣5 | pair
♥5, ♣K, ♣A, ♣3, ♣5 | pair
♥5, ♣K, ♣A, ♣10, ♣5 | pair
♥5, ♣K, ♣A, ♣5, ♠8 | pair
♥5, ♣K, ♥5, ♠K, ♦5 | fullhouse
♥5, ♣K, ♥5, ♠K, ♣10 | two pairs
♥5, ♣K, ♥5, ♠K, ♠J | two pairs
♥5, ♣K, ♥5, ♠K, ♣3 | two pairs
♥5, ♣K, ♥5, ♠K, ♣10 | two pairs
♥5, ♣K, ♥5, ♠K, ♣5 | fullhouse
♥5, ♣K, ♥5, ♠K, ♠8 | two pairs
♥5, ♣K, ♥5, ♦5, ♣10 | three of a kind
♥5, ♣K, ♥5, ♦5, ♠J | three of a kind
♥5, ♣K, ♥5, ♦5, ♣3 | three of a kind
♥5, ♣K, ♥5, ♦5, ♣10 | three of a kind
♥5, ♣K, ♥5, ♦5, ♣5 | four of a kind!
♥5, ♣K, ♥5, ♦5, ♠8 | three of a kind
♥5, ♣K, ♥5, ♣10, ♠J | pair
♥5, ♣K, ♥5, ♣10, ♣3 | pair
♥5, ♣K, ♥5, ♣10, ♣10 | two pairs
♥5, ♣K, ♥5, ♣10, ♣5 | three of a kind
♥5, ♣K, ♥5, ♣10, ♠8 | pair
♥5, ♣K, ♥5, ♠J, ♣3 | pair
♥5, ♣K, ♥5, ♠J, ♣10 | pair
♥5, ♣K, ♥5, ♠J, ♣5 | three of a kind
♥5, ♣K, ♥5, ♠J, ♠8 | pair
♥5, ♣K, ♥5, ♣3, ♣10 | pair
♥5, ♣K, ♥5, ♣3, ♣5 | three of a kind
♥5, ♣K, ♥5, ♣3, ♠8 | pair
♥5, ♣K, ♥5, ♣10, ♣5 | three of a kind
♥5, ♣K, ♥5, ♣10, ♠8 | pair
♥5, ♣K, ♥5, ♣5, ♠8 | three of a kind
♥5, ♣K, ♠K, ♦5, ♣10 | two pairs
♥5, ♣K, ♠K, ♦5, ♠J | two pairs
♥5, ♣K, ♠K, ♦5, ♣3 | two pairs
♥5, ♣K, ♠K, ♦5, ♣10 | two pairs
♥5, ♣K, ♠K, ♦5, ♣5 | fullhouse
♥5, ♣K, ♠K, ♦5, ♠8 | two pairs
